k1,k2,teicher2015,tuominen2022,joint
18,13,0.385263,0.776138,0.572857
18,14,0.207148,0.206506,0.216888
18,15,0.451358,0.0620513,0.34098
18,16,0.279143,0.350631,0.296985
18,17,0.217158,0.552224,0.36405
19,0,0.361165,0.3411,0.355286
19,1,0.332739,0.129336,0.261107
19,2,0.282995,0.391909,0.326985
19,3,0.25839,0.407382,0.324399
19,4,0.211291,0.155353,0.189388
19,5,0.242489,0.211397,0.23143
19,6,0.268138,0.387569,0.321522
19,7,0.225248,0.297929,0.24719
19,8,0.23271,0.194351,0.218466
19,9,0.195513,0.251569,0.215982
19,10,0.329286,0.11932,0.250384
19,11,0.484006,0.567169,0.522086
19,12,0.331234,0.67256,0.518331
19,13,0.394883,0.75489,0.597371
19,14,0.165119,0.248389,0.190443
19,15,0.280639,0.381893,0.322072
19,16,0.311561,0.492368,0.411317
19,17,0.445143,0.77332,0.609587
19,18,0.920387,0.916222,0.909476
20,0,0.610065,0.551673,0.5957
20,1,0.57136,0.423599,0.526956
20,2,0.620802,0.66331,0.64042
20,3,0.398465,0.514394,0.456964
20,4,0.425079,0.245849,0.35491
20,5,0.547741,0.5118,0.532759
20,6,0.478786,0.588269,0.537521
20,7,0.568379,0.372507,0.494738
20,8,0.342389,0.231493,0.294559
20,9,0.212987,0.172418,0.190752
20,10,0.470518,0.329228,0.422603
20,11,0.508072,0.230594,0.39219
20,12,0.449586,0.292416,0.387136
20,13,0.524791,0.244693,0.40625
20,14,0.540405,0.510064,0.494907
20,15,0.594093,0.456713,0.534418
20,16,0.475851,0.322801,0.40689
20,17,0.328874,0.33965,0.331363
20,18,0.224287,0.283495,0.229967
20,19,0.137278,0.389034,0.259744
21,0,0.599578,0.555861,0.588811
21,1,0.608779,0.52749,0.585588
21,2,0.655853,0.589149,0.626275
21,3,0.285778,0.551368,0.422965
21,4,0.294168,0.358772,0.328126
21,5,0.550555,0.563328,0.55698
21,6,0.588509,0.675867,0.633808
21,7,0.62428,0.544776,0.583533
21,8,0.285917,0.387249,0.331131
21,9,0.218407,0.31623,0.257424
21,10,0.43384,0.455322,0.452663
21,11,0.453636,0.277815,0.380325
21,12,0.447473,0.455916,0.460356
21,13,0.564142,0.427669,0.50566
21,14,0.433739,0.559337,0.470654
21,15,0.623265,0.497204,0.568132
21,16,0.534775,0.435087,0.48824
21,17,0.512431,0.184643,0.385499
21,18,0.178023,0.38619,0.253743
21,19,0.0329106,0.420146,0.252474
21,20,0.920272,0.9166,0.919687
22,0,0.548108,0.479186,0.523458
22,1,0.548447,0.342008,0.473769
22,2,0.644195,0.560921,0.610786
22,3,0.373639,0.323145,0.354713
22,4,0.369513,0.222751,0.312989
22,5,0.426563,0.499263,0.455562
22,6,0.498615,0.586449,0.534129
22,7,0.659232,0.361254,0.569631
22,8,0.347153,0.345719,0.346843
22,9,0.410456,0.201848,0.32832
22,10,0.465933,0.32536,0.413078
22,11,0.464366,0.287109,0.388098
22,12,0.537502,0.293067,0.438269
22,13,0.683716,0.142368,0.507872
22,14,0.369852,0.390155,0.370603
22,15,0.624233,0.258832,0.51153
22,16,0.580755,0.345774,0.477477
22,17,0.623004,-0.732141,0.443401
22,18,0.221154,0.203271,0.208952
22,19,0.272004,0.347115,0.305285
22,20,0.831017,0.774902,0.808361
22,21,0.947517,0.916434,0.934286
23,0,0.540747,0.365939,0.477837
23,1,0.539886,0.474096,0.514561
23,2,0.539306,0.526001,0.534615
23,3,0.425586,0.353609,0.398188
23,4,0.265627,0.20266,0.24088
23,5,0.53836,0.464362,0.51158
23,6,0.437077,0.479897,0.453463
23,7,0.477388,0.0817652,0.373035
23,8,0.374753,0.404754,0.385785
23,9,0.290416,0.112525,0.227352
23,10,0.479731,0.313007,0.418267
23,11,0.520532,0.267996,0.409646
23,12,0.510983,0.258577,0.402953
23,13,0.576678,0.263358,0.444328
23,14,0.452855,0.360924,0.410684
23,15,0.480112,-0.00859509,0.331953
23,16,0.462356,-0.117136,0.241873
23,17,0.379617,0.115616,0.279848
23,18,0.368983,0.365212,0.363801
23,19,0.202272,0.331413,0.257401
23,20,0.769298,0.632969,0.715527
23,21,0.696141,0.463902,0.602312
23,22,0.615538,0.209951,0.478771
24,0,0.742124,0.480289,0.643076
24,1,0.53022,0.478571,0.50667
24,2,0.533876,0.557602,0.539565
24,3,0.48202,0.235921,0.395567
24,4,0.302359,-0.792323,0.162158
24,5,0.524363,0.395674,0.477068
24,6,0.604184,0.471892,0.553902
24,7,0.534135,0.236734,0.456594
24,8,0.404679,0.40243,0.402868
24,9,0.451843,0.258779,0.383854
24,10,0.512808,0.397506,0.469153
24,11,0.484117,0.277984,0.396788
24,12,0.494653,0.475943,0.479903
24,13,0.638003,0.400563,0.543619
24,14,0.326019,0.440943,0.366742
24,15,0.662741,-0.744898,0.500084
24,16,0.404311,0.214086,0.319244
24,17,0.338276,0.427322,0.372889
24,18,0.244371,0.550187,0.360284
24,19,0.28994,0.297903,0.291227
24,20,0.625617,0.642657,0.623317
24,21,0.630319,0.671345,0.639875
24,22,0.57981,0.490798,0.544491
24,23,0.990927,0.823513,0.900357
25,0,0.462849,0.425792,0.44752
25,1,0.476256,0.44293,0.461101
25,2,0.346649,0.316539,0.336817
25,3,0.220757,0.326758,0.263795
25,4,0.30282,0.305868,0.304759
25,5,0.386771,0.287922,0.352011
25,6,0.312953,0.325574,0.319665
25,7,0.381499,0.306829,0.356001
25,8,0.222883,0.18452,0.210437
25,9,0.203064,0.223452,0.209113
25,10,0.183254,0.184749,0.186672
25,11,0.312269,0.357216,0.334845
25,12,0.209641,0.262625,0.236557
25,13,0.25008,0.157885,0.206921
25,14,0.321701,0.299226,0.306028
25,15,0.354312,0.0919861,0.242968
25,16,0.222015,0.474404,0.335278
25,17,0.0348619,0.24739,0.11637
