k1,k2,stat,lb,ub,pval
47,24,-0.000384,-0.002106,0.00423,0.183
47,25,-0.004152,0.000293,0.018895,0.002
47,26,-0.005752,-0.000593,0.017693,0.0015
47,27,-0.00732,-0.00199,0.018676,0.0015
47,28,-0.004085,-0.003522,0.016502,0.0195
47,29,-0.003147,-0.003445,0.014042,0.02225
47,30,-0.000866,-0.003139,0.00816,0.133
47,31,-0.000645,-0.003625,0.011109,0.1325
47,32,-0.010226,-0.002412,0.016771,0.0
47,33,-0.002128,-0.003611,0.011184,0.059
47,34,0.000467,-0.002955,0.005178,0.337
47,35,0.002735,-0.004354,0.008547,0.55475
47,36,0.004616,-0.004202,0.009866,0.71025
47,37,0.025941,-0.001065,0.016976,0.99975
47,38,0.018646,-0.001733,0.017247,0.98375
47,39,0.004497,0.000494,0.019509,0.10775
47,40,0.002698,0.000343,0.017418,0.08525
47,41,-0.004826,-0.003041,0.005882,0.00325
47,42,-0.006529,-0.002527,0.010169,0.00075
47,43,-0.00115,-0.002677,0.00736,0.116
47,44,-0.003251,-0.002677,0.005603,0.011
47,45,0.007193,-0.001908,0.008331,0.93725
47,46,0.005588,-0.002384,0.005434,0.9765
48,0,-0.008867,0.002154,0.020556,0.0
48,1,-0.008597,0.003214,0.021671,0.0
48,2,0.001475,0.001999,0.019534,0.0215
48,3,0.004747,-0.001753,0.012822,0.44025
48,4,-0.002143,-0.002881,0.005314,0.0445
48,5,-0.008219,0.000656,0.018669,0.0
48,6,-0.006385,-0.000984,0.014144,0.0005
48,7,0.000137,-0.002236,0.004669,0.28425
48,8,-0.000373,-0.001979,0.017181,0.067
48,9,0.003897,-0.004828,0.013226,0.444
48,10,0.00595,-0.00291,0.015932,0.4275
48,11,-0.000642,-0.002359,0.006895,0.1135
48,12,0.000146,-0.00247,0.005686,0.256
48,13,-0.000934,-0.002174,0.00354,0.11575
48,14,-0.006061,-0.002162,0.01625,0.002
48,15,-0.00035,-0.00218,0.00396,0.24125
48,16,0.000151,-0.002381,0.00416,0.31125
48,17,-0.001605,-0.002026,0.002748,0.04075
48,18,-0.001204,-0.003431,0.009197,0.11
48,19,-0.004263,-0.003035,0.005408,0.00625
48,20,0.006547,-0.001979,0.0129,0.6505
48,21,0.000948,-0.002676,0.006959,0.273
48,22,0.000443,-0.002407,0.004433,0.3475
48,23,0.004808,-0.002676,0.010078,0.674
48,24,-0.002599,-0.002428,0.004039,0.01525
48,25,0.005213,-0.000192,0.018597,0.1965
48,26,0.003516,-0.000258,0.017909,0.1225
48,27,0.00259,-0.002772,0.018209,0.161
48,28,-0.002379,-0.004357,0.016203,0.05675
48,29,0.001478,-0.003907,0.013898,0.189
48,30,0.003286,-0.003404,0.007978,0.64875
48,31,0.001623,-0.003915,0.010582,0.27775
48,32,0.002483,-0.003254,0.016454,0.20725
48,33,-0.004499,-0.004001,0.010436,0.018
48,34,-0.003791,-0.002904,0.005367,0.0075
48,35,-0.005312,-0.003684,0.009321,0.00725
48,36,-0.00499,-0.004053,0.009786,0.01125
48,37,0.014782,-0.001377,0.016494,0.94125
48,38,0.019084,-0.001862,0.018261,0.98175
48,39,-0.011272,0.000668,0.020513,0.0
48,40,0.00584,-0.001224,0.016602,0.31
48,41,-0.004252,-0.00321,0.005607,0.00675
48,42,-0.008987,-0.003896,0.008774,0.00025
48,43,-0.003588,-0.002829,0.007107,0.0095
48,44,-0.003835,-0.002822,0.005521,0.0105
48,45,0.008419,-0.002435,0.007817,0.98625
48,46,0.005705,-0.002456,0.0056,0.9745
48,47,0.052664,-0.002755,0.017555,1.0
49,0,-0.005189,-7.4e-05,0.017413,0.002
49,1,-0.00686,0.000532,0.017936,0.0
49,2,-2.7e-05,4.1e-05,0.016893,0.02475
49,3,5e-05,-0.00372,0.012034,0.14475
49,4,-0.001615,-0.003295,0.005455,0.08925
49,5,-0.004876,-0.001377,0.016209,0.00425
49,6,-0.014499,-0.001721,0.013128,0.0
49,7,-0.000777,-0.002874,0.004549,0.17375
49,8,-0.009689,-0.003551,0.014445,0.00075
49,9,-0.003166,-0.005369,0.012186,0.065
49,10,-0.012443,-0.003989,0.014714,0.0
49,11,0.001126,-0.002717,0.006887,0.38425
49,12,-0.00084,-0.00275,0.005552,0.1505
49,13,-0.000492,-0.00222,0.003927,0.2075
49,14,-4.8e-05,-0.004248,0.014547,0.1425
49,15,-0.00219,-0.002528,0.004152,0.0485
49,16,0.001451,-0.002713,0.004539,0.63125
49,17,-0.000384,-0.002085,0.003015,0.26925
49,18,0.005139,-0.003951,0.009072,0.80725
49,19,0.000469,-0.003314,0.005382,0.42025
49,20,-0.00826,-0.002664,0.011764,0.00025
49,21,-0.008405,-0.00276,0.007147,0.0
49,22,-0.004514,-0.002708,0.004647,0.0025
49,23,0.000498,-0.003577,0.009154,0.2405
49,24,-0.001343,-0.002438,0.004448,0.101
49,25,0.002943,-0.002301,0.015972,0.19575
49,26,0.006814,-0.002097,0.01546,0.5115
49,27,0.013619,-0.004558,0.015224,0.94425
49,28,0.019499,-0.005665,0.014452,0.99775
49,29,0.006794,-0.004878,0.01254,0.72275
49,30,-0.000179,-0.003803,0.00752,0.2435
49,31,0.004072,-0.004482,0.010228,0.59875
49,32,0.003312,-0.004622,0.014412,0.364
49,33,0.000743,-0.005076,0.009507,0.31925
49,34,-0.00036,-0.002865,0.00552,0.253
