k1,k2,sk,lb,ub,pval
50,28,0.532802,0.526671,0.584917,0.06725
50,29,0.730227,0.720417,0.768853,0.123
50,30,0.832005,0.809933,0.853464,0.4615
50,31,0.796444,0.77805,0.823421,0.35125
50,32,0.657265,0.651747,0.704476,0.07175
50,33,0.792152,0.776211,0.821582,0.273
50,34,0.853464,0.827713,0.870018,0.60725
50,35,0.817947,0.796643,0.841833,0.3865
50,36,0.809677,0.787742,0.833548,0.50575
50,37,0.768382,0.722426,0.770833,0.952
50,38,0.665642,0.647818,0.700676,0.22425
50,39,0.610668,0.579399,0.633967,0.61025
50,40,0.742489,0.714286,0.761496,0.605
50,41,0.879289,0.824142,0.867034,0.99925
50,42,0.871324,0.799632,0.844363,1.0
50,43,0.895221,0.825368,0.867647,1.0
50,44,0.878676,0.828431,0.870098,0.99725
50,45,0.860907,0.82598,0.867034,0.914
50,46,0.85723,0.835172,0.876838,0.54525
50,47,0.658492,0.64439,0.697731,0.19925
50,48,0.616186,0.612508,0.665849,0.04475
50,49,0.675659,0.661557,0.714286,0.1675
51,0,0.708768,0.682403,0.73084,0.5355
51,1,0.642551,0.607603,0.660944,0.73925
51,2,0.725322,0.71122,0.75843,0.2195
51,3,0.790313,0.766401,0.809933,0.54825
51,4,0.818516,0.794605,0.838136,0.542
51,5,0.686887,0.691176,0.740809,0.00925
51,6,0.787377,0.771446,0.813725,0.26025
51,7,0.816789,0.802083,0.845588,0.2455
51,8,0.450368,0.43076,0.491422,0.22725
51,9,0.708946,0.69424,0.745098,0.1725
51,10,0.699142,0.686275,0.735907,0.1675
51,11,0.827819,0.798407,0.841912,0.7335
51,12,0.824142,0.801471,0.844975,0.59525
51,13,0.824755,0.800858,0.844363,0.58125
51,14,0.726225,0.722622,0.773055,0.0395
51,15,0.810519,0.794669,0.840058,0.24625
51,16,0.819164,0.79611,0.842219,0.49625
51,17,0.817723,0.793948,0.840058,0.46375
51,18,0.784795,0.773145,0.816677,0.19275
51,19,0.811159,0.790926,0.835071,0.412
51,20,0.781863,0.76777,0.811887,0.189
51,21,0.8125,0.801471,0.844363,0.22925
51,22,0.813725,0.79902,0.843137,0.2565
51,23,0.788603,0.781863,0.825368,0.10325
51,24,0.821691,0.798407,0.842525,0.47925
51,25,0.488044,0.478234,0.536481,0.0975
51,26,0.435316,0.419988,0.480074,0.14625
51,27,0.552422,0.545064,0.603924,0.081
51,28,0.556101,0.540773,0.599019,0.19325
51,29,0.721643,0.714286,0.762109,0.098
51,30,0.796444,0.780503,0.824647,0.25925
51,31,0.76824,0.759044,0.803801,0.1315
51,32,0.660944,0.652361,0.705089,0.08625
51,33,0.77008,0.755978,0.800736,0.275
51,34,0.815451,0.790926,0.835071,0.508
51,35,0.784377,0.770174,0.815365,0.2045
51,36,0.777419,0.759355,0.806452,0.27175
51,37,0.789216,0.726103,0.773284,0.9995
51,38,0.68654,0.658881,0.71051,0.57325
51,39,0.622931,0.603924,0.657879,0.314
51,40,0.754752,0.720417,0.767014,0.81225
51,41,0.841299,0.78799,0.831495,0.99725
51,42,0.856618,0.772059,0.816789,1.0
51,43,0.85723,0.793505,0.83701,1.0
51,44,0.833333,0.792892,0.835172,0.9595
51,45,0.833946,0.798407,0.840686,0.91275
51,46,0.825368,0.799632,0.843137,0.595
51,47,0.669528,0.649908,0.702023,0.263
51,48,0.635806,0.624157,0.676885,0.12225
51,49,0.673207,0.660331,0.712446,0.11925
51,50,0.904412,0.761029,0.806373,1.0
