	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,234]	-0.66	0.0046	0.39	-1.3	-0.64	-0.05	7295.0	2.0	1.0
theta[1,235]	-0.42	0.004	0.35	-1.0	-0.4	0.13	7581.0	2.1	1.0
theta[1,236]	1.6	0.0026	0.22	1.2	1.6	2.0	6945.0	1.9	1.0
theta[1,237]	-0.84	0.0046	0.41	-1.6	-0.82	-0.2	7916.0	2.2	1.0
theta[1,238]	0.56	0.0029	0.24	0.15	0.56	0.95	7060.0	2.0	1.0
theta[1,239]	0.18	0.003	0.27	-0.29	0.18	0.62	8619.0	2.4	1.0
theta[1,240]	-1.3	0.0056	0.49	-2.1	-1.2	-0.54	7578.0	2.1	1.0
theta[1,241]	-0.44	0.0042	0.36	-1.1	-0.42	0.11	7210.0	2.0	1.0
theta[1,242]	0.66	0.0025	0.23	0.27	0.66	1.0	8650.0	2.4	1.0
theta[1,243]	0.88	0.0026	0.24	0.48	0.89	1.3	8503.0	2.4	1.0
theta[1,244]	0.81	0.0027	0.24	0.41	0.81	1.2	7648.0	2.1	1.0
theta[1,245]	-0.88	0.0045	0.43	-1.6	-0.86	-0.21	9079.0	2.5	1.0
theta[1,246]	0.85	0.0026	0.23	0.46	0.85	1.2	8413.0	2.3	1.0
theta[1,247]	0.76	0.0027	0.24	0.36	0.76	1.1	8171.0	2.3	1.0
theta[1,248]	-1.3	0.0063	0.51	-2.2	-1.3	-0.57	6425.0	1.8	1.0
theta[1,249]	0.27	0.0028	0.26	-0.18	0.28	0.69	8566.0	2.4	1.0
theta[1,250]	-1.3	0.0057	0.5	-2.2	-1.3	-0.53	7807.0	2.2	1.0
theta[1,251]	-1.3	0.0056	0.51	-2.2	-1.3	-0.51	8086.0	2.2	1.0
theta[1,252]	-1.1	0.0051	0.46	-1.8	-1.0	-0.35	8024.0	2.2	1.0
theta[1,253]	0.86	0.0028	0.24	0.45	0.86	1.2	7394.0	2.0	1.0
theta[1,254]	-0.34	0.0038	0.33	-0.91	-0.33	0.17	7674.0	2.1	1.0
theta[1,255]	0.011	0.0033	0.3	-0.49	0.019	0.49	7946.0	2.2	1.0
theta[1,256]	-0.55	0.0043	0.37	-1.2	-0.53	0.027	7395.0	2.0	1.0
theta[1,257]	-1.4	0.0054	0.51	-2.3	-1.4	-0.63	9004.0	2.5	1.0
theta[1,258]	-0.2	0.0034	0.29	-0.71	-0.18	0.26	7603.0	2.1	1.0
theta[1,259]	0.42	0.0026	0.26	-0.018	0.43	0.84	9790.0	2.7	1.0
theta[1,260]	-0.14	0.0034	0.31	-0.67	-0.13	0.33	8310.0	2.3	1.0
theta[1,261]	0.36	0.0029	0.25	-0.062	0.36	0.77	7895.0	2.2	1.0
theta[1,262]	0.55	0.0028	0.26	0.14	0.55	0.96	8133.0	2.3	1.0
theta[1,263]	0.75	0.0025	0.23	0.37	0.76	1.1	8462.0	2.3	1.0
theta[1,264]	-0.65	0.0042	0.38	-1.3	-0.63	-0.059	8021.0	2.2	1.0
theta[1,265]	-0.87	0.0047	0.43	-1.6	-0.84	-0.22	8569.0	2.4	1.0
theta[1,266]	1.5	0.0025	0.22	1.2	1.5	1.9	7671.0	2.1	1.0
theta[1,267]	0.02	0.0032	0.29	-0.47	0.031	0.47	7878.0	2.2	1.0
theta[1,268]	0.67	0.0027	0.24	0.27	0.68	1.1	7741.0	2.1	1.0
theta[1,269]	-0.54	0.0038	0.37	-1.2	-0.52	0.027	9241.0	2.6	1.0
theta[1,270]	0.071	0.0031	0.29	-0.4	0.074	0.52	8797.0	2.4	1.0
theta[1,271]	-1.6	0.0066	0.56	-2.6	-1.6	-0.75	7273.0	2.0	1.0
