k1,k2,mu,lb,ub,pval
36,23,0.00439,-0.039452,0.046029,0.562
36,24,0.035949,-0.010193,0.085417,0.81675
36,25,-0.013345,-0.049477,0.022244,0.33175
36,26,0.016892,-0.020288,0.053564,0.72425
36,27,0.03742,0.000176,0.071854,0.88925
36,28,0.005961,-0.030661,0.044079,0.569
36,29,0.03834,-0.000788,0.076473,0.8735
36,30,-0.027546,-0.069444,0.013647,0.2335
36,31,0.150448,0.102753,0.199686,1.0
36,32,0.010269,-0.030572,0.05359,0.6165
36,33,-0.019747,-0.065261,0.022775,0.299
36,34,0.000141,-0.043667,0.045804,0.506
36,35,0.336447,0.251038,0.426873,1.0
37,0,-0.0365,-0.072734,-0.001764,0.135
37,1,0.001563,-0.031767,0.030659,0.51625
37,2,-0.068803,-0.09691,-0.041684,0.0185
37,3,0.040937,0.019011,0.060342,0.891
37,4,0.018444,0.001366,0.035749,0.738
37,5,-0.118461,-0.143146,-0.093906,0.0
37,6,-0.049016,-0.077467,-0.023833,0.0725
37,7,-0.050214,-0.07071,-0.027836,0.06225
37,8,0.013358,-0.023015,0.051527,0.6695
37,9,0.00991,-0.0169,0.037119,0.63275
37,10,-0.052212,-0.079909,-0.023433,0.0465
37,11,0.007709,-0.013459,0.027727,0.6015
37,12,-0.041327,-0.061081,-0.023141,0.0985
37,13,-0.045869,-0.063528,-0.028377,0.06625
37,14,-0.058523,-0.091407,-0.018805,0.0575
37,15,-0.055996,-0.082512,-0.026313,0.05125
37,16,-0.006181,-0.033998,0.024933,0.43525
37,17,-0.037059,-0.062746,-0.010249,0.13675
37,18,0.009098,-0.010156,0.029658,0.61975
37,19,-0.018167,-0.0419,0.002949,0.271
37,20,-0.049757,-0.089807,-0.010285,0.08675
37,21,-0.046102,-0.083292,-0.006174,0.1015
37,22,-0.050022,-0.08269,-0.017014,0.07475
37,23,0.071861,0.04964,0.095735,0.98575
37,24,0.017847,-0.003554,0.040805,0.7185
37,25,-0.015587,-0.038751,0.008216,0.28175
37,26,0.010422,-0.018899,0.042627,0.64825
37,27,-0.021738,-0.044243,0.000167,0.2205
37,28,-0.027544,-0.049089,-0.005935,0.16125
37,29,-0.0008,-0.020603,0.017579,0.4865
37,30,0.022524,0.001557,0.040216,0.76825
37,31,0.039553,0.021504,0.058188,0.90525
37,32,-0.026457,-0.056205,0.005441,0.18375
37,33,-0.027267,-0.065295,0.008258,0.21
37,34,-0.007249,-0.038253,0.023749,0.4115
37,35,0.03108,-0.008396,0.072885,0.809
37,36,0.037081,-0.002661,0.078723,0.85525
38,0,-0.028901,-0.063674,0.004804,0.185
38,1,-0.010904,-0.041891,0.022268,0.37825
38,2,-0.019951,-0.043285,0.00541,0.25425
38,3,0.011953,-0.005735,0.028382,0.65825
38,4,0.008923,-0.002855,0.021167,0.6335
38,5,-0.105064,-0.126413,-0.083261,0.0
38,6,-0.090059,-0.111492,-0.069036,0.00125
38,7,-0.022237,-0.037735,-0.006889,0.2005
38,8,0.019867,-0.017199,0.05862,0.74475
38,9,-0.00534,-0.031035,0.018184,0.42675
38,10,-0.027724,-0.051995,-0.002403,0.17625
38,11,-0.037124,-0.052935,-0.02151,0.096
38,12,-0.017571,-0.031733,-0.002306,0.27025
38,13,-0.005486,-0.019597,0.008514,0.411
38,14,-0.039998,-0.067611,-0.005706,0.11575
38,15,-0.069607,-0.090441,-0.043639,0.01225
38,16,-0.002135,-0.027328,0.021637,0.47675
38,17,0.024405,0.004335,0.051265,0.78275
38,18,-0.009696,-0.025938,0.00536,0.35575
38,19,-0.013424,-0.029783,0.004508,0.316
38,20,0.019757,-0.015645,0.054701,0.7325
38,21,-0.006997,-0.038888,0.028861,0.40125
38,22,0.014662,-0.010607,0.039662,0.686
38,23,-0.049285,-0.066373,-0.032128,0.03925
38,24,-0.01093,-0.024586,0.002534,0.34425
38,25,-0.03618,-0.058743,-0.013145,0.08925
38,26,0.009576,-0.021934,0.039527,0.63125
38,27,0.016056,-0.003425,0.037261,0.718
38,28,0.004327,-0.014878,0.024072,0.5455
38,29,-0.000371,-0.01608,0.015217,0.49425
38,30,-0.032216,-0.047552,-0.018207,0.11975
38,31,0.062385,0.048043,0.077288,0.98725
38,32,-0.047285,-0.077319,-0.016541,0.05675
38,33,0.001841,-0.03594,0.032898,0.52275
38,34,0.010913,-0.016779,0.03651,0.6565
38,35,0.024982,-0.012467,0.058529,0.76625
38,36,0.021116,-0.014033,0.059907,0.73775
38,37,0.161962,0.144779,0.179606,1.0
39,0,-0.000955,-0.035628,0.03474,0.489
39,1,0.092221,0.05588,0.124426,0.99725
39,2,-0.065409,-0.09175,-0.042341,0.01625
39,3,-0.013877,-0.029434,0.00187,0.3055
39,4,-0.003726,-0.014568,0.008184,0.42925
39,5,-0.006379,-0.027936,0.016469,0.41325
39,6,-0.023736,-0.045093,-0.003518,0.19925
39,7,-0.017884,-0.031091,-0.004775,0.22175
39,8,-0.00516,-0.042765,0.033735,0.4335
39,9,-0.022406,-0.04747,0.001694,0.20325
39,10,-0.036007,-0.061214,-0.011341,0.10025
39,11,-0.024899,-0.038786,-0.011806,0.146
39,12,0.01255,0.000795,0.025201,0.69425
39,13,0.001365,-0.009457,0.013864,0.51475
39,14,-0.028787,-0.054565,0.005291,0.1765
39,15,-0.016968,-0.034903,0.00056,0.248
39,16,-0.018222,-0.039032,0.003585,0.23575
39,17,-0.012633,-0.031098,0.007689,0.30475
39,18,0.025049,0.009874,0.040941,0.8295
39,19,0.034035,0.018245,0.049731,0.9085
39,20,-0.005039,-0.038492,0.03182,0.43175
39,21,-0.01862,-0.048653,0.014123,0.265
39,22,-0.012858,-0.040002,0.012989,0.314
39,23,-0.069726,-0.087812,-0.051994,0.004
39,24,-0.044446,-0.061612,-0.026158,0.04025
39,25,-0.01503,-0.039265,0.010396,0.302
39,26,0.013843,-0.020384,0.045818,0.67475
39,27,0.038333,0.01579,0.059444,0.91075
39,28,0.041363,0.020204,0.061904,0.933
39,29,-0.024167,-0.040488,-0.006175,0.18325
39,30,-0.004642,-0.019728,0.010222,0.42825
39,31,-0.035605,-0.051992,-0.020429,0.08275
39,32,-0.018174,-0.048248,0.011069,0.276
39,33,0.008811,-0.025417,0.04416,0.6145
