name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[7,315]	-0.442	0.0126	0.816	-1.88	-0.377	0.798	4173.0	1.23	1.0
theta[8,315]	1.04	0.0107	0.67	-0.00359	1.02	2.18	3919.0	1.15	0.999
theta[9,315]	-0.231	0.0134	0.836	-1.66	-0.191	1.06	3868.0	1.14	1.0
theta[10,315]	-0.159	0.0136	0.903	-1.73	-0.114	1.25	4372.0	1.29	1.0
theta[11,315]	-0.00849	0.014	0.986	-1.67	0.0271	1.58	4987.0	1.47	1.0
theta[1,316]	-0.561	0.00745	0.387	-1.22	-0.546	0.047	2693.0	0.792	1.0
theta[2,316]	-0.248	0.0149	0.884	-1.76	-0.188	1.15	3539.0	1.04	1.0
theta[3,316]	0.0229	0.0144	0.823	-1.35	0.0314	1.36	3277.0	0.963	1.0
theta[4,316]	-0.0872	0.015	0.941	-1.68	-0.0615	1.39	3928.0	1.15	1.0
theta[5,316]	0.104	0.0093	0.553	-0.778	0.0941	1.03	3544.0	1.04	0.999
theta[6,316]	-0.643	0.0129	0.8	-1.99	-0.619	0.632	3825.0	1.12	0.999
theta[7,316]	0.991	0.00893	0.511	0.132	1.0	1.79	3281.0	0.965	1.0
theta[8,316]	0.176	0.00817	0.52	-0.644	0.158	1.04	4049.0	1.19	1.0
theta[9,316]	-0.278	0.0136	0.872	-1.77	-0.229	1.06	4138.0	1.22	0.999
theta[10,316]	-0.106	0.0148	0.899	-1.61	-0.0739	1.3	3695.0	1.09	1.0
theta[11,316]	-0.0561	0.0146	0.939	-1.62	-0.056	1.47	4149.0	1.22	1.0
theta[1,317]	0.344	0.0063	0.297	-0.156	0.351	0.82	2226.0	0.654	1.0
theta[2,317]	-0.82	0.0144	0.834	-2.29	-0.772	0.463	3343.0	0.983	1.0
theta[3,317]	0.128	0.0241	0.765	-1.13	0.132	1.37	1003.0	0.295	1.0
theta[4,317]	0.675	0.0144	0.752	-0.599	0.707	1.85	2715.0	0.798	1.0
theta[5,317]	0.754	0.0102	0.598	-0.194	0.728	1.77	3463.0	1.02	1.0
theta[6,317]	0.436	0.0133	0.75	-0.736	0.405	1.72	3162.0	0.93	1.0
theta[7,317]	-0.624	0.0109	0.712	-1.91	-0.572	0.436	4265.0	1.25	1.0
theta[8,317]	-0.807	0.00818	0.469	-1.59	-0.806	-0.0474	3288.0	0.967	1.0
theta[9,317]	0.174	0.0115	0.652	-1.02	0.247	1.11	3195.0	0.939	1.0
