k1,k2,stat,lb,ub,pval
51,10,-0.002607,-0.004818,0.009903,0.0895
51,11,-0.000392,-0.003937,0.00441,0.348
51,12,0.001355,-0.00342,0.003933,0.69675
51,13,0.001084,-0.002268,0.003236,0.665
51,14,0.000777,-0.006473,0.009807,0.4315
51,15,0.000574,-0.003339,0.004,0.507
51,16,6e-05,-0.003538,0.003298,0.5045
51,17,0.000678,-0.002904,0.002638,0.735
51,18,-0.000839,-0.004962,0.006939,0.25475
51,19,0.000644,-0.003658,0.004383,0.5465
51,20,-0.003734,-0.005122,0.007477,0.07725
51,21,-0.002388,-0.003671,0.005408,0.0755
51,22,-0.001126,-0.003392,0.00353,0.242
51,23,-0.002,-0.004249,0.007262,0.103
51,24,0.001016,-0.002719,0.003987,0.61225
51,25,0.000902,-0.004622,0.007398,0.43975
51,26,0.001175,-0.004937,0.006403,0.55975
51,27,-0.000173,-0.006646,0.007941,0.4325
51,28,0.005418,-0.006745,0.007968,0.90375
51,29,-0.001668,-0.006424,0.006908,0.31175
51,30,-0.001347,-0.005025,0.004117,0.34175
51,31,-0.002051,-0.006133,0.004979,0.25275
51,32,-0.001914,-0.007611,0.007274,0.298
51,33,0.000522,-0.005972,0.004819,0.6415
51,34,3.6e-05,-0.00376,0.003245,0.60475
51,35,3.5e-05,-0.005205,0.005364,0.50975
51,36,-0.001677,-0.005687,0.005455,0.2965
51,37,0.006135,-0.004961,0.009458,0.8575
51,38,-0.001487,-0.005492,0.010035,0.18375
51,39,-0.001077,-0.004529,0.009562,0.15
51,40,0.005364,-0.004873,0.00954,0.80975
51,41,-0.000964,-0.00022,0.007309,0.00925
51,42,-0.000163,0.001325,0.011913,0.005
51,43,-0.004165,0.003107,0.012345,0.0
51,44,-0.003674,0.001794,0.00998,0.0
51,45,0.004259,-0.003593,0.005892,0.88775
51,46,0.002675,-0.004233,0.004092,0.8875
51,47,-0.003739,-0.00553,0.009594,0.063
51,48,0.001436,-0.005455,0.009722,0.459
51,49,-0.001349,-0.005703,0.009646,0.226
51,50,0.008241,0.014171,0.029429,0.00025
