k1,k2,mu,lb,ub,pval
0,0,0.058231,0.057389,0.059027,1.0
1,0,0.260355,0.23028,0.293171,1.0
2,0,0.017283,-0.020325,0.054688,0.65775
2,1,0.022665,-0.014878,0.055424,0.7075
3,0,0.076726,0.050174,0.100332,0.9795
3,1,0.030262,0.006926,0.051194,0.8245
3,2,0.058553,0.033215,0.084162,0.941
4,0,-0.006595,-0.025983,0.012038,0.423
4,1,-0.02343,-0.038338,-0.008037,0.2005
4,2,-0.00257,-0.02138,0.019033,0.47
4,3,0.025154,0.006655,0.043702,0.7125
5,0,-0.025318,-0.056719,0.007835,0.265
5,1,-0.031707,-0.062662,-0.000781,0.2015
5,2,0.221046,0.190952,0.250954,1.0
5,3,-0.006695,-0.027733,0.015588,0.4445
5,4,0.013367,-0.003772,0.029845,0.64125
6,0,0.024231,-0.005301,0.054256,0.72825
6,1,0.040693,0.016475,0.064256,0.881
6,2,0.183954,0.155646,0.209833,1.0
6,3,-0.002513,-0.028297,0.022551,0.47125
6,4,-0.002551,-0.025653,0.020402,0.482
6,5,0.22233,0.197809,0.24431,1.0
7,0,0.013612,-0.003521,0.032739,0.66025
7,1,-0.021387,-0.035229,-0.007796,0.20775
7,2,0.038916,0.020344,0.057462,0.885
7,3,-0.011108,-0.036193,0.014286,0.41125
7,4,0.1087,0.0793,0.139164,0.95725
7,5,0.046826,0.029816,0.063618,0.922
7,6,0.164776,0.140131,0.191402,0.99975
8,0,0.005504,-0.016355,0.025866,0.59375
8,1,-0.084064,-0.108026,-0.059193,0.00825
8,2,0.059887,0.036596,0.079823,0.97025
8,3,0.003617,-0.007686,0.015297,0.55625
8,4,0.037472,0.029444,0.044588,0.94225
8,5,0.115282,0.099749,0.134023,1.0
8,6,0.077354,0.063797,0.091053,0.99775
8,7,0.017409,0.008648,0.026021,0.7605
9,0,-0.039116,-0.0604,-0.015568,0.1415
9,1,-0.054163,-0.077185,-0.032203,0.06525
9,2,0.075015,0.05149,0.096252,0.9815
9,3,0.010528,-0.004094,0.025106,0.61625
9,4,0.056904,0.043715,0.068405,0.92975
9,5,0.086545,0.068805,0.104185,0.9935
9,6,0.039257,0.020732,0.05745,0.852
9,7,0.003797,-0.013983,0.020771,0.54425
9,8,0.343614,0.334505,0.352678,1.0
10,0,0.046719,0.021049,0.071697,0.8855
