sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,49,36,74,71,65,71,77,69,62,51,38,43,43,33,33,32,37,19,24,19,20,16,12,13,15,5,5,1,2,1,2,3,2,0,1,1,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
1,42,51,56,63,79,68,62,76,53,64,45,41,29,45,33,36,25,27,29,19,15,15,13,16,9,7,5,5,11,1,1,1,3,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,36,50,68,79,73,71,70,61,60,56,42,56,31,42,26,25,38,27,18,14,14,19,11,13,8,6,8,5,7,2,3,2,2,2,0,3,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
3,28,54,62,68,70,73,89,54,67,44,51,37,41,35,34,36,30,22,30,18,17,15,16,13,9,6,6,7,5,0,2,1,2,2,2,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0
4,34,55,59,76,73,76,72,60,59,60,40,51,40,37,21,39,25,20,27,20,19,15,15,13,8,15,3,2,3,0,0,3,2,1,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,36,60,71,64,67,75,67,59,61,51,47,43,40,37,31,29,36,16,29,11,19,22,19,13,8,3,10,4,3,5,1,2,2,2,2,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0
6,34,53,71,63,88,55,85,56,64,54,52,44,41,36,26,32,32,21,19,21,19,16,11,14,11,6,3,6,2,4,1,1,1,0,1,2,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0
7,35,69,64,53,79,78,76,55,43,51,51,56,44,43,36,30,20,24,24,20,15,16,15,10,6,6,6,6,4,4,1,0,1,2,2,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
8,25,59,64,85,64,80,77,56,44,55,52,45,44,34,36,34,22,27,21,22,19,11,14,11,10,10,8,3,3,2,4,1,1,0,1,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9,32,51,69,78,73,84,62,62,49,51,55,53,39,30,37,31,28,24,33,15,11,17,14,10,14,4,2,5,2,1,0,3,0,3,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,30,56,53,80,73,92,53,55,63,57,56,48,42,39,35,22,31,24,21,13,13,25,16,10,11,7,5,6,2,1,2,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
11,38,67,59,70,60,70,81,65,53,63,51,47,37,29,29,31,31,26,25,20,17,11,13,12,9,7,4,3,2,6,2,3,3,1,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12,34,54,55,67,74,87,75,76,54,50,41,51,41,30,36,35,23,25,22,19,12,15,20,9,7,6,7,2,4,6,2,1,2,1,1,1,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0
13,35,52,57,83,62,76,70,56,62,55,59,47,38,30,24,43,22,33,24,23,15,16,11,9,13,3,5,7,6,5,3,2,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
14,42,57,54,67,74,70,55,75,62,72,43,44,55,31,31,25,17,25,30,12,27,16,11,13,8,10,2,0,4,2,3,3,1,0,2,2,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
15,31,61,67,64,60,69,83,59,58,66,50,51,45,38,19,36,26,26,22,18,15,15,11,13,13,10,2,5,5,2,3,0,1,0,0,3,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
16,30,56,55,83,70,66,70,85,59,59,44,40,39,28,35,28,28,24,22,33,14,15,18,3,7,11,7,4,4,2,1,2,2,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
