k1,k2,mu,lb,ub,pval
24,20,-0.081432,-0.151112,-0.00755,0.096
24,21,-0.078042,-0.194353,0.024094,0.18125
24,22,-0.107153,-0.209564,-0.02264,0.1145
24,23,0.324612,0.28069,0.364053,1.0
25,0,0.054818,0.014824,0.093467,0.93
25,1,-0.012514,-0.052652,0.029389,0.3725
25,2,-0.036147,-0.069363,-0.004382,0.15425
25,3,-0.046187,-0.071581,-0.02066,0.06925
25,4,-0.005669,-0.025946,0.014742,0.415
25,5,0.012927,-0.017714,0.043712,0.634
25,6,-0.01663,-0.045685,0.011424,0.30375
25,7,-0.007917,-0.030604,0.013018,0.393
25,8,-0.009278,-0.058631,0.039678,0.404
25,9,0.028391,-0.009722,0.064052,0.78575
25,10,-0.040306,-0.075519,-0.005258,0.13275
25,11,-0.002029,-0.025793,0.021279,0.449
25,12,-0.032411,-0.056126,-0.010656,0.122
25,13,-0.024367,-0.045785,-0.00177,0.16425
25,14,0.000639,-0.044367,0.040562,0.51825
25,15,-0.016729,-0.039436,0.00396,0.2785
25,16,-0.009212,-0.037298,0.021355,0.364
25,17,-0.048749,-0.077347,-0.017462,0.0645
25,18,-0.002862,-0.029465,0.024038,0.4575
25,19,0.023501,-0.002461,0.053766,0.77175
25,20,0.025124,-0.01578,0.067696,0.761
25,21,0.027876,-0.010169,0.064233,0.80375
25,22,0.020197,-0.009667,0.048816,0.725
25,23,-0.071886,-0.102365,-0.042406,0.01425
25,24,-0.032825,-0.055752,-0.010238,0.135
26,0,-0.035144,-0.080589,0.009876,0.175
26,1,0.060588,0.013529,0.106432,0.9395
26,2,-0.042435,-0.083623,-0.001638,0.12775
26,3,-0.047713,-0.084747,-0.012796,0.08075
26,4,-0.001065,-0.031388,0.023623,0.4885
26,5,0.003484,-0.035104,0.046324,0.53
26,6,-0.017146,-0.055292,0.022856,0.31475
26,7,-0.001855,-0.029659,0.027368,0.46025
26,8,0.004771,-0.054648,0.056783,0.5345
26,9,-0.01175,-0.050929,0.033934,0.3735
26,10,0.012729,-0.027765,0.058677,0.6225
26,11,0.009538,-0.023172,0.041457,0.63275
26,12,0.024314,-0.008623,0.057228,0.79425
26,13,-0.005734,-0.038067,0.026654,0.397
26,14,-0.008923,-0.05635,0.043212,0.41425
26,15,0.000724,-0.028177,0.02583,0.486
26,16,-0.027605,-0.063322,0.010179,0.20575
26,17,0.029794,-0.014964,0.073723,0.79125
26,18,0.032797,-0.002723,0.069707,0.821
26,19,0.001272,-0.035521,0.042197,0.51075
26,20,-0.024583,-0.068509,0.021141,0.24825
26,21,-0.034249,-0.079856,0.009539,0.17775
26,22,-0.021185,-0.062541,0.017117,0.256
26,23,0.022554,-0.01613,0.063337,0.74975
26,24,-0.003677,-0.037289,0.028211,0.443
26,25,0.053563,-0.024683,0.129766,0.8215
27,0,0.048759,0.008624,0.092316,0.89625
27,1,-0.003975,-0.044761,0.033288,0.4495
27,2,0.000751,-0.031914,0.0309,0.52325
27,3,0.057852,0.034544,0.081682,0.95825
