	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-1.0	0.0057	0.47	-1.8	-0.97	-0.28	6795.0	3.1	1.0
theta[1,2]	-0.085	0.0037	0.3	-0.62	-0.073	0.39	6697.0	3.1	1.0
theta[1,3]	1.3	0.0029	0.23	0.95	1.3	1.7	6124.0	2.8	1.0
theta[1,4]	0.2	0.0037	0.29	-0.3	0.2	0.67	6050.0	2.8	1.0
theta[1,5]	1.4	0.0031	0.24	1.0	1.4	1.8	5775.0	2.6	1.0
theta[1,6]	-0.46	0.0048	0.37	-1.1	-0.45	0.12	5808.0	2.7	1.0
theta[1,7]	0.92	0.0031	0.25	0.52	0.92	1.3	6216.0	2.8	1.0
theta[1,8]	0.83	0.0035	0.25	0.41	0.83	1.2	5061.0	2.3	1.0
theta[1,9]	1.0	0.0028	0.23	0.63	1.0	1.4	6603.0	3.0	1.0
theta[1,10]	0.6	0.0028	0.24	0.21	0.6	1.0	7196.0	3.3	1.0
theta[1,11]	1.4	0.0029	0.23	0.98	1.4	1.7	6511.0	3.0	1.0
theta[1,12]	-1.0	0.0059	0.47	-1.8	-0.99	-0.3	6348.0	2.9	1.0
theta[1,13]	3.1	0.0039	0.3	2.7	3.1	3.7	5912.0	2.7	1.0
theta[1,14]	1.6	0.0027	0.22	1.2	1.6	2.0	7087.0	3.2	1.0
theta[1,15]	1.1	0.0027	0.24	0.76	1.2	1.5	7996.0	3.7	1.0
theta[1,16]	-0.57	0.0047	0.37	-1.2	-0.56	0.013	6478.0	3.0	1.0
theta[1,17]	-0.32	0.0041	0.33	-0.9	-0.31	0.19	6707.0	3.1	1.0
theta[1,18]	0.66	0.003	0.24	0.26	0.66	1.0	6182.0	2.8	1.0
theta[1,19]	-0.56	0.0047	0.38	-1.2	-0.54	0.02	6637.0	3.0	1.0
theta[1,20]	-0.55	0.005	0.39	-1.2	-0.53	0.041	6111.0	2.8	1.0
theta[1,21]	-1.2	0.0059	0.5	-2.1	-1.2	-0.47	7096.0	3.2	1.0
theta[1,22]	-0.3	0.004	0.33	-0.88	-0.28	0.22	6751.0	3.1	1.0
theta[1,23]	0.26	0.0032	0.26	-0.17	0.27	0.68	6851.0	3.1	1.0
theta[1,24]	-1.3	0.0061	0.51	-2.2	-1.2	-0.5	6913.0	3.2	1.0
theta[1,25]	-0.18	0.0039	0.33	-0.77	-0.15	0.35	7333.0	3.4	1.0
theta[1,26]	-1.3	0.0067	0.52	-2.2	-1.3	-0.53	5841.0	2.7	1.0
theta[1,27]	-0.029	0.0039	0.3	-0.56	-0.02	0.44	6021.0	2.8	1.0
