	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-1.0	0.0073	0.47	-1.8	-0.99	-0.32	4097.0	0.8	1.0
theta[2,1]	-0.45	0.0059	0.36	-1.1	-0.45	0.13	3712.0	0.73	1.0
theta[3,1]	0.95	0.0046	0.3	0.46	0.95	1.5	4307.0	0.84	1.0
theta[4,1]	-0.044	0.0052	0.32	-0.57	-0.035	0.47	3812.0	0.75	1.0
theta[5,1]	0.95	0.0042	0.28	0.5	0.95	1.4	4482.0	0.88	1.0
theta[6,1]	-0.79	0.007	0.42	-1.5	-0.77	-0.14	3556.0	0.7	1.0
theta[7,1]	0.58	0.0043	0.28	0.12	0.58	1.0	4127.0	0.81	1.0
theta[8,1]	0.71	0.0049	0.31	0.22	0.7	1.2	4072.0	0.8	1.0
theta[9,1]	0.67	0.0041	0.27	0.23	0.66	1.1	4296.0	0.84	1.0
theta[10,1]	0.55	0.0046	0.28	0.092	0.56	1.0	3550.0	0.69	1.0
theta[11,1]	1.1	0.0044	0.28	0.65	1.1	1.6	4096.0	0.8	1.0
theta[12,1]	-1.3	0.0086	0.57	-2.3	-1.3	-0.46	4312.0	0.84	1.0
theta[13,1]	3.2	0.0065	0.43	2.6	3.2	4.0	4298.0	0.84	1.0
theta[14,1]	1.2	0.0042	0.3	0.73	1.2	1.7	5007.0	0.98	1.0
theta[15,1]	0.95	0.0043	0.29	0.48	0.95	1.4	4468.0	0.87	1.0
theta[16,1]	-0.95	0.0076	0.46	-1.7	-0.93	-0.24	3587.0	0.7	1.0
theta[17,1]	-0.5	0.006	0.37	-1.1	-0.49	0.079	3797.0	0.74	1.0
theta[18,1]	0.17	0.0046	0.29	-0.31	0.17	0.61	3936.0	0.77	1.0
theta[19,1]	-0.68	0.0066	0.4	-1.4	-0.66	-0.061	3755.0	0.73	1.0
theta[20,1]	-0.59	0.0059	0.39	-1.3	-0.57	0.019	4415.0	0.86	1.0
theta[21,1]	-1.4	0.0086	0.54	-2.3	-1.3	-0.56	3932.0	0.77	1.0
theta[22,1]	-0.64	0.0064	0.39	-1.3	-0.63	-0.041	3707.0	0.72	1.0
theta[23,1]	0.0038	0.005	0.3	-0.51	0.013	0.48	3716.0	0.73	1.0
theta[24,1]	-1.3	0.0079	0.53	-2.2	-1.2	-0.44	4437.0	0.87	1.0
theta[25,1]	-0.099	0.0053	0.33	-0.67	-0.09	0.42	3697.0	0.72	1.0
theta[26,1]	-1.4	0.0091	0.55	-2.4	-1.4	-0.55	3662.0	0.72	1.0
theta[27,1]	-0.38	0.0055	0.35	-0.97	-0.37	0.17	3986.0	0.78	1.0
theta[28,1]	0.36	0.0047	0.28	-0.1	0.37	0.82	3610.0	0.71	1.0
theta[29,1]	0.5	0.0044	0.29	0.029	0.5	0.97	4201.0	0.82	1.0
theta[30,1]	-0.5	0.0059	0.38	-1.2	-0.47	0.078	4150.0	0.81	1.0
theta[31,1]	0.53	0.0046	0.27	0.077	0.53	0.96	3538.0	0.69	1.0
theta[32,1]	-0.82	0.0068	0.43	-1.6	-0.79	-0.17	3873.0	0.76	1.0
theta[33,1]	-0.52	0.0075	0.38	-1.2	-0.5	0.084	2584.0	0.51	1.0
theta[34,1]	-0.69	0.0068	0.42	-1.4	-0.65	-0.06	3920.0	0.77	1.0
theta[35,1]	1.3	0.005	0.3	0.77	1.3	1.8	3600.0	0.7	1.0
theta[36,1]	-0.89	0.0072	0.45	-1.7	-0.87	-0.21	3990.0	0.78	1.0
theta[37,1]	-1.0	0.0073	0.49	-1.9	-1.0	-0.3	4518.0	0.88	1.0
theta[38,1]	-0.45	0.0058	0.34	-1.1	-0.43	0.072	3568.0	0.7	1.0
theta[39,1]	-0.17	0.0052	0.31	-0.7	-0.15	0.31	3641.0	0.71	1.0
theta[40,1]	-1.7	0.0096	0.63	-2.8	-1.7	-0.78	4242.0	0.83	1.0
