name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[2,188]	0.209	0.00798	0.521	-0.642	0.218	1.07	4267.0	2.78	1.0
theta[3,188]	-0.101	0.0117	0.92	-1.66	-0.0788	1.37	6201.0	4.04	0.999
theta[1,189]	-0.608	0.006	0.433	-1.38	-0.575	0.0403	5213.0	3.4	1.0
theta[2,189]	1.68	0.00682	0.501	0.866	1.68	2.51	5406.0	3.52	1.0
theta[3,189]	-0.129	0.0116	0.871	-1.61	-0.0874	1.22	5621.0	3.66	1.0
theta[1,190]	1.77	0.00338	0.229	1.39	1.76	2.15	4606.0	3.0	1.0
theta[2,190]	-0.532	0.00631	0.456	-1.26	-0.53	0.218	5240.0	3.41	0.999
theta[3,190]	1.18	0.00596	0.436	0.456	1.18	1.9	5349.0	3.49	0.999
theta[1,191]	-1.24	0.00753	0.549	-2.2	-1.2	-0.402	5316.0	3.46	0.999
theta[2,191]	-0.923	0.00986	0.702	-2.16	-0.873	0.175	5075.0	3.31	0.999
theta[3,191]	-0.0985	0.0116	0.913	-1.68	-0.0583	1.35	6167.0	4.02	0.999
theta[1,192]	0.912	0.00364	0.25	0.498	0.911	1.32	4721.0	3.08	1.0
theta[2,192]	-0.1	0.00616	0.468	-0.881	-0.0999	0.669	5767.0	3.76	1.0
theta[3,192]	1.22	0.00598	0.447	0.48	1.23	1.94	5583.0	3.64	1.0
theta[1,193]	-0.66	0.00611	0.433	-1.43	-0.628	-0.015	5021.0	3.27	1.0
theta[2,193]	1.05	0.00726	0.488	0.248	1.05	1.86	4509.0	2.94	1.0
theta[3,193]	-0.147	0.011	0.887	-1.66	-0.109	1.24	6558.0	4.27	0.999
theta[1,194]	1.4	0.00344	0.235	1.01	1.4	1.78	4664.0	3.04	1.0
theta[2,194]	-1.68	0.00682	0.493	-2.52	-1.66	-0.915	5228.0	3.41	1.0
theta[3,194]	-0.604	0.0104	0.732	-1.89	-0.556	0.506	4918.0	3.2	1.0
theta[1,195]	-0.303	0.00563	0.364	-0.949	-0.286	0.247	4185.0	2.73	1.0
theta[2,195]	0.00685	0.00609	0.472	-0.756	-0.000835	0.776	6013.0	3.92	1.0
theta[3,195]	-0.2	0.0111	0.867	-1.68	-0.145	1.16	6053.0	3.94	1.0
theta[1,196]	1.95	0.00362	0.23	1.57	1.95	2.33	4016.0	2.62	1.0
theta[2,196]	-0.639	0.00644	0.483	-1.45	-0.638	0.156	5638.0	3.67	0.999
theta[3,196]	-0.776	0.0101	0.706	-2.02	-0.716	0.266	4900.0	3.19	1.0
theta[1,197]	-0.798	0.00666	0.45	-1.6	-0.775	-0.115	4555.0	2.97	1.0
theta[2,197]	0.514	0.0076	0.501	-0.28	0.505	1.36	4339.0	2.83	1.0
theta[3,197]	-0.132	0.0116	0.904	-1.68	-0.0869	1.3	6044.0	3.94	1.0
theta[1,198]	-0.796	0.00683	0.456	-1.62	-0.754	-0.0997	4459.0	2.91	0.999
theta[2,198]	-1.07	0.0101	0.655	-2.25	-1.02	-0.0712	4188.0	2.73	1.0
theta[3,198]	2.04	0.00781	0.489	1.22	2.04	2.83	3927.0	2.56	1.0
theta[1,199]	1.18	0.00351	0.236	0.798	1.18	1.57	4542.0	2.96	1.0
theta[2,199]	0.943	0.00705	0.479	0.136	0.956	1.7	4611.0	3.01	1.0
theta[3,199]	-0.511	0.0108	0.773	-1.91	-0.445	0.636	5126.0	3.34	0.999
theta[1,200]	-0.246	0.00495	0.354	-0.866	-0.225	0.293	5118.0	3.34	1.0
theta[2,200]	0.598	0.00667	0.502	-0.227	0.597	1.44	5678.0	3.7	1.0
theta[3,200]	-0.211	0.0109	0.859	-1.68	-0.17	1.13	6216.0	4.05	1.0
theta[1,201]	-0.106	0.00459	0.318	-0.649	-0.0983	0.379	4802.0	3.13	1.0
theta[2,201]	1.08	0.00664	0.483	0.276	1.08	1.85	5293.0	3.45	1.0
theta[3,201]	-0.219	0.011	0.872	-1.73	-0.169	1.09	6304.0	4.11	1.0
theta[1,202]	0.0594	0.00407	0.305	-0.453	0.079	0.525	5635.0	3.67	0.999
theta[2,202]	-1.41	0.00954	0.633	-2.54	-1.35	-0.47	4402.0	2.87	1.0
theta[3,202]	-0.267	0.011	0.845	-1.75	-0.204	1.04	5893.0	3.84	1.0
theta[1,203]	0.415	0.0037	0.262	-0.0182	0.417	0.838	5017.0	3.27	1.0
theta[2,203]	-0.0748	0.00651	0.467	-0.829	-0.0842	0.695	5153.0	3.36	1.0
theta[3,203]	-0.319	0.0109	0.83	-1.8	-0.254	0.917	5814.0	3.79	1.0
theta[1,204]	-0.439	0.00571	0.39	-1.11	-0.408	0.148	4651.0	3.03	0.999
theta[2,204]	0.566	0.00661	0.485	-0.209	0.554	1.38	5386.0	3.51	0.999
theta[3,204]	-0.161	0.0106	0.865	-1.65	-0.118	1.18	6717.0	4.38	0.999
theta[1,205]	0.911	0.00331	0.245	0.495	0.915	1.32	5487.0	3.58	1.0
theta[2,205]	1.33	0.00619	0.491	0.532	1.32	2.15	6305.0	4.11	1.0
theta[3,205]	-0.406	0.0115	0.773	-1.8	-0.337	0.744	4494.0	2.93	1.0
theta[1,206]	-1.05	0.00768	0.507	-1.96	-1.01	-0.282	4362.0	2.84	1.0
theta[2,206]	0.132	0.00772	0.519	-0.75	0.139	0.971	4517.0	2.94	1.0
theta[3,206]	-0.122	0.012	0.926	-1.72	-0.0806	1.32	5968.0	3.89	0.999
theta[1,207]	-1.36	0.00918	0.582	-2.39	-1.33	-0.473	4023.0	2.62	1.0
theta[2,207]	0.558	0.00771	0.526	-0.3	0.561	1.42	4650.0	3.03	1.0
theta[3,207]	-0.0769	0.012	0.935	-1.67	-0.0509	1.38	6096.0	3.97	0.999
theta[1,208]	-0.689	0.00674	0.419	-1.42	-0.658	-0.0461	3871.0	2.52	1.0
theta[2,208]	0.463	0.0073	0.497	-0.36	0.465	1.3	4640.0	3.02	1.0
theta[3,208]	-0.166	0.0117	0.89	-1.69	-0.134	1.22	5814.0	3.79	1.0
theta[1,209]	0.215	0.0035	0.274	-0.257	0.225	0.65	6127.0	3.99	1.0
theta[2,209]	-1.47	0.00866	0.604	-2.52	-1.41	-0.535	4867.0	3.17	0.999
theta[3,209]	-0.302	0.0114	0.846	-1.8	-0.246	0.989	5499.0	3.58	1.0
theta[1,210]	1.38	0.00362	0.242	0.984	1.38	1.78	4470.0	2.91	0.999
theta[2,210]	2.35	0.00873	0.583	1.43	2.32	3.35	4468.0	2.91	1.0
theta[3,210]	-0.542	0.00957	0.727	-1.82	-0.478	0.535	5774.0	3.76	0.999
theta[1,211]	-0.253	0.0052	0.348	-0.863	-0.225	0.266	4488.0	2.93	0.999
theta[2,211]	0.752	0.0064	0.49	-0.045	0.742	1.57	5865.0	3.82	1.0
theta[3,211]	0.8	0.00999	0.654	-0.368	0.875	1.76	4294.0	2.8	0.999
theta[1,212]	-0.907	0.00766	0.476	-1.74	-0.879	-0.173	3862.0	2.52	1.0
theta[2,212]	0.795	0.00775	0.504	-0.0195	0.802	1.64	4231.0	2.76	0.999
theta[3,212]	-0.114	0.0113	0.882	-1.61	-0.0669	1.25	6062.0	3.95	1.0
theta[1,213]	0.153	0.00405	0.292	-0.347	0.16	0.612	5194.0	3.38	1.0
theta[2,213]	0.151	0.00645	0.483	-0.637	0.143	0.955	5590.0	3.64	1.0
theta[3,213]	-0.293	0.0125	0.877	-1.79	-0.248	1.04	4951.0	3.23	0.999
theta[1,214]	0.0616	0.0045	0.304	-0.459	0.0762	0.528	4574.0	2.98	0.999
theta[2,214]	0.0512	0.00651	0.468	-0.704	0.0407	0.846	5169.0	3.37	1.0
theta[3,214]	-0.241	0.0108	0.839	-1.69	-0.191	1.07	6014.0	3.92	1.0
theta[1,215]	1.75	0.00331	0.224	1.38	1.75	2.12	4591.0	2.99	1.0
theta[2,215]	-0.534	0.0061	0.47	-1.3	-0.545	0.244	5938.0	3.87	0.999
theta[3,215]	-0.709	0.0107	0.728	-2.02	-0.637	0.371	4585.0	2.99	1.0
theta[1,216]	-0.852	0.00739	0.475	-1.67	-0.824	-0.124	4141.0	2.7	0.999
theta[2,216]	0.583	0.00851	0.505	-0.23	0.579	1.42	3524.0	2.3	1.0
theta[3,216]	-0.13	0.0125	0.902	-1.72	-0.0723	1.26	5215.0	3.4	1.0
theta[1,217]	0.105	0.00445	0.296	-0.4	0.119	0.564	4414.0	2.88	1.0
theta[2,217]	0.293	0.0067	0.471	-0.474	0.289	1.07	4939.0	3.22	0.999
theta[3,217]	-0.263	0.0108	0.85	-1.75	-0.206	1.04	6177.0	4.03	1.0
theta[1,218]	1.18	0.00353	0.249	0.773	1.18	1.59	4964.0	3.24	1.0
theta[2,218]	1.17	0.00696	0.477	0.399	1.16	1.97	4701.0	3.06	1.0
theta[3,218]	0.225	0.00899	0.575	-0.804	0.273	1.08	4096.0	2.67	1.0
theta[1,219]	-0.0126	0.00455	0.312	-0.558	-0.000766	0.458	4709.0	3.07	0.999
theta[2,219]	0.365	0.00706	0.483	-0.437	0.354	1.19	4673.0	3.05	1.0
theta[3,219]	-0.237	0.0115	0.867	-1.75	-0.179	1.08	5654.0	3.68	1.0
theta[1,220]	-0.495	0.00563	0.376	-1.15	-0.477	0.0888	4461.0	2.91	1.0
theta[2,220]	1.0	0.00729	0.501	0.185	1.0	1.83	4733.0	3.08	1.0
theta[3,220]	1.9	0.00698	0.468	1.1	1.91	2.63	4498.0	2.93	1.0
theta[1,221]	1.08	0.00362	0.244	0.676	1.08	1.48	4533.0	2.95	1.0
theta[2,221]	0.967	0.00684	0.489	0.171	0.958	1.77	5109.0	3.33	1.0
theta[3,221]	1.52	0.00922	0.453	0.774	1.51	2.26	2408.0	1.57	1.0
theta[1,222]	0.381	0.00349	0.26	-0.0654	0.392	0.797	5556.0	3.62	1.0
theta[2,222]	-0.304	0.00617	0.459	-1.05	-0.304	0.459	5540.0	3.61	1.0
theta[3,222]	-0.348	0.0111	0.832	-1.82	-0.305	0.929	5598.0	3.65	1.0
theta[1,223]	1.06	0.00377	0.243	0.661	1.06	1.46	4138.0	2.7	0.999
theta[2,223]	1.05	0.00682	0.484	0.275	1.04	1.87	5042.0	3.29	0.999
theta[3,223]	1.16	0.00572	0.424	0.443	1.16	1.85	5490.0	3.58	1.0
theta[1,224]	-1.02	0.0082	0.518	-1.95	-0.983	-0.243	3999.0	2.61	1.0
