	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.83	0.0054	0.43	-1.6	-0.8	-0.18	6241.0	4.8	1.0
theta[2,1]	-0.3	0.0042	0.33	-0.88	-0.29	0.22	6420.0	4.9	1.0
theta[3,1]	1.1	0.0034	0.28	0.61	1.1	1.5	6944.0	5.3	1.0
theta[4,1]	-0.18	0.0039	0.32	-0.73	-0.17	0.31	6629.0	5.1	1.0
theta[5,1]	1.0	0.0032	0.28	0.58	1.0	1.5	7512.0	5.8	1.0
theta[6,1]	-0.76	0.0052	0.41	-1.5	-0.73	-0.14	6284.0	4.8	1.0
theta[7,1]	0.64	0.0031	0.27	0.2	0.64	1.1	7656.0	5.9	1.0
theta[8,1]	0.81	0.0034	0.29	0.35	0.8	1.3	7018.0	5.4	1.0
theta[9,1]	0.76	0.0029	0.26	0.33	0.75	1.2	8223.0	6.3	1.0
theta[10,1]	0.6	0.0029	0.26	0.18	0.6	1.0	8268.0	6.4	1.0
theta[11,1]	1.1	0.0035	0.28	0.66	1.1	1.6	6338.0	4.9	1.0
theta[12,1]	-1.3	0.0072	0.56	-2.3	-1.2	-0.44	6201.0	4.8	1.0
theta[13,1]	3.3	0.0054	0.42	2.6	3.3	4.0	6194.0	4.8	1.0
theta[14,1]	1.2	0.0034	0.29	0.75	1.2	1.7	7536.0	5.8	1.0
theta[15,1]	1.0	0.0032	0.28	0.59	1.0	1.5	7740.0	6.0	1.0
theta[16,1]	-0.87	0.0064	0.46	-1.7	-0.84	-0.18	5157.0	4.0	1.0
theta[17,1]	-0.44	0.0043	0.35	-1.0	-0.41	0.11	6830.0	5.3	1.0
theta[18,1]	0.27	0.0031	0.27	-0.19	0.27	0.69	7601.0	5.9	1.0
theta[19,1]	-0.68	0.0057	0.4	-1.4	-0.65	-0.091	4905.0	3.8	1.0
theta[20,1]	-0.62	0.0048	0.4	-1.3	-0.59	0.013	6850.0	5.3	1.0
theta[21,1]	-1.3	0.0065	0.54	-2.3	-1.3	-0.53	6876.0	5.3	1.0
theta[22,1]	-0.6	0.0042	0.37	-1.3	-0.58	-0.043	7687.0	5.9	1.0
theta[23,1]	0.12	0.0031	0.28	-0.35	0.13	0.58	8140.0	6.3	1.0
theta[24,1]	-1.4	0.0073	0.56	-2.3	-1.3	-0.52	5742.0	4.4	1.0
theta[25,1]	-0.14	0.0033	0.3	-0.63	-0.13	0.33	8374.0	6.4	1.0
theta[26,1]	-1.3	0.0066	0.54	-2.3	-1.3	-0.52	6551.0	5.0	1.0
theta[27,1]	-0.21	0.0042	0.31	-0.76	-0.19	0.27	5639.0	4.3	1.0
theta[28,1]	0.5	0.0031	0.26	0.069	0.5	0.94	7051.0	5.4	1.0
theta[29,1]	0.49	0.0032	0.27	0.036	0.48	0.93	7170.0	5.5	1.0
theta[30,1]	-0.48	0.0045	0.36	-1.1	-0.46	0.063	6342.0	4.9	1.0
theta[31,1]	0.49	0.0029	0.26	0.075	0.49	0.91	7841.0	6.0	1.0
theta[32,1]	-0.67	0.0053	0.39	-1.4	-0.64	-0.086	5424.0	4.2	1.0
theta[33,1]	-0.8	0.0058	0.41	-1.5	-0.78	-0.16	5015.0	3.9	1.0
theta[34,1]	-0.71	0.0053	0.41	-1.4	-0.67	-0.087	6064.0	4.7	1.0
theta[35,1]	1.3	0.0039	0.3	0.84	1.3	1.8	5877.0	4.5	1.0
theta[36,1]	-0.9	0.0057	0.45	-1.7	-0.87	-0.21	6180.0	4.8	1.0
theta[37,1]	-1.2	0.0067	0.51	-2.0	-1.1	-0.36	5834.0	4.5	1.0
theta[38,1]	-0.43	0.0042	0.34	-1.0	-0.41	0.084	6393.0	4.9	1.0
theta[39,1]	-0.096	0.0038	0.3	-0.6	-0.091	0.38	6276.0	4.8	1.0
theta[40,1]	-1.7	0.0079	0.62	-2.8	-1.6	-0.74	6204.0	4.8	1.0
theta[41,1]	-1.7	0.008	0.63	-2.8	-1.7	-0.74	6320.0	4.9	1.0
theta[42,1]	-0.61	0.0052	0.39	-1.3	-0.58	-0.022	5682.0	4.4	1.0
