	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.84	0.0056	0.43	-1.6	-0.81	-0.18	5982.0	5.9	1.0
theta[2,1]	-0.33	0.004	0.32	-0.9	-0.31	0.17	6535.0	6.5	1.0
theta[3,1]	1.1	0.0032	0.28	0.65	1.1	1.5	7632.0	7.5	1.0
theta[4,1]	-0.2	0.0035	0.3	-0.71	-0.19	0.29	7648.0	7.6	1.0
theta[5,1]	1.0	0.0033	0.28	0.57	1.0	1.5	7189.0	7.1	1.0
theta[6,1]	-0.77	0.0054	0.41	-1.5	-0.75	-0.15	5830.0	5.8	1.0
theta[7,1]	0.64	0.0029	0.27	0.21	0.64	1.1	8668.0	8.6	1.0
theta[8,1]	0.71	0.0032	0.27	0.28	0.7	1.2	7529.0	7.4	1.0
theta[9,1]	0.75	0.0029	0.26	0.33	0.75	1.2	8059.0	8.0	1.0
theta[10,1]	0.58	0.0027	0.26	0.15	0.57	1.0	9018.0	8.9	1.0
theta[11,1]	1.1	0.0036	0.28	0.68	1.1	1.6	6091.0	6.0	1.0
theta[12,1]	-1.3	0.0068	0.54	-2.3	-1.2	-0.46	6376.0	6.3	1.0
theta[13,1]	3.3	0.0055	0.43	2.6	3.3	4.0	6154.0	6.1	1.0
theta[14,1]	1.2	0.003	0.29	0.75	1.2	1.7	9278.0	9.2	1.0
theta[15,1]	1.0	0.0032	0.27	0.57	1.0	1.5	7127.0	7.0	1.0
theta[16,1]	-0.88	0.0057	0.44	-1.7	-0.84	-0.21	5945.0	5.9	1.0
theta[17,1]	-0.45	0.004	0.35	-1.1	-0.42	0.091	7736.0	7.6	1.0
theta[18,1]	0.28	0.003	0.27	-0.18	0.28	0.72	8235.0	8.1	1.0
theta[19,1]	-0.69	0.005	0.38	-1.4	-0.67	-0.096	5712.0	5.6	1.0
theta[20,1]	-0.59	0.0048	0.38	-1.3	-0.56	-0.011	6275.0	6.2	1.0
theta[21,1]	-1.3	0.0069	0.53	-2.3	-1.3	-0.53	6003.0	5.9	1.0
theta[22,1]	-0.62	0.0049	0.38	-1.3	-0.6	-0.044	6100.0	6.0	1.0
theta[23,1]	0.091	0.003	0.27	-0.36	0.096	0.54	8316.0	8.2	1.0
theta[24,1]	-1.4	0.0071	0.55	-2.3	-1.3	-0.54	6095.0	6.0	1.0
theta[25,1]	-0.12	0.0037	0.31	-0.65	-0.099	0.37	6723.0	6.6	1.0
theta[26,1]	-1.3	0.0067	0.53	-2.3	-1.3	-0.53	6249.0	6.2	1.0
theta[27,1]	-0.24	0.0039	0.31	-0.78	-0.22	0.25	6618.0	6.5	1.0
theta[28,1]	0.47	0.0031	0.26	0.043	0.47	0.89	7078.0	7.0	1.0
theta[29,1]	0.55	0.0028	0.26	0.13	0.55	0.98	8383.0	8.3	1.0
theta[30,1]	-0.5	0.0046	0.35	-1.1	-0.47	0.043	5795.0	5.7	1.0
theta[31,1]	0.48	0.0029	0.26	0.062	0.48	0.91	7809.0	7.7	1.0
theta[32,1]	-0.7	0.0051	0.39	-1.4	-0.67	-0.089	6010.0	5.9	1.0
theta[33,1]	-0.81	0.0058	0.42	-1.6	-0.77	-0.18	5273.0	5.2	1.0
theta[34,1]	-0.72	0.0057	0.43	-1.5	-0.69	-0.087	5687.0	5.6	1.0
theta[35,1]	1.3	0.0034	0.29	0.86	1.3	1.8	6895.0	6.8	1.0
theta[36,1]	-0.91	0.0057	0.44	-1.7	-0.89	-0.24	6010.0	5.9	1.0
theta[37,1]	-1.1	0.0073	0.5	-2.0	-1.1	-0.39	4716.0	4.7	1.0
theta[38,1]	-0.42	0.0044	0.35	-1.0	-0.4	0.1	6120.0	6.0	1.0
theta[39,1]	-0.082	0.0032	0.28	-0.57	-0.069	0.37	7953.0	7.9	1.0
theta[40,1]	-1.7	0.0076	0.63	-2.8	-1.7	-0.74	6796.0	6.7	1.0
theta[41,1]	-1.7	0.0077	0.62	-2.8	-1.7	-0.76	6418.0	6.3	1.0
theta[42,1]	-0.64	0.0054	0.4	-1.3	-0.61	-0.046	5535.0	5.5	1.0
theta[43,1]	0.037	0.003	0.27	-0.44	0.046	0.47	8586.0	8.5	1.0
theta[44,1]	-0.12	0.0033	0.29	-0.61	-0.11	0.35	7615.0	7.5	1.0
theta[45,1]	-1.2	0.0071	0.52	-2.2	-1.2	-0.44	5492.0	5.4	1.0
theta[46,1]	-1.6	0.0078	0.61	-2.7	-1.6	-0.69	6078.0	6.0	1.0
