sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
28,23,48,76,75,68,85,63,63,72,42,46,37,45,39,37,29,29,21,19,21,18,21,15,10,15,4,10,3,3,0,0,1,3,0,2,3,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
29,27,47,56,89,78,67,69,75,61,53,50,45,48,35,28,22,18,22,22,20,20,30,10,15,10,5,7,3,7,1,0,2,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
30,33,49,70,72,81,57,71,78,62,48,51,33,35,39,39,32,27,24,26,26,18,13,10,14,7,7,12,5,1,2,2,0,1,0,0,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0
31,17,54,65,93,83,80,61,71,61,48,42,36,37,36,35,27,28,27,21,18,15,17,9,9,16,12,5,8,3,3,3,0,3,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
32,20,77,60,68,85,58,73,66,58,46,50,44,35,34,29,26,34,28,27,19,22,16,12,14,7,7,5,6,6,2,5,4,0,1,2,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33,23,59,71,72,78,73,67,68,48,55,55,35,46,30,41,27,35,22,24,23,15,19,9,17,3,5,2,5,3,5,1,2,4,0,1,2,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
34,29,54,60,79,83,78,65,57,57,53,45,44,46,38,34,32,18,32,20,20,14,20,9,11,10,8,9,3,4,3,1,3,1,2,1,1,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,28,61,61,77,65,87,62,69,64,54,49,39,42,28,34,27,23,26,27,22,27,12,7,14,9,9,8,4,1,1,4,1,3,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
36,21,50,69,85,72,76,67,64,55,51,63,49,34,33,34,36,27,29,25,20,15,17,11,8,8,2,6,4,2,2,3,4,1,0,0,1,0,2,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0
37,23,49,76,85,73,54,78,70,64,49,47,39,35,46,35,32,27,25,22,20,16,16,11,7,13,5,9,5,5,3,0,1,3,1,0,1,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0
38,28,47,83,80,78,78,59,63,48,58,40,56,43,31,34,27,19,27,29,19,15,19,9,11,6,8,8,7,3,3,2,3,1,1,2,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
39,29,40,64,67,91,69,87,56,58,52,52,50,40,33,32,40,31,21,20,19,22,12,6,11,14,8,4,6,4,1,0,2,1,1,2,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
40,33,43,60,67,97,82,65,59,60,55,42,45,44,32,33,31,30,31,27,20,16,12,10,7,10,5,9,6,7,1,1,0,2,1,2,0,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
41,23,61,70,71,72,89,65,63,67,50,45,43,45,28,37,29,26,15,20,25,16,20,25,8,8,5,5,3,1,4,1,2,0,2,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,28,59,76,75,78,71,60,65,46,62,45,48,46,37,30,40,20,21,21,19,19,12,11,6,14,9,5,8,5,4,1,0,2,0,1,1,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
43,20,48,65,78,83,80,82,60,55,49,42,53,44,38,36,27,21,22,21,24,13,16,14,12,5,7,11,7,2,3,2,1,2,2,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
44,32,54,76,71,59,75,70,68,56,61,46,42,38,49,20,26,24,28,28,25,14,19,14,11,8,5,4,6,3,3,3,3,0,2,0,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
45,36,53,59,69,68,72,75,68,65,54,44,48,45,39,38,24,20,23,27,32,15,11,9,10,8,7,8,2,5,6,1,1,2,0,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0
46,18,54,60,73,79,72,80,64,56,63,43,49,43,45,29,30,23,25,20,17,21,12,15,14,8,11,5,8,5,1,0,0,2,0,1,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0
47,21,52,71,70,81,78,65,54,45,50,49,40,55,40,36,33,31,26,20,23,13,17,12,22,10,5,6,7,4,1,5,1,0,0,2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0
48,26,45,70,78,76,81,76,57,46,60,48,43,43,40,31,36,15,24,23,23,20,19,17,13,2,7,8,2,3,2,2,5,3,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
49,31,45,62,85,81,77,63,66,61,62,54,46,31,35,26,30,28,25,14,19,18,12,15,8,7,12,7,9,4,4,2,2,1,1,3,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
50,28,59,58,85,79,71,73,69,54,52,48,32,42,36,28,35,35,21,25,27,17,12,13,10,4,9,7,3,2,2,7,0,1,1,2,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
51,29,55,74,70,79,76,56,53,60,53,50,55,37,47,26,22,25,28,23,31,23,15,9,10,11,3,8,4,4,1,2,0,1,1,2,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
52,25,58,81,69,79,74,67,57,60,50,49,42,37,43,32,28,25,29,21,17,20,20,10,12,9,8,3,5,5,3,2,0,2,2,1,0,0,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
53,28,48,63,83,76,73,57,63,64,55,50,43,44,37,43,31,36,16,31,14,15,16,12,10,5,8,8,3,4,4,1,1,1,3,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
54,32,56,71,58,80,70,82,50,71,49,54,47,34,24,33,33,31,27,19,19,23,16,10,13,7,12,2,5,6,2,1,4,0,3,2,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
55,20,53,72,74,73,72,70,69,63,55,42,36,46,33,35,36,27,26,21,21,17,22,8,15,12,11,2,4,2,3,2,0,2,1,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0
56,32,60,69,65,85,81,65,53,57,54,66,48,32,32,26,27,40,21,22,14,24,11,10,11,2,8,9,5,3,2,5,1,2,2,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
57,23,67,61,74,67,79,78,76,53,37,43,60,35,37,31,30,23,32,18,23,19,12,14,8,15,6,4,6,2,0,7,2,1,0,3,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
58,28,56,57,68,84,77,69,59,59,55,45,50,44,30,31,33,29,24,27,17,16,15,17,12,15,4,7,4,2,3,3,3,1,0,1,0,1,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0
59,30,39,85,70,71,88,67,74,52,51,52,50,34,35,25,40,31,26,20,18,10,12,8,8,12,10,3,7,4,2,2,1,2,2,2,1,1,1,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0
60,27,64,70,80,55,89,64,61,58,55,40,44,37,28,35,32,39,20,28,17,15,14,21,10,6,4,8,6,6,4,0,2,2,2,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0
61,15,58,82,81,76,69,78,62,51,54,51,40,46,27,34,20,36,25,24,24,14,19,9,11,6,14,3,4,0,3,2,4,0,1,0,0,3,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
62,20,48,69,89,78,78,65,64,68,58,49,45,32,30,34,23,28,20,29,24,24,16,7,12,9,9,5,7,1,1,0,1,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
63,25,45,62,82,76,74,70,61,78,56,48,34,39,48,37,27,23,18,20,15,18,12,16,15,12,7,6,8,4,2,2,3,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
64,28,55,72,72,86,58,73,68,60,58,43,32,36,30,33,34,38,27,23,19,12,18,13,7,10,11,9,6,4,4,1,1,0,2,1,1,1,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
65,29,60,52,65,85,74,71,70,60,58,52,41,36,38,34,29,25,24,27,12,23,13,19,3,10,12,6,4,4,4,0,1,0,3,3,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
66,25,45,63,79,77,62,76,74,72,48,48,53,37,48,27,19,21,36,22,20,17,15,13,10,11,2,3,11,4,1,0,3,2,0,0,0,3,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
67,23,56,78,73,76,76,63,56,67,52,51,43,45,43,35,20,34,31,18,16,22,10,8,12,6,8,2,13,0,0,3,3,1,0,1,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
68,20,61,54,70,74,86,76,76,45,63,44,50,41,36,26,35,30,26,14,24,17,17,10,12,9,6,10,2,1,1,2,2,2,2,2,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
69,22,63,62,82,69,91,78,52,55,42,42,34,42,39,31,33,33,30,22,20,16,15,16,9,15,7,7,4,5,3,1,0,1,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,31,55,60,71,79,85,77,59,48,61,55,41,39,37,32,28,31,29,20,15,18,13,12,4,7,12,4,4,2,3,5,1,2,4,0,1,0,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0
71,29,57,66,76,71,86,62,64,49,46,44,44,53,39,37,25,30,29,29,18,26,11,10,4,7,3,10,6,1,3,4,3,1,2,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
72,27,61,57,79,82,73,77,65,54,51,47,35,34,39,37,36,25,27,17,28,12,10,19,6,11,6,7,4,7,3,3,1,3,1,0,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
73,24,63,61,67,82,72,75,70,60,50,50,44,42,31,35,35,30,23,26,19,15,14,17,10,5,6,4,6,4,1,0,1,0,0,1,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
74,27,51,62,76,76,76,74,66,63,53,50,44,26,22,33,46,29,26,33,20,18,12,7,18,5,7,7,7,1,2,1,2,1,3,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
75,26,55,75,70,83,70,69,70,48,54,57,36,40,33,33,34,24,19,28,24,23,8,12,12,7,9,4,8,4,4,2,2,0,1,2,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0
76,29,46,70,78,47,83,77,77,77,45,47,36,38,35,25,26,42,29,24,24,10,23,13,13,7,5,2,3,4,1,0,2,0,1,1,4,0,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0
77,23,59,62,75,75,80,70,80,56,41,66,40,35,41,19,19,36,32,24,16,20,11,13,9,4,12,6,4,4,3,3,1,3,1,0,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0
78,25,51,80,79,72,83,62,62,61,61,46,40,32,35,44,28,23,26,20,24,19,14,6,11,10,7,7,4,4,1,4,0,2,2,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
79,34,45,66,77,65,72,71,79,57,53,46,24,39,47,44,37,27,26,28,20,15,13,16,7,9,10,4,3,1,3,3,4,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
80,32,52,57,79,85,75,81,73,58,49,43,47,30,26,31,36,31,19,17,28,14,20,14,11,10,6,2,5,5,1,2,1,2,2,2,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
81,43,56,65,77,84,72,62,63,52,46,51,41,47,51,25,29,25,29,17,16,20,13,14,5,13,8,8,4,5,1,1,1,2,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
82,30,51,69,71,71,76,89,80,48,58,39,44,28,29,29,30,31,20,29,29,21,17,14,7,6,7,5,4,4,2,0,1,3,2,2,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
83,34,46,71,70,82,64,71,60,56,55,51,51,43,36,30,29,16,26,25,25,20,16,18,13,9,7,6,4,2,2,2,0,3,0,2,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0
84,26,45,86,85,78,63,68,62,58,44,43,42,39,38,43,29,26,17,29,23,14,10,21,8,10,11,6,3,8,2,4,2,1,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
85,24,50,68,68,82,82,63,79,58,57,48,35,37,31,32,28,33,36,26,15,17,16,11,12,10,5,3,4,3,3,2,0,2,2,1,2,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0
86,27,56,74,62,77,77,71,67,62,48,50,48,38,37,30,32,23,25,26,18,13,15,10,17,13,7,5,5,5,1,2,2,0,1,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
87,28,50,73,89,72,66,76,68,51,46,36,56,36,41,39,34,25,25,23,19,14,24,13,4,9,4,3,4,4,3,3,3,0,0,1,1,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0
88,31,43,73,77,65,75,68,65,52,52,51,45,45,35,39,23,31,21,24,18,21,21,15,10,8,15,8,5,3,1,0,2,0,1,0,2,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
89,39,57,72,76,81,58,76,69,57,43,41,56,37,27,38,30,32,24,27,9,22,10,15,10,8,6,5,6,5,2,3,1,1,1,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
90,26,48,63,78,85,72,70,58,58,49,46,39,45,35,41,33,31,24,17,16,23,13,17,13,8,10,8,7,3,1,3,1,1,3,0,1,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
91,31,48,69,65,76,85,85,64,56,46,54,32,40,33,41,25,26,33,27,20,8,19,12,10,6,5,8,6,3,3,2,1,1,4,0,2,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
92,28,36,68,76,93,78,72,66,57,55,52,40,32,35,33,34,23,33,21,19,24,11,15,7,5,8,5,4,5,4,1,0,3,2,0,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
93,30,63,66,64,73,87,79,63,58,34,40,46,42,36,31,37,31,19,21,18,18,21,11,9,15,7,8,1,2,4,2,3,4,2,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
94,25,42,72,78,90,59,65,74,67,54,39,47,47,31,31,31,29,31,17,19,17,12,13,7,9,7,9,6,3,4,2,2,1,3,1,1,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0
95,28,44,64,104,75,79,58,59,47,55,41,46,37,47,30,32,26,26,33,16,25,15,10,8,10,4,5,6,3,5,0,2,2,0,3,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
96,29,48,62,59,73,81,81,61,61,51,67,45,30,34,23,36,25,20,20,30,29,12,18,8,7,9,8,3,2,4,1,1,2,2,2,1,1,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
97,28,57,74,76,67,78,55,69,62,68,47,42,43,34,29,24,21,26,16,31,15,17,13,9,14,7,6,4,2,2,0,3,1,1,2,1,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
98,32,51,64,76,66,67,65,65,67,61,59,44,43,37,27,30,21,26,16,17,13,24,15,12,10,11,5,3,1,5,4,7,0,1,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,21,49,67,86,61,91,61,58,68,50,49,41,53,28,29,30,29,24,24,20,19,23,17,8,12,4,7,4,3,2,3,1,0,3,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0
100,27,51,64,79,77,78,70,74,58,63,40,39,37,38,38,23,21,26,24,27,19,11,21,9,7,5,5,3,4,1,1,3,2,0,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
101,24,37,75,93,78,73,62,67,55,49,44,45,45,39,39,38,30,11,19,20,17,14,11,11,16,6,5,4,7,3,3,2,1,1,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
102,31,67,82,67,66,77,63,63,58,50,47,36,29,36,31,29,32,26,19,21,30,17,15,13,14,7,6,3,6,0,1,1,1,1,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
103,26,55,62,78,75,69,75,56,62,59,42,50,49,32,34,29,21,31,22,22,13,16,13,7,12,6,6,6,6,3,3,1,2,1,0,1,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
104,29,49,47,86,100,76,76,55,60,53,48,42,37,34,30,32,28,26,27,15,17,14,11,15,9,8,6,5,2,1,2,3,1,2,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105,33,58,55,84,75,74,68,59,60,56,62,42,40,33,31,38,25,24,25,12,19,9,14,9,7,8,9,1,4,2,4,0,1,2,0,2,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
106,31,56,58,71,85,82,74,52,58,47,59,51,45,36,32,29,26,27,14,19,17,14,10,12,5,17,5,1,3,4,2,0,3,1,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107,27,44,64,74,89,70,84,54,66,62,44,37,36,35,24,37,34,33,19,19,19,13,16,8,10,6,5,3,2,1,3,0,1,3,2,1,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108,26,62,64,72,66,71,90,70,46,49,57,35,27,35,40,24,34,34,23,24,22,9,13,10,8,8,8,5,3,4,2,3,0,1,0,0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
109,35,46,61,83,88,59,66,78,70,48,45,44,32,31,40,24,24,19,38,13,21,20,10,16,7,5,2,3,2,7,2,2,2,1,1,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
110,24,54,73,64,75,87,68,62,49,59,44,54,34,35,31,36,22,30,24,25,21,16,10,11,5,12,2,2,3,3,5,1,3,0,0,1,1,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
111,32,43,79,73,71,78,60,61,63,57,48,56,39,45,27,31,27,24,15,23,11,17,13,13,10,6,6,5,3,2,4,1,0,1,0,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
112,25,57,72,78,68,68,75,60,55,50,47,44,56,41,31,33,29,14,24,23,27,17,14,4,8,5,6,2,2,2,3,3,0,2,1,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0
113,24,54,70,78,76,80,65,74,59,43,51,47,41,45,28,26,26,19,22,14,18,11,14,13,13,11,6,4,2,5,3,0,2,0,0,1,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0
114,28,54,64,83,71,78,74,57,69,52,37,56,34,34,32,30,21,34,18,20,18,18,9,10,12,7,9,2,1,5,0,1,2,1,1,1,2,1,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0
115,30,46,88,64,75,74,77,64,55,44,51,49,33,46,31,36,18,34,23,14,16,13,13,7,13,7,7,5,6,0,2,1,0,3,0,1,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
116,31,51,74,71,59,81,69,72,57,56,44,38,41,33,34,42,25,26,18,16,25,21,13,8,10,9,3,7,4,1,3,1,0,1,1,1,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
