k1,k2,obs,pred,pval
0,0,0.04575684576880293,0.028694224470347154,1.0
1,0,0.034822763531588766,-0.00038557125167412644,0.7275
2,0,0.000554259603877326,-0.0002564047824270237,0.498
2,1,-0.007601889864827216,0.00101737192792214,0.42575
3,0,0.04803945164639508,0.0002467894842489991,0.873
3,1,-0.017541314873922232,-0.0001700697179291415,0.33625
3,2,0.03557257834968532,-0.00024657131970239776,0.822
4,0,0.009407915224194749,-0.0003801244306851192,0.6065
4,1,-0.0206276078117459,0.00023555501953989236,0.272
4,2,-0.0018815471537930234,0.001176773585084569,0.45475
4,3,0.02214186827907603,0.00019339807816298274,0.70475
5,0,0.02633537539564649,0.00013572521965673137,0.732
5,1,0.010374009143318328,-0.0004320551236737527,0.60025
5,2,0.2481958108306936,-0.00015660127037047698,1.0
5,3,-0.01147503872771888,0.0004286741208315476,0.388
5,4,0.05129925522309163,-0.0004986950985800086,0.88675
6,0,0.04887112512115923,4.735083255510253e-05,0.905
6,1,-0.056024664819344816,0.00020745952830971432,0.07625
6,2,0.08837291443811716,-0.00043511767729726195,0.99325
6,3,-0.003202578618684148,-0.0006623191818222886,0.47525
6,4,0.03905429567733269,0.000803372467544537,0.8745
6,5,0.14637867213843953,0.00040234872174979856,0.99925
7,0,0.005485427212585588,0.00016564489763388823,0.562
7,1,-0.005993016411929493,-0.00047655819918276666,0.425
7,2,-0.03871874378162999,-0.000607521641814626,0.14625
7,3,-0.008488055277174793,-0.0006631750273017983,0.4335
7,4,0.07702467927619659,0.000132653424303809,0.923
7,5,-0.011016129639690852,-0.0010616690003084986,0.412
7,6,0.014739327175259586,-0.00010238353090942954,0.66425
8,0,-0.02410035197516767,0.0001062785337531736,0.24775
8,1,-0.01059278359894347,0.0002727554207530099,0.37625
8,2,-0.021038073934141383,-0.0002542160619066583,0.27125
8,3,-0.0584387809394505,-0.0014368928389443209,0.09675
8,4,0.08322070688825572,0.0001117156854899093,0.92975
8,5,0.035437176595571745,0.0009954979573424054,0.78525
8,6,0.04305729424616822,0.0005887871667360679,0.895
8,7,0.4163864895607002,0.0005972482985524663,1.0
9,0,0.04309888501099597,0.00035604637962596527,0.82875
9,1,-0.020309003376323468,0.00011060827544639327,0.3285
9,2,0.11627475939842528,0.0008183743547033698,0.99525
9,3,-0.06461245937749228,0.000556882970549153,0.07225
9,4,0.013065210824059693,0.000643299711400005,0.61425
9,5,0.35311175210927104,-0.000184661126309069,1.0
9,6,0.00173851665972916,-0.0005183361208328383,0.531
9,7,-0.0492225519494491,0.00035081583693739654,0.1455
9,8,-0.1384656072189434,-0.0005830453718289131,0.00225
10,0,0.0038372435246228362,0.00028746909559981414,0.52575
10,1,-0.006702928873701078,-0.0005016220412094798,0.41375
10,2,-0.07222690717663569,-0.0005605101314221787,0.032
10,3,-0.023962322726426077,0.0007842508589853318,0.31125
