sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
28,26,54,61,81,80,79,73,54,62,47,44,46,37,37,26,37,38,27,23,19,12,20,12,13,5,5,9,5,4,3,1,3,1,0,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29,22,47,56,67,82,95,59,52,72,66,43,45,40,34,34,26,30,43,27,22,17,14,6,9,10,11,3,1,3,1,2,2,0,1,1,2,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0
30,42,58,67,66,81,70,69,83,51,49,40,29,42,41,33,30,25,27,24,16,20,17,10,9,8,9,4,7,7,5,2,0,1,1,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,30,55,63,92,80,55,66,73,57,49,34,46,41,31,43,28,31,23,25,19,15,16,12,19,12,8,5,5,3,1,1,0,3,1,1,1,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,27,65,80,71,80,65,70,61,47,37,58,43,35,38,32,32,27,20,25,24,21,11,18,16,14,4,7,5,2,4,2,1,1,1,0,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
33,37,55,69,78,66,80,65,65,54,51,40,40,40,33,38,36,28,23,22,24,19,14,11,13,10,11,5,3,2,4,0,3,3,0,1,1,1,1,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0
34,22,47,70,64,66,86,62,68,49,63,49,38,51,29,40,31,25,28,31,31,18,14,14,11,6,9,7,2,5,2,2,3,2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,29,58,78,69,77,73,67,69,49,40,56,45,43,40,28,31,29,29,20,15,19,9,13,14,15,9,7,3,4,3,0,4,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
36,29,45,83,67,76,86,70,64,51,53,41,40,31,44,36,39,36,22,15,22,21,8,15,7,12,7,9,2,3,5,1,1,1,1,1,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
37,25,44,69,80,79,80,60,61,58,49,42,47,46,49,31,34,32,26,21,19,11,17,10,9,9,6,7,8,1,4,6,3,0,1,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
38,30,54,70,74,63,64,74,62,65,51,44,59,40,31,36,27,37,32,21,17,16,21,12,12,8,4,5,1,2,1,2,3,3,2,1,0,2,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0
39,30,54,71,68,73,61,85,66,54,46,50,47,43,41,36,27,17,34,31,17,10,21,8,14,7,6,9,3,2,6,0,5,2,1,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
