k1,k2,sk,lb,ub,pval
0,0,0.019788,0.017459,0.024669,0.24275
1,0,0.813333,0.721905,0.780952,1.0
2,0,0.786667,0.762857,0.819048,0.386
2,1,0.76,0.729524,0.788571,0.53825
3,0,0.755238,0.712381,0.770476,0.833
3,1,0.673333,0.635238,0.7,0.66775
3,2,0.757143,0.720952,0.778095,0.70025
4,0,0.708571,0.677143,0.734286,0.54
4,1,0.609524,0.577143,0.64,0.4815
4,2,0.71619,0.688571,0.745714,0.53225
4,3,0.858095,0.827619,0.878095,0.6185
5,0,0.747619,0.727619,0.786667,0.2035
5,1,0.717143,0.700952,0.760952,0.198
5,2,0.810476,0.738095,0.795238,0.99775
5,3,0.727619,0.698095,0.757143,0.44425
5,4,0.707619,0.672381,0.733333,0.6175
6,0,0.767619,0.74,0.79619,0.50325
6,1,0.700952,0.661905,0.724762,0.68925
6,2,0.80381,0.750476,0.806667,0.9695
6,3,0.82,0.800952,0.850476,0.3175
6,4,0.847619,0.821905,0.871429,0.5135
6,5,0.796384,0.722169,0.782112,0.99825
7,0,0.71619,0.684762,0.742857,0.546
7,1,0.613333,0.580952,0.644762,0.4505
7,2,0.725714,0.693333,0.750476,0.5845
7,3,0.861905,0.838095,0.886667,0.488
7,4,0.954286,0.930476,0.961905,0.84825
7,5,0.716461,0.680304,0.741199,0.65875
7,6,0.870599,0.833492,0.881066,0.87225
8,0,0.56,0.527619,0.599048,0.4255
8,1,0.575238,0.571429,0.641905,0.035
8,2,0.573333,0.528571,0.6,0.71325
8,3,0.454286,0.417143,0.492381,0.46775
8,4,0.392381,0.349524,0.422857,0.595
8,5,0.585157,0.518554,0.589914,0.95475
8,6,0.49001,0.435775,0.50999,0.80725
8,7,0.391056,0.350143,0.425309,0.52925
9,0,0.674286,0.65619,0.720952,0.185
9,1,0.619048,0.604762,0.671429,0.132
9,2,0.708571,0.66381,0.726667,0.80875
9,3,0.74,0.706667,0.768571,0.54475
9,4,0.773333,0.731429,0.79619,0.712
9,5,0.701237,0.646051,0.711703,0.89325
9,6,0.750714,0.712655,0.775452,0.6515
9,7,0.771646,0.737393,0.802093,0.57275
9,8,0.594672,0.446242,0.516651,1.0
10,0,0.731429,0.697143,0.758095,0.59875
10,1,0.653333,0.648571,0.712381,0.0475
10,2,0.731429,0.704762,0.764762,0.39175
10,3,0.738095,0.721905,0.780952,0.1945
10,4,0.75619,0.725714,0.790476,0.47275
10,5,0.724072,0.686013,0.747859,0.72675
10,6,0.794481,0.734539,0.792578,0.98075
10,7,0.764034,0.731684,0.795433,0.48825
10,8,0.607992,0.469077,0.543292,1.0
10,9,0.741199,0.659372,0.723121,0.99775
11,0,0.718095,0.689524,0.746667,0.4895
11,1,0.620952,0.589524,0.653333,0.5105
11,2,0.721905,0.697143,0.755238,0.3705
11,3,0.86,0.837143,0.885714,0.487
11,4,0.946667,0.921905,0.95619,0.778
11,5,0.712655,0.683159,0.743102,0.4765
11,6,0.85157,0.833492,0.882017,0.321
11,7,0.94862,0.932445,0.962892,0.57275
11,8,0.394862,0.355852,0.431018,0.49775
11,9,0.76784,0.733587,0.798287,0.506
11,10,0.76784,0.732636,0.795433,0.573
12,0,0.707619,0.68,0.738095,0.42075
12,1,0.612381,0.580952,0.64381,0.5185
12,2,0.715238,0.688571,0.745714,0.40025
12,3,0.857143,0.835238,0.884762,0.39875
12,4,0.955238,0.929524,0.961905,0.829
12,5,0.704091,0.67745,0.737393,0.43
12,6,0.85823,0.829686,0.878211,0.62575
12,7,0.957184,0.937203,0.966698,0.7025
12,8,0.388202,0.350143,0.424358,0.52775
12,9,0.768792,0.733587,0.799239,0.51875
12,10,0.764986,0.726927,0.791627,0.568
12,11,0.968601,0.930542,0.961941,0.9985
13,0,0.7,0.67619,0.733333,0.402
13,1,0.599048,0.572381,0.634286,0.4155
13,2,0.709524,0.680952,0.737143,0.449
13,3,0.859048,0.838095,0.887619,0.398
13,4,0.960952,0.941905,0.972381,0.70275
13,5,0.702188,0.669838,0.730733,0.53625
13,6,0.854424,0.829686,0.87726,0.531
13,7,0.964795,0.947669,0.97431,0.67075
13,8,0.378687,0.336822,0.411037,0.53125
13,9,0.7745,0.737393,0.803045,0.61625
13,10,0.766889,0.725975,0.791627,0.6515
13,11,0.970504,0.939106,0.968601,0.984
13,12,0.982873,0.94862,0.976213,0.9995
14,0,0.747318,0.705602,0.771156,0.65075
14,1,0.696067,0.662694,0.733015,0.46275
14,2,0.772348,0.713945,0.779499,0.9205
14,3,0.733015,0.716329,0.780691,0.18025
14,4,0.746126,0.707986,0.778308,0.519
14,5,0.834327,0.690107,0.756853,1.0
14,6,0.775924,0.735399,0.797378,0.7235
14,7,0.756853,0.718713,0.787843,0.59875
14,8,0.505364,0.480334,0.557807,0.26525
14,9,0.678188,0.655542,0.724672,0.2215
14,10,0.712753,0.684148,0.750894,0.397
14,11,0.74851,0.718713,0.787843,0.38525
14,12,0.733015,0.713945,0.783075,0.17575
14,13,0.738975,0.707986,0.778308,0.33175
15,0,0.718713,0.676996,0.736591,0.757
15,1,0.619785,0.570918,0.638856,0.755
15,2,0.717521,0.684148,0.744934,0.552
15,3,0.873659,0.83671,0.889154,0.79525
15,4,0.951132,0.93683,0.970203,0.3795
15,5,0.712753,0.671037,0.736591,0.706
15,6,0.866508,0.829559,0.879619,0.8195
15,7,0.973778,0.945173,0.973778,0.9825
15,8,0.367104,0.337306,0.417163,0.27175
15,9,0.771156,0.730632,0.802145,0.54275
15,10,0.762813,0.725864,0.794994,0.516
15,11,0.946365,0.935638,0.967819,0.22275
15,12,0.957092,0.943981,0.97497,0.33525
15,13,0.970203,0.9559,0.982122,0.4835
15,14,0.759237,0.712753,0.780691,0.72825
16,0,0.711561,0.673421,0.733015,0.7015
16,1,0.612634,0.570918,0.637664,0.70675
16,2,0.703218,0.678188,0.738975,0.30325
16,3,0.871275,0.831943,0.885578,0.8045
16,4,0.951132,0.934446,0.969011,0.37275
16,5,0.700834,0.667461,0.733015,0.52125
16,6,0.849821,0.822408,0.874851,0.48
16,7,0.954708,0.941597,0.972586,0.33125
16,8,0.367104,0.336114,0.414779,0.3225
16,9,0.77354,0.731824,0.802145,0.633
16,10,0.760429,0.722288,0.791418,0.53675
16,11,0.967819,0.933254,0.966627,0.9785
16,12,0.966627,0.945173,0.976162,0.78875
16,13,0.982122,0.9559,0.983313,0.95375
16,14,0.742551,0.712753,0.780691,0.4525
