	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[949,1]	0.67	0.0024	0.26	0.25	0.67	1.1	11405.0	16.0	1.0
theta[950,1]	-0.052	0.0031	0.29	-0.54	-0.039	0.4	8566.0	12.0	1.0
theta[951,1]	0.035	0.0028	0.27	-0.42	0.038	0.48	9528.0	13.0	1.0
theta[952,1]	1.4	0.0029	0.28	0.9	1.4	1.8	9268.0	13.0	1.0
theta[953,1]	0.52	0.0028	0.26	0.072	0.51	0.96	8748.0	12.0	1.0
theta[954,1]	-0.74	0.0045	0.36	-1.4	-0.73	-0.16	6643.0	9.1	1.0
theta[955,1]	1.2	0.0029	0.27	0.76	1.2	1.6	8154.0	11.0	1.0
theta[956,1]	1.1	0.0029	0.26	0.67	1.1	1.5	7570.0	10.0	1.0
theta[957,1]	1.1	0.0028	0.27	0.64	1.1	1.5	9098.0	12.0	1.0
theta[958,1]	-0.88	0.0048	0.4	-1.6	-0.86	-0.26	6820.0	9.3	1.0
theta[959,1]	0.047	0.0028	0.28	-0.42	0.053	0.5	9944.0	14.0	1.0
theta[960,1]	-0.49	0.0037	0.34	-1.1	-0.47	0.044	8728.0	12.0	1.0
theta[961,1]	-0.22	0.0031	0.29	-0.73	-0.21	0.23	9073.0	12.0	1.0
theta[962,1]	-0.59	0.0039	0.35	-1.2	-0.57	-0.036	8087.0	11.0	1.0
theta[963,1]	0.43	0.0028	0.27	-0.015	0.43	0.86	9114.0	12.0	1.0
theta[964,1]	-0.26	0.0032	0.3	-0.77	-0.24	0.21	8661.0	12.0	1.0
theta[965,1]	2.2	0.0035	0.31	1.7	2.2	2.7	8176.0	11.0	1.0
theta[966,1]	-1.1	0.0055	0.44	-1.9	-1.1	-0.41	6415.0	8.8	1.0
theta[967,1]	0.84	0.0026	0.25	0.44	0.84	1.3	9063.0	12.0	1.0
theta[968,1]	-0.3	0.0033	0.31	-0.82	-0.28	0.17	9016.0	12.0	1.0
theta[969,1]	-0.15	0.0033	0.31	-0.68	-0.14	0.34	8680.0	12.0	1.0
theta[970,1]	-0.43	0.0036	0.33	-1.0	-0.41	0.088	8713.0	12.0	1.0
theta[971,1]	-0.43	0.0039	0.34	-1.0	-0.41	0.093	7480.0	10.0	1.0
theta[972,1]	0.83	0.0027	0.26	0.42	0.82	1.3	9126.0	12.0	1.0
theta[973,1]	0.55	0.0025	0.26	0.13	0.55	0.98	10436.0	14.0	1.0
theta[974,1]	0.62	0.0026	0.25	0.21	0.62	1.0	9357.0	13.0	1.0
theta[975,1]	-1.0	0.0049	0.42	-1.7	-0.98	-0.35	7345.0	10.0	1.0
theta[976,1]	1.4	0.0031	0.27	0.95	1.4	1.8	7764.0	11.0	1.0
theta[977,1]	0.22	0.0027	0.26	-0.22	0.22	0.64	9153.0	13.0	1.0
theta[978,1]	0.15	0.0026	0.26	-0.3	0.15	0.58	10389.0	14.0	1.0
theta[979,1]	0.083	0.0028	0.28	-0.39	0.095	0.54	9913.0	14.0	1.0
theta[980,1]	-0.15	0.0032	0.29	-0.65	-0.15	0.32	8474.0	12.0	1.0
theta[981,1]	0.84	0.0028	0.26	0.43	0.84	1.3	8249.0	11.0	1.0
theta[982,1]	0.63	0.0027	0.25	0.23	0.63	1.1	8878.0	12.0	1.0
theta[983,1]	0.42	0.0029	0.25	0.0079	0.42	0.84	7743.0	11.0	1.0
theta[984,1]	0.27	0.0028	0.26	-0.16	0.27	0.69	8285.0	11.0	1.0
theta[985,1]	0.88	0.0028	0.26	0.45	0.88	1.3	8644.0	12.0	1.0
theta[986,1]	-0.3	0.0036	0.32	-0.85	-0.28	0.2	7518.0	10.0	1.0
theta[987,1]	-0.6	0.0044	0.36	-1.2	-0.58	-0.047	6496.0	8.9	1.0
