	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[11,663]	-0.083	0.012	0.96	-1.7	-0.097	1.5	6927.0	0.66	1.0
theta[1,664]	-1.5	0.0099	0.61	-2.6	-1.5	-0.56	3771.0	0.36	1.0
theta[2,664]	-0.069	0.011	0.95	-1.6	-0.046	1.4	7625.0	0.72	1.0
theta[3,664]	-0.28	0.011	0.88	-1.7	-0.24	1.1	6697.0	0.63	1.0
theta[4,664]	-0.0095	0.011	0.97	-1.6	0.004	1.6	7117.0	0.67	1.0
theta[5,664]	-0.58	0.011	0.74	-1.9	-0.53	0.54	4901.0	0.46	1.0
theta[6,664]	-0.093	0.012	0.95	-1.7	-0.092	1.5	6640.0	0.63	1.0
theta[7,664]	-0.3	0.01	0.9	-1.8	-0.26	1.1	7468.0	0.71	1.0
theta[8,664]	0.34	0.0083	0.53	-0.52	0.34	1.2	4077.0	0.39	1.0
theta[9,664]	-0.1	0.01	0.9	-1.6	-0.074	1.4	7362.0	0.7	1.0
theta[10,664]	0.0016	0.011	0.98	-1.7	0.0086	1.6	7541.0	0.71	1.0
theta[11,664]	-0.017	0.012	0.97	-1.6	0.0067	1.6	6536.0	0.62	1.0
theta[1,665]	-0.24	0.0052	0.36	-0.87	-0.22	0.34	4789.0	0.45	1.0
theta[2,665]	0.082	0.012	0.92	-1.5	0.12	1.5	5688.0	0.54	1.0
theta[3,665]	0.12	0.01	0.73	-1.1	0.11	1.3	4896.0	0.46	1.0
theta[4,665]	-0.11	0.011	0.93	-1.7	-0.09	1.4	7461.0	0.71	1.0
theta[5,665]	0.78	0.0094	0.61	-0.18	0.77	1.8	4162.0	0.39	1.0
theta[6,665]	-0.43	0.011	0.86	-1.9	-0.4	0.92	6595.0	0.62	1.0
theta[7,665]	0.6	0.0092	0.6	-0.48	0.65	1.5	4288.0	0.41	1.0
theta[8,665]	0.09	0.0061	0.47	-0.66	0.07	0.91	5964.0	0.56	1.0
theta[9,665]	-0.21	0.012	0.86	-1.7	-0.16	1.1	5502.0	0.52	1.0
theta[10,665]	-0.15	0.011	0.92	-1.7	-0.13	1.3	6368.0	0.6	1.0
theta[11,665]	-0.16	0.014	0.93	-1.7	-0.15	1.4	4404.0	0.42	1.0
theta[1,666]	-1.3	0.0089	0.58	-2.3	-1.2	-0.4	4236.0	0.4	1.0
theta[2,666]	-0.072	0.011	0.97	-1.7	-0.045	1.5	7969.0	0.75	1.0
theta[3,666]	-0.32	0.01	0.86	-1.8	-0.3	1.1	7040.0	0.67	1.0
theta[4,666]	-0.049	0.012	0.97	-1.7	-0.024	1.5	6473.0	0.61	1.0
theta[5,666]	-0.62	0.0099	0.73	-1.9	-0.54	0.45	5432.0	0.51	1.0
theta[6,666]	-0.13	0.01	0.96	-1.7	-0.12	1.4	8679.0	0.82	1.0
theta[7,666]	-0.38	0.011	0.89	-1.9	-0.35	1.0	6972.0	0.66	1.0
theta[8,666]	0.65	0.0073	0.52	-0.19	0.64	1.5	5109.0	0.48	1.0
theta[9,666]	-0.13	0.011	0.92	-1.7	-0.1	1.3	6903.0	0.65	1.0
theta[10,666]	0.0098	0.011	0.96	-1.6	0.019	1.6	7403.0	0.7	1.0
theta[11,666]	0.011	0.011	0.98	-1.6	-0.00082	1.6	7563.0	0.72	1.0
theta[1,667]	-0.31	0.0057	0.38	-0.97	-0.29	0.26	4510.0	0.43	1.0
theta[2,667]	-0.16	0.012	0.92	-1.7	-0.13	1.3	5516.0	0.52	1.0
theta[3,667]	-0.59	0.01	0.81	-2.0	-0.55	0.66	6124.0	0.58	1.0
theta[4,667]	-0.089	0.01	0.92	-1.7	-0.069	1.4	7730.0	0.73	1.0
theta[5,667]	-0.95	0.0092	0.64	-2.1	-0.89	-0.026	4865.0	0.46	1.0
theta[6,667]	0.81	0.013	0.8	-0.47	0.82	2.1	3754.0	0.36	1.0
theta[7,667]	-0.54	0.011	0.82	-2.0	-0.5	0.73	6074.0	0.57	1.0
theta[8,667]	0.78	0.0081	0.6	-0.16	0.74	1.8	5516.0	0.52	1.0
theta[9,667]	-0.23	0.011	0.86	-1.7	-0.19	1.1	6075.0	0.57	1.0
theta[10,667]	-0.13	0.011	0.92	-1.7	-0.095	1.4	7308.0	0.69	1.0
theta[11,667]	0.017	0.011	1.0	-1.6	0.01	1.7	7874.0	0.74	1.0
theta[1,668]	1.2	0.004	0.27	0.8	1.2	1.7	4409.0	0.42	1.0
theta[2,668]	-0.35	0.011	0.83	-1.8	-0.33	0.98	5759.0	0.54	1.0
theta[3,668]	0.77	0.0096	0.8	-0.49	0.73	2.2	6991.0	0.66	1.0
theta[4,668]	-0.38	0.011	0.83	-1.8	-0.34	0.91	5994.0	0.57	1.0
theta[5,668]	-0.56	0.0076	0.52	-1.4	-0.58	0.35	4768.0	0.45	1.0
theta[6,668]	0.42	0.011	0.88	-0.98	0.4	1.9	6902.0	0.65	1.0
theta[7,668]	-0.83	0.0093	0.71	-2.1	-0.78	0.28	5776.0	0.55	1.0
theta[8,668]	-0.19	0.0077	0.59	-1.1	-0.24	0.83	5901.0	0.56	1.0
