	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
alpha[36,1]	1.2	0.0013	0.11	1.1	1.2	1.4	6446.0	5.5	1.0
alpha[37,1]	1.1	0.0012	0.1	0.9	1.1	1.2	7212.0	6.2	1.0
alpha[38,1]	0.98	0.0019	0.14	0.76	0.98	1.2	5165.0	4.4	1.0
alpha[38,2]	1.6	0.0029	0.17	1.3	1.5	1.8	3371.0	2.9	1.0
alpha[39,1]	1.3	0.0021	0.15	1.1	1.3	1.5	4733.0	4.1	1.0
alpha[39,2]	1.6	0.0031	0.18	1.3	1.5	1.9	3203.0	2.8	1.0
tau_pr[1]	2.5	0.0017	0.14	2.2	2.5	2.7	6822.0	5.9	1.0
tau_pr[2]	1.4	0.0008	0.072	1.3	1.4	1.5	7991.0	6.9	1.0
tau_pr[3]	2.6	0.0015	0.14	2.3	2.6	2.8	8948.0	7.7	1.0
tau_pr[4]	7.3	0.0061	0.56	6.5	7.3	8.3	8281.0	7.1	1.0
tau_pr[5]	38.0	0.069	5.5	30.0	37.0	47.0	6260.0	5.4	1.0
tau_pr[6]	45.0	0.12	7.2	34.0	44.0	58.0	3711.0	3.2	1.0
tau_pr[7]	15.0	0.041	2.5	12.0	15.0	20.0	3770.0	3.2	1.0
tau_pr[8]	5.9	0.015	0.97	4.5	5.8	7.7	3970.0	3.4	1.0
tau_pr[9]	3.3	0.004	0.26	2.9	3.3	3.7	4115.0	3.5	1.0
tau_pr[10]	2.8	0.0035	0.23	2.5	2.8	3.2	4416.0	3.8	1.0
tau_pr[11]	2.7	0.0034	0.22	2.4	2.7	3.1	4129.0	3.6	1.0
tau_pr[12]	36.0	0.071	5.2	28.0	36.0	46.0	5470.0	4.7	1.0
tau_pr[13]	106.0	0.27	21.0	75.0	103.0	145.0	6225.0	5.4	1.0
tau_pr[14]	1.4	0.0046	0.35	0.92	1.4	2.1	6005.0	5.2	1.0
tau_pr[15]	57.0	0.14	11.0	42.0	56.0	77.0	5665.0	4.9	1.0
tau_pr[16]	18.0	0.046	3.5	13.0	18.0	25.0	5704.0	4.9	1.0
tau_pr[17]	80.0	0.22	18.0	55.0	77.0	114.0	6840.0	5.9	1.0
tau_pr[18]	119.0	0.38	29.0	79.0	116.0	174.0	6125.0	5.3	1.0
tau_pr[19]	33.0	0.057	4.3	26.0	32.0	40.0	5759.0	5.0	1.0
tau_pr[20]	2.5	0.0043	0.37	1.9	2.4	3.1	7297.0	6.3	1.0
tau_pr[21]	57.0	0.14	9.2	44.0	57.0	74.0	4160.0	3.6	1.0
tau_pr[22]	4.7	0.012	0.81	3.5	4.6	6.2	4361.0	3.8	1.0
tau_pr[23]	1.3	0.004	0.27	0.88	1.2	1.7	4408.0	3.8	1.0
tau_pr[24]	52.0	0.11	8.3	40.0	51.0	67.0	5728.0	4.9	1.0
tau_pr[25]	3.6	0.0079	0.62	2.7	3.6	4.8	6146.0	5.3	1.0
tau_pr[26]	0.59	0.00031	0.029	0.54	0.59	0.63	8544.0	7.3	1.0
tau_pr[27]	0.45	0.00025	0.023	0.42	0.45	0.49	8499.0	7.3	1.0
