"k1","k2","tuominen2022","teicher2015"
"x46","x5",0.273431,0.34735
"x47","x5",0.469389,0.443407
"x48","x5",0.186663,0.348712
"x49","x5",0.198794,0.288103
"x50","x5",0.117137,0.30965
"x51","x5",0.171117,0.303467
"x52","x5",0.369034,0.329092
"x1","x6",0.628724,0.640848
"x2","x6",0.54951,0.647337
"x3","x6",0.735369,0.782585
"x4","x6",0.595845,0.508678
"x5","x6",0.463497,0.512724
"x6","x6",1,1
"x9","x6",0.554056,0.541181
"x12","x6",0.382536,0.543034
"x13","x6",0.382142,0.54238
"x15","x6",0.654988,0.737362
"x17","x6",0.423851,0.379893
"x18","x6",0.446374,0.424395
"x19","x6",0.323835,0.343131
"x21","x6",0.57198,0.552949
"x24","x6",0.462083,0.519349
"x26","x6",0.297477,0.357868
"x27","x6",0.253471,0.322606
"x28","x6",0.209487,0.317608
"x29","x6",0.134112,0.2392
"x30","x6",0.326386,0.275032
"x31","x6",0.294778,0.309352
"x32","x6",0.33174,0.265785
"x33","x6",0.431312,0.305001
"x36","x6",0.275972,0.149752
"x38","x6",0.465051,0.385421
"x39","x6",0.325688,0.346321
"x40","x6",0.405607,0.529731
"x41","x6",0.403077,0.493327
"x42","x6",0.339036,0.071963
"x43","x6",0.340412,0.230901
"x44","x6",0.423878,0.438203
"x45","x6",0.402211,0.42348
"x46","x6",0.44821,0.51453
"x47","x6",0.459097,0.568323
"x48","x6",0.429343,0.302507
"x49","x6",0.396071,0.347608
"x50","x6",0.297293,0.293867
"x51","x6",0.375368,0.295051
"x52","x6",0.409247,0.363569
"x1","x9",0.357214,0.453905
"x2","x9",0.345437,0.369268
"x3","x9",0.447013,0.5081
"x4","x9",0.290266,0.351769
"x5","x9",0.285731,0.407197
"x6","x9",0.554056,0.541181
"x9","x9",1,1
"x12","x9",0.174604,0.438192
"x13","x9",0.241342,0.435057
"x15","x9",0.528949,0.356313
"x17","x9",0.209853,0.457298
"x18","x9",0.173915,0.44736
"x19","x9",0.136571,0.300869
"x21","x9",0.29423,0.375279
"x24","x9",0.281682,0.415131
"x26","x9",0.236615,0.203092
"x27","x9",0.198396,0.204193
"x28","x9",0.098509,0.174427
"x29","x9",0.105122,0.117218
"x30","x9",0.257423,0.156234
"x31","x9",0.196382,0.233691
"x32","x9",0.19366,0.210348
"x33","x9",0.264888,0.197746
"x36","x9",0.212999,0.075812
"x38","x9",0.272603,0.271989
"x39","x9",0.16349,0.284811
"x40","x9",0.237111,0.271104
"x41","x9",0.20737,0.34825
"x42","x9",0.172659,0.102678
"x43","x9",0.164064,0.098005
"x44","x9",0.184111,0.307738
"x45","x9",0.128044,0.292867
"x46","x9",0.306051,0.36438
"x47","x9",0.18978,0.394715
"x48","x9",0.226527,0.289347
"x49","x9",0.237958,0.331974
"x50","x9",0.185684,0.157387
"x51","x9",0.121527,0.168761
"x52","x9",0.233089,0.252349
"x1","x12",0.216449,0.577944
"x2","x12",0.328435,0.584131
"x3","x12",0.390473,0.521141
"x4","x12",0.447065,0.480314
"x5","x12",0.396925,0.539841
"x6","x12",0.382536,0.543034
"x9","x12",0.174604,0.438192
"x12","x12",1,1
"x13","x12",0.661017,0.829315
"x15","x12",0.324581,0.403963
"x17","x12",0.659535,0.824404
"x18","x12",0.486037,0.706433
"x19","x12",0.479286,0.455395
"x21","x12",0.311791,0.492853
"x24","x12",0.288975,0.484695
"x26","x12",0.290726,0.282902
"x27","x12",0.323261,0.277107
"x28","x12",0.325224,0.300729
"x29","x12",0.273068,0.179811
"x30","x12",0.25091,0.313197
"x31","x12",0.182038,0.377597
"x32","x12",0.248815,0.41422
"x33","x12",0.287939,0.317799
"x36","x12",0.462591,0.29021
"x38","x12",0.490555,0.451205
"x39","x12",0.350756,0.286559
"x40","x12",0.242905,0.447157
"x41","x12",0.419124,0.575526
"x42","x12",0.273822,0.171566
"x43","x12",0.251739,0.252649
"x44","x12",0.480353,0.489967
"x45","x12",0.322629,0.413796
"x46","x12",0.259498,0.566376
"x47","x12",0.497343,0.481155
"x48","x12",0.315825,0.338264
"x49","x12",0.312061,0.396036
"x50","x12",0.304141,0.401894
"x51","x12",0.398213,0.446889
"x52","x12",0.45587,0.481692
"x1","x13",0.20974,0.476381
"x2","x13",0.28225,0.513429
"x3","x13",0.285082,0.506656
"x4","x13",0.273674,0.378135
"x5","x13",0.068053,0.554866
"x6","x13",0.382142,0.54238
"x9","x13",0.241342,0.435057
"x12","x13",0.661017,0.829315
"x13","x13",1,1
"x15","x13",0.389455,0.218618
"x17","x13",0.503616,0.689595
"x18","x13",0.614222,0.732212
"x19","x13",0.670678,0.405754
"x21","x13",0.332924,0.474151
"x24","x13",0.310886,0.496559
"x26","x13",0.227807,0.177174
"x27","x13",0.355448,0.267111
"x28","x13",0.056632,0.235569
"x29","x13",0.007317,0.197194
"x30","x13",0.29008,0.307161
"x31","x13",0.032281,0.31173
"x32","x13",0.176459,0.273011
"x33","x13",0.155914,0.332133
"x36","x13",0.421336,0.106312
"x38","x13",0.325257,0.354806
"x39","x13",0.306744,0.332737
"x40","x13",0.287678,0.434961
"x41","x13",0.306457,0.509411
"x42","x13",0.24584,0.276356
"x43","x13",0.260714,0.398342
"x44","x13",0.330586,0.452023
"x45","x13",0.269811,0.39725
"x46","x13",0.22893,0.580963
"x47","x13",0.30546,0.465102
"x48","x13",0.083239,0.332159
"x49","x13",0.27229,0.387357
"x50","x13",0.203914,0.356288
"x51","x13",0.333241,0.45098
"x52","x13",0.339144,0.52692
"x1","x15",0.409346,0.592164
"x2","x15",0.447231,0.547949
"x3","x15",0.539558,0.657159
"x4","x15",0.419827,0.364508
"x5","x15",0.371397,0.375108
"x6","x15",0.654988,0.737362
"x9","x15",0.528949,0.356313
"x12","x15",0.324581,0.403963
"x13","x15",0.389455,0.218618
"x15","x15",1,1
"x17","x15",0.517126,0.331618
"x18","x15",0.634394,0.325944
"x19","x15",0.313406,0.230006
"x21","x15",0.527474,0.536275
"x24","x15",0.401041,0.446621
"x26","x15",0.237224,0.31857
"x27","x15",0.247742,0.278582
"x28","x15",0.140859,0.284707
"x29","x15",0.102184,0.176855
"x30","x15",0.263807,0.257461
"x31","x15",0.290389,0.288604
"x32","x15",0.185537,0.340066
"x33","x15",0.244224,0.306383
"x36","x15",0.176866,0.235992
"x38","x15",0.424252,0.301741
"x39","x15",0.275583,0.328708
"x40","x15",0.291051,0.425541
"x41","x15",0.334716,0.368431
"x42","x15",0.226671,0.106694
"x43","x15",0.307598,0.055268
"x44","x15",0.338035,0.274987
"x45","x15",0.282537,0.314973
"x46","x15",0.417739,0.323845
"x47","x15",0.425983,0.441538
"x48","x15",0.314121,0.259871
"x49","x15",0.297206,0.274824
"x50","x15",0.210019,0.348665
"x51","x15",0.304385,0.172575
"x52","x15",0.339442,0.357118
"x1","x17",0.239898,0.471771
"x2","x17",0.150764,0.469898
"x3","x17",0.176494,0.343822
"x4","x17",0.294267,0.378042
"x5","x17",0.504213,0.303504
"x6","x17",0.423851,0.379893
"x9","x17",0.209853,0.457298
"x12","x17",0.659535,0.824404
"x13","x17",0.503616,0.689595
"x15","x17",0.517126,0.331618
"x17","x17",1,1
"x18","x17",0.757031,0.846606
"x19","x17",0.405004,0.2768
"x21","x17",0.459007,0.478563
"x24","x17",0.233658,0.435756
"x26","x17",0.189165,0.202856
"x27","x17",0.094786,0.166012
"x28","x17",0.04211,0.297838
"x29","x17",0.056495,0.112879
"x30","x17",0.259162,0.288401
"x31","x17",0.300608,0.458233
"x32","x17",0.120155,0.524554
"x33","x17",0.359526,0.343711
"x36","x17",0.179096,0.256271
"x38","x17",0.364278,0.302113
"x39","x17",0.157248,0.395358
"x40","x17",0.229852,0.272054
"x41","x17",0.315105,0.479275
"x42","x17",0.32127,0.036579
"x43","x17",0.364834,0.10392
"x44","x17",0.492141,0.439837
"x45","x17",0.411904,0.229821
"x46","x17",0.308481,0.529306
"x47","x17",0.446547,0.306365
"x48","x17",0.187242,0.293409
"x49","x17",0.184357,0.39184
"x50","x17",0.311477,0.331531
"x51","x17",0.252278,0.385447
"x52","x17",0.34751,0.422682
"x1","x18",0.14249,0.398886
"x2","x18",0.232053,0.441471
"x3","x18",0.291076,0.393071
"x4","x18",0.219272,0.288126
"x5","x18",0.302561,0.265533
"x6","x18",0.446374,0.424395
"x9","x18",0.173915,0.44736
"x12","x18",0.486037,0.706433
"x13","x18",0.614222,0.732212
"x15","x18",0.634394,0.325944
"x17","x18",0.757031,0.846606
"x18","x18",1,1
"x19","x18",0.598152,0.298584
"x21","x18",0.444567,0.403692
"x24","x18",0.405633,0.3719
"x26","x18",0.128958,0.081107
"x27","x18",0.168779,0.205894
"x28","x18",0.04484,0.133532
"x29","x18",0.078347,-0.041229
"x30","x18",0.392433,0.260694
"x31","x18",0.381646,0.406687
"x32","x18",0.144408,0.514177
"x33","x18",0.352878,0.445057
"x36","x18",0.195234,0.243433
"x38","x18",0.353763,0.284388
"x39","x18",0.327311,0.466742
"x40","x18",0.282731,0.292294
"x41","x18",0.416905,0.373044
"x42","x18",0.374788,0.127888
"x43","x18",0.414837,0.226543
"x44","x18",0.414163,0.519123
"x45","x18",0.463828,0.332766
"x46","x18",0.30799,0.555
"x47","x18",0.479998,0.390493
"x48","x18",0.112021,0.246775
"x49","x18",0.151556,0.230823
"x50","x18",0.394918,0.189278
"x51","x18",0.311146,0.461953
"x52","x18",0.335002,0.492833
"x1","x19",0.235427,0.375794
"x2","x19",0.216866,0.371421
