"k1","k2","tuominen2022","teicher2015"
"x33","x4",0.323422,0.188899
"x34","x4",0.149816,0.192973
"x35","x4",0.340382,0.264636
"x36","x4",0.361476,0.19593
"x37","x4",0.318639,0.197896
"x38","x4",0.50293,0.509544
"x39","x4",0.349231,0.432723
"x40","x4",0.334277,0.496914
"x41","x4",0.356702,0.518776
"x42","x4",0.191549,0.131182
"x43","x4",0.230486,0.342978
"x44","x4",0.271053,0.434963
"x45","x4",0.153661,0.358746
"x46","x4",0.291017,0.480569
"x47","x4",0.333829,0.455118
"x48","x4",0.480624,0.420523
"x49","x4",0.336849,0.451979
"x50","x4",0.349217,0.284382
"x51","x4",0.348024,0.423944
"x52","x4",0.447515,0.384553
"x1","x5",0.331867,0.469157
"x2","x5",0.432058,0.420401
"x3","x5",0.355908,0.48946
"x4","x5",0.394423,0.43392
"x5","x5",1,1
"x6","x5",0.40908,0.467929
"x7","x5",0.472469,0.430194
"x8","x5",0.377933,0.59311
"x9","x5",0.260697,0.438136
"x10","x5",0.209839,0.393406
"x11","x5",0.295157,0.304362
"x12","x5",0.383195,0.536404
"x13","x5",0.076148,0.572111
"x14","x5",0.055594,0.501129
"x15","x5",0.378373,0.34993
"x16","x5",0.230562,0.371745
"x17","x5",0.454138,0.295086
"x18","x5",0.2806,0.256483
"x19","x5",0.179066,0.40129
"x20","x5",0.132625,0.21107
"x21","x5",0.296141,0.392511
"x22","x5",0.396099,0.286752
"x23","x5",0.347839,0.336523
"x24","x5",0.205022,0.264779
"x25","x5",0.236917,0.294724
"x26","x5",0.249404,0.312053
"x27","x5",0.206525,0.285229
"x28","x5",0.154245,0.314547
"x29","x5",0.155263,0.311826
"x30","x5",0.199182,0.344179
"x31","x5",0.309674,0.39569
"x32","x5",0.292657,0.256992
"x33","x5",0.23872,0.29043
"x34","x5",0.284453,0.369399
"x35","x5",0.428687,0.415382
"x36","x5",0.314749,0.154586
"x37","x5",0.282005,0.081868
"x38","x5",0.499754,0.328787
"x39","x5",0.321993,0.306593
"x40","x5",0.309639,0.355569
"x41","x5",0.342596,0.371646
"x42","x5",0.174846,0.212352
"x43","x5",0.248294,0.299271
"x44","x5",0.354086,0.318702
"x45","x5",0.363373,0.428329
"x46","x5",0.269344,0.34642
"x47","x5",0.4563,0.427268
"x48","x5",0.195579,0.34755
"x49","x5",0.197705,0.28387
"x50","x5",0.121745,0.30564
"x51","x5",0.161441,0.2949
"x52","x5",0.357824,0.329786
"x1","x6",0.599715,0.589709
"x2","x6",0.534572,0.588798
"x3","x6",0.741237,0.737729
"x4","x6",0.573448,0.489085
"x5","x6",0.40908,0.467929
"x6","x6",1,1
"x7","x6",0.735713,0.768382
"x8","x6",0.579357,0.649157
"x9","x6",0.488278,0.487398
"x10","x6",0.403915,0.412579
"x11","x6",0.497103,0.500472
"x12","x6",0.345254,0.525656
"x13","x6",0.30194,0.430478
"x14","x6",0.275622,0.487852
"x15","x6",0.583866,0.756875
"x16","x6",0.236394,0.671426
"x17","x6",0.319986,0.390592
"x18","x6",0.224273,0.381337
"x19","x6",0.202793,0.385687
"x20","x6",0.225353,0.23593
"x21","x6",0.485599,0.524049
"x22","x6",0.530855,0.525675
"x23","x6",0.471103,0.414059
"x24","x6",0.427135,0.524949
"x25","x6",0.373682,0.474681
"x26","x6",0.2906,0.35243
"x27","x6",0.271365,0.31928
"x28","x6",0.263965,0.299618
"x29","x6",0.168759,0.231344
"x30","x6",0.307361,0.292915
"x31","x6",0.257924,0.286725
"x32","x6",0.309081,0.27256
"x33","x6",0.436408,0.343563
"x34","x6",0.338526,0.242777
"x35","x6",0.365047,0.270554
"x36","x6",0.309689,0.179377
"x37","x6",0.236431,0.183421
"x38","x6",0.44026,0.354134
"x39","x6",0.290203,0.336905
"x40","x6",0.439334,0.490771
"x41","x6",0.377532,0.418517
"x42","x6",0.292776,0.015373
"x43","x6",0.286004,0.171328
"x44","x6",0.357864,0.434458
"x45","x6",0.272563,0.369498
"x46","x6",0.412697,0.453817
"x47","x6",0.387365,0.49542
"x48","x6",0.418482,0.290641
"x49","x6",0.380466,0.321985
"x50","x6",0.32588,0.314913
"x51","x6",0.280998,0.264464
"x52","x6",0.351656,0.316234
"x1","x7",0.611852,0.668236
"x2","x7",0.516625,0.686134
"x3","x7",0.645488,0.762364
"x4","x7",0.570091,0.490377
"x5","x7",0.472469,0.430194
"x6","x7",0.735713,0.768382
"x7","x7",1,1
"x8","x7",0.685478,0.716202
"x9","x7",0.49587,0.527754
"x10","x7",0.474608,0.37381
"x11","x7",0.615686,0.595348
"x12","x7",0.357301,0.504273
"x13","x7",0.434962,0.574177
"x14","x7",0.358465,0.523757
"x15","x7",0.708181,0.555958
"x16","x7",0.521998,0.686021
"x17","x7",0.436282,0.324819
"x18","x7",0.471717,0.436425
"x19","x7",0.32517,0.278824
"x20","x7",0.359337,0.257311
"x21","x7",0.583197,0.471312
"x22","x7",0.656052,0.553202
"x23","x7",0.583926,0.475869
"x24","x7",0.443462,0.431857
"x25","x7",0.477113,0.543587
"x26","x7",0.278607,0.281835
"x27","x7",0.235885,0.253635
"x28","x7",0.111181,0.313119
"x29","x7",0.055668,0.168661
"x30","x7",0.292502,0.176472
"x31","x7",0.270263,0.242768
"x32","x7",0.334134,0.204329
"x33","x7",0.328793,0.196656
"x34","x7",0.394359,0.193061
"x35","x7",0.4199,0.216781
"x36","x7",0.274929,0.140214
"x37","x7",0.193991,0.122078
"x38","x7",0.46891,0.436071
"x39","x7",0.33817,0.298711
"x40","x7",0.317124,0.553423
"x41","x7",0.35728,0.543967
"x42","x7",0.290843,0.161133
"x43","x7",0.339065,0.291408
"x44","x7",0.431623,0.408642
"x45","x7",0.422408,0.412721
"x46","x7",0.487889,0.501801
"x47","x7",0.50033,0.545201
"x48","x7",0.416659,0.28442
"x49","x7",0.427641,0.285021
"x50","x7",0.217059,0.218323
"x51","x7",0.406515,0.338897
"x52","x7",0.449816,0.424767
"x1","x8",0.563717,0.581905
"x2","x8",0.433491,0.536554
"x3","x8",0.537498,0.648866
"x4","x8",0.493181,0.478876
"x5","x8",0.377933,0.59311
"x6","x8",0.579357,0.649157
"x7","x8",0.685478,0.716202
"x8","x8",1,1
"x9","x8",0.251762,0.398227
"x10","x8",0.437476,0.365296
"x11","x8",0.425607,0.441029
"x12","x8",0.405334,0.534321
"x13","x8",0.396925,0.573328
"x14","x8",0.233513,0.570583
"x15","x8",0.421596,0.505069
"x16","x8",0.531734,0.761748
"x17","x8",0.411133,0.347124
"x18","x8",0.57402,0.39197
"x19","x8",0.351034,0.230027
"x20","x8",0.253095,0.182267
"x21","x8",0.473208,0.514477
"x22","x8",0.533137,0.569753
"x23","x8",0.431624,0.621741
"x24","x8",0.202184,0.435559
"x25","x8",0.410764,0.505764
"x26","x8",0.225518,0.357428
"x27","x8",0.119543,0.363753
"x28","x8",0.166247,0.317584
"x29","x8",0.191,0.38367
"x30","x8",0.334456,0.356164
"x31","x8",0.371133,0.373903
"x32","x8",0.245853,0.323753
"x33","x8",0.269493,0.245953
"x34","x8",0.379852,0.31805
"x35","x8",0.578135,0.30234
"x36","x8",0.278533,-0.016786
"x37","x8",0.132789,-0.060889
"x38","x8",0.431734,0.383343
"x39","x8",0.338798,0.342826
"x40","x8",0.290977,0.395875
"x41","x8",0.564104,0.527678
"x42","x8",0.442851,0.078674
"x43","x8",0.331199,0.170325
"x44","x8",0.423966,0.412625
"x45","x8",0.490754,0.442319
"x46","x8",0.313914,0.55432
"x47","x8",0.360163,0.595371
"x48","x8",0.269418,0.25673
"x49","x8",0.187627,0.495339
"x50","x8",0.258407,0.354359
"x51","x8",0.442609,0.264073
"x52","x8",0.361234,0.327549
"x1","x9",0.317718,0.410623
"x2","x9",0.314553,0.328234
"x3","x9",0.418802,0.46247
"x4","x9",0.263503,0.319781
"x5","x9",0.260697,0.438136
"x6","x9",0.488278,0.487398
"x7","x9",0.49587,0.527754
"x8","x9",0.251762,0.398227
"x9","x9",1,1
"x10","x9",0.690084,0.798524
"x11","x9",0.73458,0.773812
"x12","x9",0.069409,0.375714
"x13","x9",0.152565,0.388201
"x14","x9",0.08848,0.472056
"x15","x9",0.46279,0.307954
"x16","x9",0.177408,0.291659
"x17","x9",0.091706,0.348217
"x18","x9",0.018629,0.378625
"x19","x9",0.073711,0.288581
"x20","x9",0.170195,0.218695
"x21","x9",0.24254,0.322448
"x22","x9",0.320594,0.261223
"x23","x9",0.255366,0.31795
"x24","x9",0.309305,0.345731
"x25","x9",0.297856,0.382496
"x26","x9",0.226511,0.203405
"x27","x9",0.200421,0.19802
"x28","x9",0.146088,0.162265
"x29","x9",0.105939,0.126204
"x30","x9",0.195606,0.141845
"x31","x9",0.077176,0.13235
"x32","x9",0.133801,0.146758
"x33","x9",0.195835,0.156297
"x34","x9",0.140023,0.090294
"x35","x9",0.140921,0.007294
"x36","x9",0.190777,0.055081
"x37","x9",0.182856,0.081865
"x38","x9",0.220351,0.282564
"x39","x9",0.129022,0.281216
"x40","x9",0.237917,0.24942
"x41","x9",0.125505,0.281631
"x42","x9",-0.02924,0.172738
"x43","x9",0.031156,0.078638
"x44","x9",-0.000142,0.242576
"x45","x9",-0.012624,0.260782
"x46","x9",0.174754,0.25867
"x47","x9",0.054535,0.282927
"x48","x9",0.206474,0.261774
"x49","x9",0.178175,0.293451
"x50","x9",0.174023,0.123834
"x51","x9",-0.011301,0.159107
"x52","x9",0.15566,0.244044
"x1","x10",0.229836,0.305724
"x2","x10",0.215839,0.279961
"x3","x10",0.324719,0.415898
"x4","x10",0.260834,0.302488
"x5","x10",0.209839,0.393406
"x6","x10",0.403915,0.412579
"x7","x10",0.474608,0.37381
"x8","x10",0.437476,0.365296
"x9","x10",0.690084,0.798524
"x10","x10",1,1
"x11","x10",0.594053,0.483535
"x12","x10",0.247527,0.309468
"x13","x10",0.362585,0.320135
"x14","x10",0.338703,0.413527
"x15","x10",0.479529,0.219096
"x16","x10",0.276769,0.268086
"x17","x10",0.245505,0.347314
"x18","x10",0.262973,0.335004
"x19","x10",0.231579,0.219213
"x20","x10",0.216437,0.190925
"x21","x10",0.170127,0.206462
"x22","x10",0.316213,0.214073
"x23","x10",0.182376,0.372083
"x24","x10",0.114597,0.293392
