subject,item,item_id,subscale,response,n_years
06bbq91suy80q9j76pm6zjm6,26,peer_swore,PeerVA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,27,Peer_hurtful,PeerVA,1.0,4.0
06bbq91suy80q9j76pm6zjm6,28,Peer_Rumors,PeerVA,1.0,2.0
06bbq91suy80q9j76pm6zjm6,29,Peer_Excluded,PeerVA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,30,Peer_afraid,PeerVA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,31,Peer_threat_money,PeerPhysA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,32,Peer_forced,PeerPhysA,1.0,4.0
06bbq91suy80q9j76pm6zjm6,33,Peer_pushed,PeerPhysA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,34,Peer_hit,PeerPhysA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,35,Peer_hit_med,PeerPhysA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,36,Peer_forced_sex,SexA,1.0,4.0
06bbq91suy80q9j76pm6zjm6,37,Peer_sex_not_want,SexA,1.0,4.0
06bbq91suy80q9j76pm6zjm6,38,M_unavail_poor,EN,1.0,7.0
06bbq91suy80q9j76pm6zjm6,39,F_unavail_poor,EN,0.0,0.0
06bbq91suy80q9j76pm6zjm6,40,P_diff_please,NVEA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,41,P_no_time,NVEA,1.0,8.0
06bbq91suy80q9j76pm6zjm6,42,P_loved_you,EN,0.0,0.0
06bbq91suy80q9j76pm6zjm6,43,P_special,EN,1.0,18.0
06bbq91suy80q9j76pm6zjm6,44,P_protect,PN,1.0,18.0
06bbq91suy80q9j76pm6zjm6,45,P_ER,PN,0.0,6.0
06bbq91suy80q9j76pm6zjm6,46,No_food,PN,0.0,0.0
06bbq91suy80q9j76pm6zjm6,47,Dirty_clothes,PN,0.0,0.0
06bbq91suy80q9j76pm6zjm6,48,Adult_resposibility,NVEA,1.0,7.0
