	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
tau_pr[10]	2.1	0.0038	0.2	1.8	2.1	2.4	2754.0	6.1	1.0
tau_pr[11]	1.8	0.0034	0.18	1.5	1.8	2.1	2591.0	5.7	1.0
tau_pr[12]	15.0	0.03	1.9	12.0	15.0	18.0	3990.0	8.8	1.0
tau_pr[13]	45.0	0.16	8.8	33.0	44.0	61.0	3189.0	7.0	1.0
tau_pr[14]	1.2	0.005	0.3	0.79	1.2	1.8	3682.0	8.1	1.0
tau_pr[15]	58.0	0.26	12.0	41.0	56.0	80.0	2192.0	4.8	1.0
tau_pr[16]	9.8	0.045	2.1	6.8	9.6	14.0	2231.0	4.9	1.0
tau_pr[17]	44.0	0.15	9.1	31.0	43.0	61.0	3619.0	8.0	1.0
tau_pr[18]	86.0	0.35	22.0	57.0	83.0	127.0	3977.0	8.8	1.0
tau_pr[19]	30.0	0.084	4.8	23.0	29.0	38.0	3333.0	7.4	1.0
tau_pr[20]	1.4	0.005	0.28	1.0	1.4	1.9	3258.0	7.2	1.0
tau_pr[21]	39.0	0.17	7.2	29.0	38.0	52.0	1834.0	4.0	1.0
tau_pr[22]	5.9	0.027	1.2	4.3	5.8	8.0	1759.0	3.9	1.0
tau_pr[23]	1.8	0.0088	0.41	1.2	1.8	2.6	2130.0	4.7	1.0
tau_pr[24]	53.0	0.23	11.0	37.0	51.0	72.0	2238.0	4.9	1.0
tau_pr[25]	4.7	0.02	1.0	3.2	4.6	6.4	2503.0	5.5	1.0
tau_pr[26]	0.53	0.00048	0.035	0.48	0.53	0.59	5232.0	12.0	1.0
tau_pr[27]	0.32	0.00035	0.024	0.28	0.32	0.36	4735.0	10.0	1.0
tau_pr[28]	0.97	0.00085	0.059	0.88	0.97	1.1	4804.0	11.0	1.0
tau_pr[29]	0.99	0.00084	0.059	0.89	0.99	1.1	4996.0	11.0	1.0
tau_pr[30]	3.6	0.004	0.27	3.2	3.6	4.1	4664.0	10.0	1.0
tau_pr[31]	11.0	0.018	1.2	9.3	11.0	13.0	4730.0	10.0	1.0
tau_pr[32]	5.3	0.0069	0.46	4.6	5.3	6.1	4421.0	9.8	1.0
tau_pr[33]	20.0	0.066	3.0	15.0	19.0	25.0	2097.0	4.6	1.0
tau_pr[34]	5.8	0.02	0.94	4.4	5.7	7.5	2186.0	4.8	1.0
tau_pr[35]	2.6	0.0096	0.45	1.9	2.5	3.4	2236.0	4.9	1.0
tau_pr[36]	10.0	0.019	1.1	8.5	10.0	12.0	3444.0	7.6	1.0
tau_pr[37]	0.52	0.0015	0.089	0.38	0.51	0.67	3694.0	8.2	1.0
tau_pr[38]	2.8	0.003	0.21	2.5	2.8	3.2	4939.0	11.0	1.0
tau_pr[39]	1.5	0.0014	0.1	1.4	1.5	1.7	5095.0	11.0	1.0
tau_pr[40]	1.1	0.0011	0.073	1.0	1.1	1.2	4735.0	10.0	1.0
tau_pr[41]	2.6	0.0027	0.19	2.3	2.6	2.9	4902.0	11.0	1.0
tau_pr[42]	15.0	0.032	1.9	12.0	15.0	18.0	3816.0	8.4	1.0
tau_pr[43]	5.3	0.0071	0.47	4.6	5.3	6.1	4450.0	9.8	1.0
tau_pr[44]	11.0	0.021	1.3	9.1	11.0	13.0	3856.0	8.5	1.0
tau_pr[45]	18.0	0.039	2.5	14.0	18.0	22.0	4025.0	8.9	1.0
tau_pr[46]	15.0	0.03	2.0	12.0	14.0	18.0	4160.0	9.2	1.0
tau_pr[47]	31.0	0.092	5.4	23.0	30.0	40.0	3430.0	7.6	1.0
tau_pr[48]	2.0	0.002	0.13	1.8	2.0	2.2	4307.0	9.5	1.0
tau_pr[49]	1.5	0.0014	0.096	1.3	1.5	1.7	4850.0	11.0	1.0
tau_pr[50]	2.4	0.0021	0.16	2.1	2.4	2.7	5864.0	13.0	1.0
tau_pr[51]	4.5	0.0062	0.39	3.9	4.5	5.2	3915.0	8.6	1.0
tau_pr[52]	2.5	0.0026	0.19	2.2	2.5	2.8	5240.0	12.0	1.0
tau_pr[53]	14.0	0.19	15.0	0.65	9.9	44.0	6104.0	13.0	1.0
tau_pr[54]	14.0	0.2	14.0	0.77	10.0	41.0	5109.0	11.0	1.0
tau_pr[55]	14.0	0.2	15.0	0.68	9.7	44.0	5388.0	12.0	1.0
tau_pr[56]	14.0	0.19	15.0	0.58	9.7	43.0	5941.0	13.0	1.0
tau_pr[57]	14.0	0.19	14.0	0.78	9.8	42.0	5569.0	12.0	1.0
tau_pr[58]	14.0	0.2	15.0	0.65	9.9	43.0	5641.0	12.0	1.0
tau_pr[59]	15.0	0.19	14.0	0.76	10.0	44.0	5611.0	12.0	1.0
tau_pr[60]	14.0	0.2	14.0	0.73	9.4	43.0	5402.0	12.0	1.0
tau_pr[61]	14.0	0.18	14.0	0.79	9.8	42.0	6024.0	13.0	1.0
tau_pr[62]	14.0	0.19	15.0	0.8	9.8	43.0	5652.0	12.0	1.0
tau_pr[63]	14.0	0.2	15.0	0.61	9.8	44.0	5606.0	12.0	1.0
tau_pr[64]	14.0	0.18	13.0	0.75	9.7	41.0	5216.0	12.0	1.0
tau_pr[65]	14.0	0.19	14.0	0.64	9.3	42.0	5298.0	12.0	1.0
tau_pr[66]	14.0	0.21	15.0	0.59	9.4	44.0	5152.0	11.0	1.0
tau_pr[67]	14.0	0.18	14.0	0.82	9.9	42.0	5911.0	13.0	1.0
tau_pr[68]	14.0	0.19	15.0	0.9	9.8	42.0	5630.0	12.0	1.0
tau_pr[69]	14.0	0.2	14.0	0.69	9.8	42.0	5056.0	11.0	1.0
tau_pr[70]	14.0	0.2	14.0	0.66	9.6	42.0	5275.0	12.0	1.0
tau_pr[71]	14.0	0.19	14.0	0.7	9.7	40.0	5386.0	12.0	1.0
tau_pr[72]	14.0	0.2	15.0	0.64	9.6	43.0	5550.0	12.0	1.0
tau_pr[73]	14.0	0.21	14.0	0.72	10.0	41.0	4592.0	10.0	1.0
tau_pr[74]	15.0	0.2	16.0	0.52	9.6	47.0	6141.0	14.0	1.0
tau_pr[75]	14.0	0.19	14.0	0.57	9.3	42.0	5682.0	13.0	1.0
tau_pr[76]	14.0	0.2	14.0	0.69	9.4	42.0	4973.0	11.0	1.0
tau_pr[77]	14.0	0.21	15.0	0.68	9.8	44.0	5004.0	11.0	1.0
tau_pr[78]	14.0	0.19	14.0	0.63	10.0	43.0	5638.0	12.0	1.0
tau_pr[79]	14.0	0.2	14.0	0.78	9.9	43.0	5045.0	11.0	1.0
tau_pr[80]	14.0	0.2	15.0	0.75	9.8	43.0	5358.0	12.0	1.0
tau_pr[81]	14.0	0.2	15.0	0.68	9.4	45.0	5516.0	12.0	1.0
tau_pr[82]	14.0	0.19	14.0	0.83	9.7	42.0	5426.0	12.0	1.0
tau_pr[83]	14.0	0.19	14.0	0.71	9.7	43.0	5369.0	12.0	1.0
tau_pr[84]	14.0	0.2	15.0	0.7	9.5	44.0	5711.0	13.0	1.0
tau_pr[85]	14.0	0.2	14.0	0.78	9.4	42.0	5298.0	12.0	1.0
tau_pr[86]	14.0	0.19	14.0	0.67	9.8	42.0	5515.0	12.0	1.0
tau_pr[87]	14.0	0.21	15.0	0.58	9.7	43.0	4982.0	11.0	1.0
tau_pr[88]	14.0	0.19	14.0	0.8	9.7	43.0	5666.0	13.0	1.0
