k1,k2,sk,pval
0.0,0.0,0.017342,0.09525
1.0,0.0,0.813333,0.64975
2.0,0.0,0.786667,0.50375
2.0,1.0,0.76,0.5385
3.0,0.0,0.755238,0.617
3.0,1.0,0.673333,0.45425
3.0,2.0,0.757143,0.72425
4.0,0.0,0.708571,0.55725
4.0,1.0,0.609524,0.48275
4.0,2.0,0.71619,0.52725
4.0,3.0,0.858095,0.6205
5.0,0.0,0.747619,0.45675
5.0,1.0,0.717143,0.326
5.0,2.0,0.810476,0.99875
5.0,3.0,0.727619,0.50925
5.0,4.0,0.707619,0.61175
6.0,0.0,0.767619,0.72775
6.0,1.0,0.700952,0.78925
6.0,2.0,0.80381,0.9855
6.0,3.0,0.82,0.4075
6.0,4.0,0.847619,0.51825
6.0,5.0,0.796384,0.9945
7.0,0.0,0.71619,0.58025
7.0,1.0,0.613333,0.4535
7.0,2.0,0.725714,0.61125
7.0,3.0,0.861905,0.5085
7.0,4.0,0.954286,0.83125
7.0,5.0,0.716461,0.634
7.0,6.0,0.870599,0.863
8.0,0.0,0.56,0.83425
8.0,1.0,0.575238,0.1825
8.0,2.0,0.573333,0.95625
8.0,3.0,0.454286,0.61875
8.0,4.0,0.392381,0.68175
8.0,5.0,0.585157,0.5585
8.0,6.0,0.49001,0.466
8.0,7.0,0.391056,0.49675
9.0,0.0,0.674286,0.5555
9.0,1.0,0.619048,0.4545
9.0,2.0,0.708571,0.9785
9.0,3.0,0.74,0.74425
9.0,4.0,0.773333,0.79025
9.0,5.0,0.701237,0.55625
9.0,6.0,0.750714,0.2275
9.0,7.0,0.771646,0.54575
9.0,8.0,0.594672,0.868
10.0,0.0,0.731429,0.93775
10.0,1.0,0.653333,0.24525
10.0,2.0,0.731429,0.80525
10.0,3.0,0.738095,0.3595
10.0,4.0,0.75619,0.51475
10.0,5.0,0.724072,0.3045
10.0,6.0,0.794481,0.815
10.0,7.0,0.764034,0.4695
10.0,8.0,0.607992,0.8785
10.0,9.0,0.741199,0.0145
11.0,0.0,0.718095,0.4985
11.0,1.0,0.620952,0.49925
11.0,2.0,0.721905,0.36775
11.0,3.0,0.86,0.46975
11.0,4.0,0.946667,0.765
11.0,5.0,0.712655,0.45275
11.0,6.0,0.85157,0.331
11.0,7.0,0.94862,0.566
11.0,8.0,0.394862,0.517
11.0,9.0,0.76784,0.588
11.0,10.0,0.76784,0.65275
12.0,0.0,0.707619,0.4055
12.0,1.0,0.612381,0.5085
12.0,2.0,0.715238,0.39925
12.0,3.0,0.857143,0.381
12.0,4.0,0.955238,0.826
12.0,5.0,0.704091,0.40675
12.0,6.0,0.85823,0.6365
12.0,7.0,0.957184,0.689
12.0,8.0,0.388202,0.57475
12.0,9.0,0.768792,0.5875
12.0,10.0,0.764986,0.6315
12.0,11.0,0.968601,0.996
13.0,0.0,0.7,0.383
13.0,1.0,0.599048,0.39875
13.0,2.0,0.709524,0.45325
13.0,3.0,0.859048,0.403
13.0,4.0,0.960952,0.6915
13.0,5.0,0.702188,0.52425
13.0,6.0,0.854424,0.544
13.0,7.0,0.964795,0.66775
13.0,8.0,0.378687,0.5665
13.0,9.0,0.7745,0.67525
13.0,10.0,0.766889,0.7055
13.0,11.0,0.970504,0.98475
13.0,12.0,0.982873,0.99875
14.0,0.0,0.747318,0.769
14.0,1.0,0.696067,0.48025
14.0,2.0,0.772348,0.943
14.0,3.0,0.733015,0.1975
14.0,4.0,0.746126,0.53675
14.0,5.0,0.834327,1.0
14.0,6.0,0.775924,0.8
14.0,7.0,0.756853,0.64975
14.0,8.0,0.505364,0.5295
