name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[4,607]	1.04	0.0131	0.841	-0.421	1.1	2.33	4089.0	0.439	1.0
theta[5,607]	-0.847	0.00907	0.696	-2.06	-0.78	0.197	5881.0	0.631	1.0
theta[6,607]	-0.236	0.0114	0.899	-1.76	-0.241	1.19	6169.0	0.662	0.999
theta[7,607]	-0.261	0.0096	0.795	-1.66	-0.214	0.932	6867.0	0.737	1.0
theta[8,607]	-0.739	0.0084	0.59	-1.77	-0.701	0.148	4940.0	0.53	0.999
theta[9,607]	-0.131	0.0114	0.902	-1.67	-0.0775	1.27	6247.0	0.671	1.0
theta[10,607]	-0.0553	0.0108	0.951	-1.68	-0.0376	1.45	7699.0	0.827	0.999
theta[11,607]	-0.0794	0.0118	0.949	-1.7	-0.0596	1.42	6496.0	0.698	1.0
theta[1,608]	0.645	0.00446	0.277	0.188	0.647	1.09	3853.0	0.414	1.0
theta[2,608]	-0.0791	0.0106	0.871	-1.55	-0.0531	1.28	6725.0	0.722	0.999
theta[3,608]	-0.679	0.00898	0.727	-1.94	-0.64	0.462	6560.0	0.704	1.0
theta[4,608]	-0.236	0.0113	0.873	-1.72	-0.201	1.13	5927.0	0.636	1.0
theta[5,608]	-0.132	0.00685	0.547	-0.989	-0.165	0.81	6368.0	0.684	1.0
theta[6,608]	-0.375	0.0123	0.766	-1.65	-0.378	0.891	3877.0	0.416	1.0
theta[7,608]	0.189	0.00765	0.559	-0.781	0.224	1.04	5337.0	0.573	0.999
theta[8,608]	0.989	0.00939	0.745	-0.165	0.959	2.26	6300.0	0.676	1.0
theta[9,608]	-0.41	0.0112	0.819	-1.87	-0.354	0.826	5343.0	0.574	1.0
theta[10,608]	-0.356	0.0105	0.781	-1.73	-0.298	0.846	5504.0	0.591	1.0
theta[11,608]	-0.341	0.0393	0.91	-1.8	-0.339	1.16	538.0	0.0577	1.01
theta[1,609]	-0.537	0.00648	0.402	-1.23	-0.517	0.0882	3841.0	0.412	1.0
theta[2,609]	-0.0919	0.0118	0.921	-1.66	-0.059	1.36	6061.0	0.651	0.999
theta[3,609]	-0.536	0.0107	0.84	-2.01	-0.49	0.772	6148.0	0.66	0.999
theta[4,609]	-0.0736	0.0115	0.941	-1.66	-0.0601	1.45	6663.0	0.715	0.999
