name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-1.0	0.00513	0.453	-1.79	-0.978	-0.302	7812.0	1.79	0.999
theta[1,2]	-0.0953	0.0032	0.307	-0.612	-0.085	0.379	9255.0	2.13	0.999
theta[1,3]	1.31	0.00249	0.221	0.943	1.32	1.66	7894.0	1.81	0.999
theta[1,4]	0.179	0.00324	0.289	-0.303	0.194	0.637	7956.0	1.83	0.999
theta[1,5]	1.28	0.00297	0.222	0.899	1.29	1.64	5592.0	1.28	1.0
theta[1,6]	-0.467	0.00411	0.356	-1.1	-0.441	0.0793	7498.0	1.72	1.0
theta[1,7]	0.922	0.00292	0.25	0.503	0.929	1.33	7323.0	1.68	1.0
theta[1,8]	0.806	0.00272	0.254	0.385	0.805	1.22	8711.0	2.0	1.0
theta[1,9]	1.01	0.00286	0.228	0.635	1.01	1.38	6354.0	1.46	0.999
theta[1,10]	0.594	0.00263	0.249	0.173	0.597	0.997	9004.0	2.07	1.0
theta[1,11]	1.85	0.00242	0.184	1.55	1.85	2.15	5753.0	1.32	1.0
theta[1,12]	-1.01	0.00507	0.461	-1.81	-0.985	-0.318	8260.0	1.9	0.999
theta[1,13]	3.18	0.00396	0.313	2.68	3.16	3.72	6247.0	1.44	1.0
theta[1,14]	1.5	0.00255	0.201	1.15	1.51	1.82	6219.0	1.43	1.0
theta[1,15]	1.13	0.00283	0.231	0.74	1.13	1.51	6696.0	1.54	0.999
theta[1,16]	-0.587	0.0045	0.376	-1.25	-0.571	-0.00992	6985.0	1.6	1.0
theta[1,17]	-0.339	0.00427	0.348	-0.935	-0.318	0.198	6646.0	1.53	1.0
theta[1,18]	0.644	0.00266	0.242	0.249	0.646	1.03	8288.0	1.9	0.999
theta[1,19]	-0.567	0.00444	0.378	-1.23	-0.538	0.0215	7218.0	1.66	0.999
theta[1,20]	-0.567	0.0046	0.399	-1.27	-0.543	0.0389	7526.0	1.73	1.0
theta[1,21]	-1.23	0.00541	0.494	-2.08	-1.2	-0.473	8333.0	1.91	0.999
theta[1,22]	-0.298	0.00378	0.317	-0.848	-0.278	0.187	7013.0	1.61	1.0
theta[1,23]	0.25	0.00313	0.271	-0.214	0.263	0.672	7512.0	1.73	1.0
theta[1,24]	-1.28	0.0057	0.503	-2.16	-1.25	-0.516	7785.0	1.79	1.0
theta[1,25]	-0.167	0.00366	0.32	-0.713	-0.148	0.327	7659.0	1.76	1.0
theta[1,26]	-1.32	0.00617	0.515	-2.19	-1.29	-0.531	6979.0	1.6	1.0
theta[1,27]	-0.0318	0.00367	0.296	-0.545	-0.019	0.426	6505.0	1.49	0.999
theta[1,28]	0.867	0.00258	0.234	0.482	0.87	1.25	8270.0	1.9	0.999
theta[1,29]	0.769	0.00266	0.245	0.364	0.777	1.17	8484.0	1.95	0.999
theta[1,30]	-0.627	0.00432	0.376	-1.28	-0.601	-0.0438	7587.0	1.74	1.0
theta[1,31]	0.828	0.00274	0.233	0.448	0.829	1.21	7209.0	1.66	1.0
theta[1,32]	-0.632	0.00418	0.372	-1.27	-0.611	-0.0641	7931.0	1.82	0.999
theta[1,33]	-0.311	0.0038	0.341	-0.889	-0.294	0.221	8072.0	1.85	0.999
theta[1,34]	-0.585	0.00442	0.373	-1.23	-0.564	-0.0197	7109.0	1.63	1.0
theta[1,35]	1.34	0.00271	0.238	0.956	1.34	1.75	7763.0	1.78	1.0
theta[1,36]	-0.625	0.00461	0.381	-1.29	-0.602	-0.0437	6829.0	1.57	1.0
theta[1,37]	-1.2	0.00556	0.492	-2.04	-1.16	-0.452	7815.0	1.8	0.999
theta[1,38]	-0.179	0.0035	0.314	-0.716	-0.166	0.323	8035.0	1.85	0.999
theta[1,39]	-0.0922	0.00332	0.304	-0.609	-0.0802	0.373	8392.0	1.93	0.999
theta[1,40]	-1.87	0.00734	0.629	-2.96	-1.84	-0.893	7343.0	1.69	0.999
theta[1,41]	-1.88	0.00644	0.594	-2.89	-1.86	-0.938	8502.0	1.95	0.999
theta[1,42]	-0.369	0.00403	0.347	-0.975	-0.351	0.166	7394.0	1.7	0.999
theta[1,43]	0.283	0.00277	0.264	-0.162	0.289	0.717	9127.0	2.1	0.999
theta[1,44]	0.155	0.00333	0.273	-0.303	0.165	0.584	6741.0	1.55	0.999
theta[1,45]	-1.07	0.00556	0.47	-1.89	-1.04	-0.354	7146.0	1.64	1.0
