k1,k2,sk,lb,ub,pval
16,13,0.982122,0.957092,0.983313,0.96075
16,14,0.742551,0.707986,0.778308,0.44875
16,15,0.969011,0.952324,0.98093,0.5805
17,0,0.706794,0.668653,0.72944,0.701
17,1,0.607867,0.56615,0.629321,0.7215
17,2,0.703218,0.675805,0.736591,0.4115
17,3,0.871275,0.830751,0.885578,0.80475
17,4,0.9559,0.942789,0.97497,0.37125
17,5,0.698451,0.66031,0.727056,0.56025
17,6,0.854589,0.8236,0.873659,0.67125
17,7,0.961859,0.946365,0.976162,0.50125
17,8,0.362336,0.327771,0.40882,0.33875
17,9,0.77354,0.730632,0.802145,0.63625
17,10,0.760429,0.718713,0.790226,0.57725
17,11,0.960667,0.938021,0.970203,0.75225
17,12,0.973778,0.948749,0.978546,0.9095
17,13,0.989273,0.961859,0.986889,0.99175
17,14,0.742551,0.706794,0.777116,0.495
17,15,0.973778,0.957092,0.984505,0.59075
17,16,0.990465,0.959476,0.985697,0.999
18,0,0.706387,0.687321,0.746425,0.29625
18,1,0.626311,0.605338,0.668255,0.29675
18,2,0.714013,0.693041,0.753098,0.3135
18,3,0.819828,0.792183,0.84652,0.4785
18,4,0.887512,0.857007,0.904671,0.68625
18,5,0.709524,0.674286,0.73619,0.5605
18,6,0.805714,0.793333,0.844762,0.13975
18,7,0.878095,0.862857,0.908571,0.24425
18,8,0.431429,0.385714,0.460952,0.6525
18,9,0.740952,0.709524,0.773333,0.5515
18,10,0.748571,0.709524,0.771429,0.66175
18,11,0.887619,0.86,0.906667,0.646
18,12,0.890476,0.862857,0.908571,0.629
18,13,0.892381,0.867619,0.914286,0.50075
18,14,0.714797,0.700477,0.768496,0.1095
18,15,0.889021,0.866348,0.916468,0.4605
18,16,0.884248,0.863962,0.912888,0.33725
18,17,0.886635,0.868735,0.918854,0.3345
19,0,0.700667,0.670162,0.728313,0.5165
19,1,0.603432,0.572927,0.633937,0.46325
19,2,0.702574,0.677788,0.735939,0.37
