k1,k2,sk,pval
0.0,0.0,0.019788,0.24275
1.0,0.0,0.813333,1.0
2.0,0.0,0.786667,0.386
2.0,1.0,0.76,0.53825
3.0,0.0,0.755238,0.833
3.0,1.0,0.673333,0.66775
3.0,2.0,0.757143,0.70025
4.0,0.0,0.708571,0.54
4.0,1.0,0.609524,0.4815
4.0,2.0,0.71619,0.53225
4.0,3.0,0.858095,0.6185
5.0,0.0,0.747619,0.2035
5.0,1.0,0.717143,0.198
5.0,2.0,0.810476,0.99775
5.0,3.0,0.727619,0.44425
5.0,4.0,0.707619,0.6175
6.0,0.0,0.767619,0.50325
6.0,1.0,0.700952,0.68925
6.0,2.0,0.80381,0.9695
6.0,3.0,0.82,0.3175
6.0,4.0,0.847619,0.5135
6.0,5.0,0.796384,0.99825
7.0,0.0,0.71619,0.546
7.0,1.0,0.613333,0.4505
7.0,2.0,0.725714,0.5845
7.0,3.0,0.861905,0.488
7.0,4.0,0.954286,0.84825
7.0,5.0,0.716461,0.65875
7.0,6.0,0.870599,0.87225
8.0,0.0,0.56,0.4255
8.0,1.0,0.575238,0.035
8.0,2.0,0.573333,0.71325
8.0,3.0,0.454286,0.46775
8.0,4.0,0.392381,0.595
8.0,5.0,0.585157,0.95475
8.0,6.0,0.49001,0.80725
8.0,7.0,0.391056,0.52925
9.0,0.0,0.674286,0.185
9.0,1.0,0.619048,0.132
9.0,2.0,0.708571,0.80875
9.0,3.0,0.74,0.54475
9.0,4.0,0.773333,0.712
9.0,5.0,0.701237,0.89325
9.0,6.0,0.750714,0.6515
9.0,7.0,0.771646,0.57275
9.0,8.0,0.594672,1.0
10.0,0.0,0.731429,0.59875
10.0,1.0,0.653333,0.0475
10.0,2.0,0.731429,0.39175
10.0,3.0,0.738095,0.1945
10.0,4.0,0.75619,0.47275
10.0,5.0,0.724072,0.72675
10.0,6.0,0.794481,0.98075
10.0,7.0,0.764034,0.48825
10.0,8.0,0.607992,1.0
10.0,9.0,0.741199,0.99775
11.0,0.0,0.718095,0.4895
11.0,1.0,0.620952,0.5105
11.0,2.0,0.721905,0.3705
11.0,3.0,0.86,0.487
11.0,4.0,0.946667,0.778
11.0,5.0,0.712655,0.4765
11.0,6.0,0.85157,0.321
11.0,7.0,0.94862,0.57275
11.0,8.0,0.394862,0.49775
11.0,9.0,0.76784,0.506
11.0,10.0,0.76784,0.573
12.0,0.0,0.707619,0.42075
12.0,1.0,0.612381,0.5185
12.0,2.0,0.715238,0.40025
12.0,3.0,0.857143,0.39875
12.0,4.0,0.955238,0.829
12.0,5.0,0.704091,0.43
12.0,6.0,0.85823,0.62575
12.0,7.0,0.957184,0.7025
12.0,8.0,0.388202,0.52775
12.0,9.0,0.768792,0.51875
12.0,10.0,0.764986,0.568
12.0,11.0,0.968601,0.9985
13.0,0.0,0.7,0.402
13.0,1.0,0.599048,0.4155
13.0,2.0,0.709524,0.449
13.0,3.0,0.859048,0.398
13.0,4.0,0.960952,0.70275
13.0,5.0,0.702188,0.53625
13.0,6.0,0.854424,0.531
13.0,7.0,0.964795,0.67075
13.0,8.0,0.378687,0.53125
13.0,9.0,0.7745,0.61625
13.0,10.0,0.766889,0.6515
13.0,11.0,0.970504,0.984
13.0,12.0,0.982873,0.9995
14.0,0.0,0.747318,0.65075
14.0,1.0,0.696067,0.46275
14.0,2.0,0.772348,0.9205
14.0,3.0,0.733015,0.18025
14.0,4.0,0.746126,0.519
14.0,5.0,0.834327,1.0
14.0,6.0,0.775924,0.7235
14.0,7.0,0.756853,0.59875
14.0,8.0,0.505364,0.26525
14.0,9.0,0.678188,0.2215
14.0,10.0,0.712753,0.397
14.0,11.0,0.74851,0.38525
14.0,12.0,0.733015,0.17575
14.0,13.0,0.738975,0.33175
15.0,0.0,0.718713,0.757
15.0,1.0,0.619785,0.755
15.0,2.0,0.717521,0.552
15.0,3.0,0.873659,0.79525
15.0,4.0,0.951132,0.3795
15.0,5.0,0.712753,0.706
15.0,6.0,0.866508,0.8195
15.0,7.0,0.973778,0.9825
15.0,8.0,0.367104,0.27175
15.0,9.0,0.771156,0.54275
15.0,10.0,0.762813,0.516
15.0,11.0,0.946365,0.22275
15.0,12.0,0.957092,0.33525
15.0,13.0,0.970203,0.4835
15.0,14.0,0.759237,0.72825
16.0,0.0,0.711561,0.7015
16.0,1.0,0.612634,0.70675
16.0,2.0,0.703218,0.30325
16.0,3.0,0.871275,0.8045
16.0,4.0,0.951132,0.37275
16.0,5.0,0.700834,0.52125
16.0,6.0,0.849821,0.48
16.0,7.0,0.954708,0.33125
16.0,8.0,0.367104,0.3225
16.0,9.0,0.77354,0.633
16.0,10.0,0.760429,0.53675
16.0,11.0,0.967819,0.9785
16.0,12.0,0.966627,0.78875
16.0,13.0,0.982122,0.95375
16.0,14.0,0.742551,0.4525
16.0,15.0,0.969011,0.5685
17.0,0.0,0.706794,0.691
17.0,1.0,0.607867,0.707
17.0,2.0,0.703218,0.40025
17.0,3.0,0.871275,0.79375
17.0,4.0,0.9559,0.35575
17.0,5.0,0.698451,0.54825
17.0,6.0,0.854589,0.647
17.0,7.0,0.961859,0.4915
17.0,8.0,0.362336,0.33125
17.0,9.0,0.77354,0.62325
17.0,10.0,0.760429,0.56575
17.0,11.0,0.960667,0.74775
17.0,12.0,0.973778,0.89725
17.0,13.0,0.989273,0.9925
17.0,14.0,0.742551,0.4985
17.0,15.0,0.973778,0.5755
17.0,16.0,0.990465,0.999
18.0,0.0,0.706387,0.33225
18.0,1.0,0.626311,0.36425
18.0,2.0,0.714013,0.3245
18.0,3.0,0.819828,0.503
18.0,4.0,0.887512,0.71725
18.0,5.0,0.709524,0.5745
18.0,6.0,0.805714,0.14325
18.0,7.0,0.878095,0.277
18.0,8.0,0.431429,0.609
18.0,9.0,0.740952,0.5185
18.0,10.0,0.748571,0.6415
18.0,11.0,0.887619,0.66875
18.0,12.0,0.890476,0.643
18.0,13.0,0.892381,0.52175
18.0,14.0,0.714797,0.1275
18.0,15.0,0.889021,0.467
18.0,16.0,0.884248,0.3625
18.0,17.0,0.886635,0.3605
19.0,0.0,0.700667,0.5465
19.0,1.0,0.603432,0.498
19.0,2.0,0.702574,0.3895
19.0,3.0,0.84652,0.48825
19.0,4.0,0.937083,0.50725
19.0,5.0,0.692381,0.41425
19.0,6.0,0.83619,0.4135
19.0,7.0,0.939048,0.43775
19.0,8.0,0.385714,0.51075
19.0,9.0,0.76,0.52575
19.0,10.0,0.75619,0.6235
19.0,11.0,0.940952,0.7695
19.0,12.0,0.94381,0.567
19.0,13.0,0.955238,0.621
19.0,14.0,0.731504,0.3535
19.0,15.0,0.948687,0.464
19.0,16.0,0.951074,0.5155
19.0,17.0,0.958234,0.60275
19.0,18.0,0.927619,1.0
20.0,0.0,0.747619,0.64775
20.0,1.0,0.661905,0.48025
20.0,2.0,0.755238,0.619
20.0,3.0,0.819048,0.23325
20.0,4.0,0.873333,0.559
20.0,5.0,0.734539,0.56575
20.0,6.0,0.823977,0.1505
20.0,7.0,0.882969,0.60175
20.0,8.0,0.443387,0.43475
20.0,9.0,0.732636,0.198
