k1,k2,stat,lb,ub,pval
0,0,0.004848,0.003282,0.003937,0.99975
1,0,0.027485,0.010277,0.030497,0.90075
2,0,0.002072,0.010476,0.030766,0.00075
2,1,0.000563,0.010683,0.030857,0.0
3,0,0.008604,0.000164,0.016055,0.55525
3,1,0.003769,7.7e-05,0.014833,0.1585
3,2,0.006285,0.000185,0.015605,0.33875
4,0,-0.000871,-0.002138,0.006089,0.0775
4,1,-0.001738,-0.001803,0.005243,0.03125
4,2,-0.000682,-0.001794,0.006044,0.0845
4,3,0.000248,-0.002801,0.006363,0.2725
5,0,-0.001502,0.006327,0.027,0.00075
5,1,-0.004503,0.007232,0.027819,0.0
5,2,0.027554,0.006388,0.027008,0.98125
5,3,-0.000103,-0.00073,0.016292,0.04475
5,4,0.000117,-0.002605,0.006237,0.215
6,0,0.004575,0.003444,0.019962,0.04525
6,1,0.004581,0.002667,0.01751,0.079
6,2,0.018477,0.003762,0.019553,0.95525
6,3,-0.0008,-0.001034,0.01473,0.0315
6,4,-0.001073,-0.002347,0.006705,0.08025
6,5,0.024647,0.001327,0.018566,0.99975
7,0,0.001341,-0.001326,0.005632,0.27925
7,1,-0.000741,-0.001254,0.004581,0.059
7,2,0.00244,-0.001254,0.005905,0.53175
7,3,-0.000584,-0.002569,0.006536,0.124
7,4,0.00203,-0.001986,0.004405,0.722
7,5,0.002748,-0.001623,0.006249,0.598
7,6,0.007641,-0.001192,0.007651,0.97675
8,0,0.001788,-0.001459,0.017913,0.105
8,1,-0.012216,-0.000123,0.021596,0.0
8,2,0.010128,-0.001358,0.017078,0.674
8,3,0.001418,-0.003901,0.011085,0.3055
8,4,0.002593,-0.003161,0.004362,0.8435
8,5,0.020016,-0.001878,0.018809,0.99025
8,6,0.010702,-0.002913,0.011397,0.964
8,7,0.001306,-0.002537,0.004069,0.61025
9,0,-0.00497,-0.002976,0.016979,0.01125
9,1,-0.008497,-0.002783,0.017064,0.00125
9,2,0.010029,-0.003306,0.016127,0.76475
9,3,0.001534,-0.005394,0.012143,0.351
9,4,0.00334,-0.003745,0.006281,0.81875
9,5,0.012865,-0.004015,0.016106,0.9055
9,6,0.004889,-0.004436,0.012867,0.5565
9,7,0.000483,-0.003778,0.005662,0.394
9,8,0.06133,-0.00566,0.014896,1.0
10,0,0.00765,0.000312,0.020681,0.34275
10,1,-0.009248,0.001157,0.02076,0.0
10,2,0.005547,-0.000689,0.018835,0.20725
10,3,-0.003165,-0.003697,0.01399,0.031
10,4,-0.001358,-0.003336,0.006508,0.124
10,5,0.010899,-0.001597,0.019312,0.64475
10,6,0.020053,-0.002425,0.015262,0.998
10,7,0.00036,-0.002785,0.006444,0.28975
