sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
28,30,52,69,73,68,81,67,58,54,61,51,51,41,38,20,37,32,21,23,18,11,22,14,7,12,6,8,5,7,3,2,3,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0
29,30,48,54,73,86,79,64,67,72,55,44,45,40,33,30,31,28,26,26,18,12,21,15,2,14,7,4,6,5,2,3,1,1,0,1,1,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
30,40,45,61,66,77,74,72,63,52,62,43,53,40,25,47,39,25,21,19,22,21,12,19,12,8,5,6,6,0,6,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,31,53,68,73,68,64,82,68,55,54,40,38,47,50,33,26,32,18,32,21,14,12,13,8,9,11,4,5,4,5,1,1,2,0,0,1,1,3,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0
32,29,56,65,76,82,63,69,62,60,47,54,48,32,27,31,42,32,25,23,29,10,11,14,17,8,10,4,3,9,0,2,1,3,1,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33,31,54,64,81,68,64,69,68,47,61,51,45,35,37,34,39,28,32,22,20,18,12,12,10,8,6,6,4,5,2,4,3,1,2,3,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
34,39,52,60,71,73,78,58,76,59,43,50,54,49,38,28,22,21,24,24,18,22,20,16,12,4,9,4,5,4,1,3,3,2,2,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
35,37,62,70,57,73,65,74,71,51,54,42,32,57,38,38,33,23,23,22,31,17,17,9,8,6,3,11,3,2,7,0,1,2,3,3,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
36,37,48,67,72,83,64,70,76,49,52,56,38,43,34,42,32,31,26,18,17,14,11,12,11,14,6,5,4,1,4,2,0,3,2,1,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0
37,28,51,80,71,65,66,74,62,57,63,49,51,42,30,38,26,28,37,24,22,17,8,8,12,5,8,5,5,3,2,3,1,0,2,1,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,33,61,78,67,65,81,70,66,53,46,45,39,42,30,35,49,27,28,17,18,16,13,9,11,13,6,6,4,3,3,4,1,0,3,2,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0
39,40,42,65,69,85,59,70,59,74,53,49,40,47,47,35,23,22,24,30,15,24,16,16,9,11,4,7,3,1,1,3,0,0,2,0,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0
40,29,61,54,64,72,88,63,78,57,45,46,58,39,37,34,24,33,25,28,22,16,15,9,13,8,8,5,3,3,0,1,3,0,1,1,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
41,41,53,63,56,63,83,71,66,65,60,41,41,32,36,35,29,39,28,27,19,16,19,15,10,8,7,7,0,3,3,2,3,3,2,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
42,34,52,62,71,70,76,73,61,67,46,55,43,41,42,36,29,38,20,19,15,17,9,17,12,11,6,5,5,2,2,5,1,0,0,1,0,2,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0
43,31,60,66,80,76,73,72,62,60,40,41,45,38,36,44,38,21,22,17,19,17,17,11,11,10,11,3,10,1,1,3,5,2,1,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
44,32,56,60,66,56,86,65,61,71,54,49,43,50,30,30,39,34,29,21,23,14,18,11,12,8,5,7,4,2,2,1,1,0,2,2,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
