name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.72	0.00602	0.444	-1.5	-0.687	-0.0386	5432.0	1.79	1.0
theta[2,1]	-1.1	0.00898	0.677	-2.28	-1.04	-0.0675	5679.0	1.87	0.999
theta[3,1]	-0.178	0.0118	0.877	-1.67	-0.131	1.18	5564.0	1.84	1.0
theta[1,2]	-0.187	0.00557	0.339	-0.767	-0.166	0.339	3712.0	1.23	1.0
theta[2,2]	0.461	0.00708	0.481	-0.334	0.457	1.26	4617.0	1.52	0.999
theta[3,2]	-0.221	0.0112	0.869	-1.72	-0.178	1.12	5975.0	1.97	0.999
theta[1,3]	1.43	0.0031	0.214	1.07	1.43	1.77	4747.0	1.57	1.0
theta[2,3]	-0.599	0.00648	0.461	-1.34	-0.607	0.169	5074.0	1.67	0.999
theta[3,3]	-0.581	0.0101	0.724	-1.86	-0.518	0.504	5095.0	1.68	0.999
theta[1,4]	-0.128	0.00498	0.326	-0.696	-0.119	0.383	4285.0	1.41	1.0
theta[2,4]	1.32	0.00748	0.518	0.464	1.32	2.17	4792.0	1.58	1.0
theta[3,4]	1.5	0.0076	0.478	0.687	1.52	2.24	3960.0	1.31	1.0
theta[1,5]	1.18	0.00341	0.234	0.789	1.18	1.56	4692.0	1.55	1.0
theta[2,5]	1.25	0.00709	0.515	0.413	1.25	2.08	5280.0	1.74	1.0
theta[3,5]	-0.518	0.0112	0.764	-1.84	-0.447	0.616	4695.0	1.55	1.0
theta[1,6]	-0.698	0.00657	0.431	-1.47	-0.665	-0.0545	4306.0	1.42	0.999
theta[2,6]	0.734	0.0071	0.505	-0.0619	0.715	1.58	5058.0	1.67	1.0
theta[3,6]	-0.173	0.0122	0.912	-1.7	-0.149	1.28	5571.0	1.84	1.0
theta[1,7]	0.976	0.00349	0.256	0.55	0.975	1.39	5371.0	1.77	0.999
theta[2,7]	0.0623	0.0063	0.483	-0.726	0.0546	0.842	5872.0	1.94	0.999
theta[3,7]	-0.48	0.0102	0.76	-1.81	-0.43	0.672	5523.0	1.82	1.0
theta[1,8]	0.768	0.00379	0.256	0.351	0.769	1.19	4575.0	1.51	0.999
theta[2,8]	-0.0484	0.00687	0.484	-0.837	-0.0597	0.761	4953.0	1.63	1.0
theta[3,8]	0.727	0.00961	0.532	-0.221	0.769	1.53	3067.0	1.01	1.0
theta[1,9]	1.07	0.0035	0.238	0.677	1.08	1.45	4640.0	1.53	1.0
theta[2,9]	-0.148	0.00623	0.472	-0.906	-0.163	0.635	5749.0	1.9	1.0
theta[3,9]	-0.497	0.0108	0.767	-1.82	-0.442	0.647	5080.0	1.68	1.0
theta[1,10]	0.801	0.00325	0.24	0.407	0.805	1.19	5420.0	1.79	1.0
theta[2,10]	-1.7	0.00797	0.567	-2.7	-1.66	-0.837	5070.0	1.67	1.0
theta[3,10]	0.656	0.00764	0.525	-0.274	0.701	1.45	4727.0	1.56	1.0
theta[1,11]	1.92	0.00281	0.183	1.61	1.92	2.21	4240.0	1.4	1.0
theta[2,11]	-0.678	0.00664	0.469	-1.42	-0.683	0.0964	5001.0	1.65	1.0
theta[3,11]	0.72	0.00623	0.433	-0.0273	0.729	1.44	4826.0	1.59	1.0
theta[1,12]	-0.725	0.00723	0.453	-1.55	-0.682	-0.063	3927.0	1.3	1.0
theta[2,12]	-1.1	0.00971	0.672	-2.27	-1.05	-0.101	4783.0	1.58	0.999
