	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.41	0.0036	0.32	-0.93	-0.4	0.11	7492.0	11.0	1.0
theta[2,1]	-0.067	0.0033	0.3	-0.56	-0.061	0.41	7880.0	11.0	1.0
theta[3,1]	-0.78	0.0043	0.37	-1.4	-0.76	-0.21	7507.0	11.0	1.0
theta[4,1]	-1.1	0.0047	0.42	-1.8	-1.0	-0.41	8303.0	12.0	1.0
theta[5,1]	1.2	0.0036	0.29	0.76	1.2	1.7	6613.0	9.3	1.0
theta[6,1]	-1.8	0.0067	0.56	-2.8	-1.8	-0.99	7071.0	10.0	1.0
theta[7,1]	-1.4	0.0059	0.47	-2.2	-1.4	-0.71	6264.0	8.8	1.0
theta[8,1]	0.71	0.0033	0.28	0.26	0.72	1.2	6872.0	9.7	1.0
theta[9,1]	-0.74	0.0048	0.36	-1.4	-0.72	-0.18	5693.0	8.0	1.0
theta[10,1]	0.53	0.0029	0.28	0.058	0.53	0.98	9507.0	13.0	1.0
theta[11,1]	0.1	0.0031	0.29	-0.38	0.1	0.56	8497.0	12.0	1.0
theta[12,1]	0.89	0.0034	0.29	0.42	0.89	1.4	7419.0	10.0	1.0
theta[13,1]	-0.36	0.0038	0.35	-0.96	-0.35	0.19	8589.0	12.0	1.0
theta[14,1]	-1.8	0.0067	0.57	-2.8	-1.8	-0.98	7075.0	10.0	1.0
theta[15,1]	-0.38	0.0035	0.33	-0.94	-0.37	0.13	8911.0	13.0	1.0
theta[16,1]	0.37	0.0035	0.28	-0.086	0.37	0.83	6608.0	9.3	1.0
theta[17,1]	-0.63	0.004	0.35	-1.2	-0.61	-0.082	7774.0	11.0	1.0
theta[18,1]	-0.44	0.0036	0.33	-1.0	-0.42	0.06	8429.0	12.0	1.0
theta[19,1]	-2.0	0.007	0.59	-3.1	-2.0	-1.1	6925.0	9.8	1.0
theta[20,1]	-0.82	0.0045	0.38	-1.5	-0.8	-0.23	7180.0	10.0	1.0
theta[21,1]	-0.7	0.0044	0.37	-1.3	-0.69	-0.11	7175.0	10.0	1.0
theta[22,1]	-0.36	0.0039	0.32	-0.91	-0.35	0.15	6755.0	9.5	1.0
theta[23,1]	1.2	0.0034	0.29	0.72	1.2	1.7	7280.0	10.0	1.0
theta[24,1]	-1.2	0.0053	0.44	-1.9	-1.1	-0.46	7025.0	9.9	1.0
theta[25,1]	-1.8	0.0068	0.56	-2.8	-1.8	-0.98	6786.0	9.6	1.0
theta[26,1]	0.5	0.0035	0.27	0.046	0.5	0.94	6190.0	8.7	1.0
theta[27,1]	0.11	0.0032	0.28	-0.37	0.11	0.56	7544.0	11.0	1.0
theta[28,1]	0.64	0.0031	0.28	0.19	0.64	1.1	7927.0	11.0	1.0
theta[29,1]	-0.037	0.003	0.29	-0.51	-0.036	0.43	9087.0	13.0	1.0
theta[30,1]	0.53	0.0034	0.29	0.059	0.53	1.0	6958.0	9.8	1.0
theta[31,1]	0.6	0.0032	0.28	0.14	0.6	1.1	7658.0	11.0	1.0
theta[32,1]	-0.6	0.0037	0.35	-1.2	-0.59	-0.043	8979.0	13.0	1.0
theta[33,1]	-0.85	0.0041	0.38	-1.5	-0.83	-0.26	8333.0	12.0	1.0
theta[34,1]	-1.6	0.0059	0.52	-2.5	-1.6	-0.81	7521.0	11.0	1.0
theta[35,1]	-0.32	0.0037	0.32	-0.85	-0.3	0.19	7089.0	10.0	1.0
theta[36,1]	-0.59	0.0037	0.35	-1.2	-0.57	-0.053	8976.0	13.0	1.0
theta[37,1]	0.55	0.0031	0.28	0.097	0.55	1.0	8021.0	11.0	1.0
theta[38,1]	-0.94	0.0044	0.39	-1.6	-0.92	-0.33	8032.0	11.0	1.0
theta[39,1]	-0.38	0.0036	0.32	-0.92	-0.37	0.12	7947.0	11.0	1.0
theta[40,1]	-2.0	0.0068	0.61	-3.1	-2.0	-1.1	8014.0	11.0	1.0
theta[41,1]	0.52	0.0029	0.28	0.065	0.53	0.97	9274.0	13.0	1.0
theta[42,1]	0.27	0.0031	0.28	-0.19	0.27	0.74	8253.0	12.0	1.0
theta[43,1]	-1.4	0.0057	0.47	-2.2	-1.4	-0.64	6973.0	9.8	1.0
theta[44,1]	0.76	0.0035	0.29	0.27	0.77	1.2	7096.0	10.0	1.0
theta[45,1]	-1.3	0.005	0.45	-2.1	-1.3	-0.58	8250.0	12.0	1.0
theta[46,1]	-0.68	0.0041	0.36	-1.3	-0.66	-0.13	7585.0	11.0	1.0
theta[47,1]	2.7	0.0044	0.38	2.1	2.7	3.4	7787.0	11.0	1.0
theta[48,1]	0.98	0.0034	0.29	0.51	0.98	1.5	7627.0	11.0	1.0
theta[49,1]	-1.3	0.0056	0.47	-2.1	-1.3	-0.57	7018.0	9.9	1.0
theta[50,1]	-0.43	0.0038	0.32	-0.98	-0.43	0.077	6916.0	9.7	1.0
theta[51,1]	0.26	0.0031	0.28	-0.21	0.27	0.71	8287.0	12.0	1.0
theta[52,1]	0.85	0.0033	0.28	0.4	0.85	1.3	7244.0	10.0	1.0
theta[53,1]	-1.7	0.0059	0.52	-2.6	-1.6	-0.87	7799.0	11.0	1.0
theta[54,1]	-0.84	0.0042	0.39	-1.5	-0.82	-0.21	8555.0	12.0	1.0
theta[55,1]	0.069	0.0034	0.29	-0.42	0.068	0.53	7319.0	10.0	1.0
theta[56,1]	2.4	0.0043	0.35	1.9	2.4	3.0	6723.0	9.5	1.0
theta[57,1]	1.4	0.0036	0.31	0.86	1.4	1.9	7263.0	10.0	1.0
theta[58,1]	-2.0	0.007	0.6	-3.1	-2.0	-1.1	7182.0	10.0	1.0
theta[59,1]	-0.5	0.0043	0.35	-1.1	-0.49	0.06	6532.0	9.2	1.0
theta[60,1]	-0.18	0.0033	0.29	-0.67	-0.18	0.28	7798.0	11.0	1.0
theta[61,1]	-1.2	0.0049	0.43	-1.9	-1.1	-0.5	7649.0	11.0	1.0
theta[62,1]	-0.061	0.0035	0.3	-0.57	-0.053	0.42	7543.0	11.0	1.0
theta[63,1]	-1.8	0.0061	0.54	-2.7	-1.7	-0.93	7875.0	11.0	1.0
theta[64,1]	0.88	0.0034	0.29	0.4	0.89	1.3	7318.0	10.0	1.0
theta[65,1]	0.18	0.0032	0.27	-0.27	0.18	0.62	7360.0	10.0	1.0
theta[66,1]	-0.42	0.0039	0.32	-0.98	-0.4	0.1	6806.0	9.6	1.0
theta[67,1]	-0.49	0.0038	0.34	-1.1	-0.48	0.038	7941.0	11.0	1.0
theta[68,1]	-0.53	0.0037	0.34	-1.1	-0.51	0.00071	8230.0	12.0	1.0
theta[69,1]	-0.55	0.0037	0.34	-1.1	-0.54	-0.021	8321.0	12.0	1.0
theta[70,1]	0.029	0.0036	0.3	-0.46	0.025	0.52	7192.0	10.0	1.0
theta[71,1]	-0.89	0.0045	0.4	-1.6	-0.87	-0.27	7949.0	11.0	1.0
