k1,k2,stat,lb,ub,pval
0,0,0.003468,0.00453,0.005197,0.00025
1,0,0.004121,0.033553,0.065909,0.00025
2,0,0.010589,0.008249,0.039384,0.05025
2,1,0.003387,0.006171,0.032883,0.00575
3,0,0.003163,-0.001851,0.024137,0.1005
3,1,-0.000623,-0.001714,0.019155,0.041
3,2,0.002861,0.000798,0.026024,0.06075
4,0,0.000424,-0.005179,0.007693,0.392
4,1,0.002948,-0.004628,0.006597,0.77225
4,2,-0.000706,-0.003743,0.009249,0.1465
4,3,0.005348,-0.004693,0.009618,0.8145
5,0,0.011153,-0.007999,0.02051,0.722
5,1,-0.004471,-0.007262,0.019148,0.0515
5,2,0.032317,0.001398,0.030541,0.9845
5,3,0.006609,-0.00411,0.020486,0.41225
5,4,-0.00056,-0.00407,0.009296,0.199
6,0,0.016265,-0.006716,0.016501,0.97175
6,1,0.000891,-0.006134,0.014095,0.276
6,2,0.008388,-0.000744,0.023639,0.32
6,3,0.005094,-0.005036,0.018353,0.39075
6,4,0.000585,-0.004426,0.008672,0.32475
6,5,0.019728,0.003732,0.031133,0.58575
7,0,0.002499,-0.003762,0.00506,0.8045
7,1,-0.001192,-0.002995,0.003771,0.15475
7,2,0.00243,-0.003344,0.005663,0.709
7,3,0.003353,-0.004182,0.00747,0.727
7,4,-0.002648,-0.003686,0.004908,0.08125
7,5,0.002522,-0.003177,0.006245,0.64425
7,6,0.001486,-0.003505,0.0069,0.4535
8,0,0.000201,-0.013683,0.01184,0.65075
8,1,-0.001125,-0.015905,0.009828,0.61425
8,2,0.002539,-0.011829,0.013262,0.66725
8,3,-0.001643,-0.011173,0.011525,0.3885
8,4,0.002074,-0.00591,0.006392,0.749
8,5,0.007363,0.000694,0.027078,0.17275
8,6,0.004312,0.006341,0.026665,0.0065
8,7,-0.001215,-0.003276,0.004405,0.13375
9,0,-0.001111,-0.01175,0.013259,0.437
9,1,-0.000774,-0.01295,0.011082,0.54475
9,2,-0.003627,-0.012843,0.011486,0.32425
9,3,-3.3e-05,-0.012043,0.011362,0.52575
9,4,-0.000913,-0.007237,0.006887,0.44175
9,5,-0.001007,-0.003364,0.024301,0.04375
9,6,-0.007902,0.008675,0.034972,0.0
9,7,-0.001892,-0.004206,0.008557,0.13175
9,8,0.001699,0.013677,0.034748,0.00025
10,0,0.008705,-0.011731,0.015958,0.8415
10,1,0.00607,-0.0133,0.013399,0.8095
10,2,0.007161,-0.009948,0.016363,0.71575
10,3,-0.008362,-0.010697,0.014002,0.0615
10,4,-0.002004,-0.006289,0.007648,0.22525
10,5,0.008259,0.00313,0.033902,0.10725
10,6,0.009431,0.010285,0.038279,0.01775
10,7,-0.001203,-0.004349,0.006343,0.163
10,8,0.003566,0.025953,0.053453,0.00025
10,9,-0.000253,0.02509,0.056183,0.00025
11,0,-0.007474,-0.005313,0.01111,0.00825
11,1,0.001676,-0.00476,0.009336,0.43625
11,2,0.002539,-0.00376,0.012954,0.323
11,3,0.001425,-0.005503,0.013311,0.36525
11,4,0.002379,-0.004911,0.007085,0.652
11,5,-0.002485,-0.005072,0.012542,0.07625
11,6,-0.004722,-0.004612,0.01278,0.025
11,7,-2.4e-05,-0.004335,0.006284,0.3965
11,8,-0.003841,-0.007748,0.008554,0.14175
11,9,-0.001991,-0.008619,0.009525,0.28825
11,10,-0.003184,-0.007846,0.010315,0.1305
12,0,-0.00462,-0.006104,0.007823,0.0605
12,1,-0.001165,-0.004788,0.006915,0.22
12,2,0.002516,-0.004618,0.009007,0.558
12,3,-0.003722,-0.005987,0.009159,0.082
12,4,-0.004786,-0.00441,0.00543,0.014
12,5,0.000663,-0.005989,0.008935,0.3775
12,6,0.00378,-0.005515,0.008488,0.7415
12,7,-0.001112,-0.003511,0.005031,0.2335
12,8,-0.000944,-0.006335,0.006923,0.326
12,9,0.005192,-0.006634,0.008295,0.8915
12,10,-0.00294,-0.006955,0.007965,0.1605
12,11,0.011544,-0.004423,0.00982,0.9855
13,0,-0.004227,-0.005837,0.004693,0.0655
13,1,-0.002975,-0.004622,0.004808,0.10025
13,2,-0.000516,-0.004948,0.005642,0.37875
13,3,-0.002492,-0.005492,0.006073,0.1585
13,4,-0.002248,-0.00376,0.003784,0.134
13,5,0.00022,-0.004732,0.006625,0.45775
13,6,0.003554,-0.005457,0.005093,0.909
13,7,-0.000925,-0.002436,0.003989,0.22725
13,8,0.000242,-0.004755,0.005465,0.47025
13,9,0.002924,-0.005837,0.005893,0.8385
13,10,-0.002485,-0.006049,0.005247,0.22575
13,11,0.000965,-0.00561,0.006039,0.5975
13,12,0.016773,-0.00362,0.006798,1.0
14,0,0.005844,-0.021507,0.024752,0.56875
14,1,0.008955,-0.022486,0.022546,0.77175
14,2,-0.011745,-0.01722,0.032139,0.05975
14,3,-0.008012,-0.019546,0.025072,0.15225
14,4,-0.004691,-0.011605,0.014101,0.159
14,5,-0.000537,-0.019053,0.031739,0.28425
14,6,0.022136,-0.017137,0.028062,0.9295
14,7,-0.000333,-0.009724,0.010054,0.384
14,8,0.01087,-0.022683,0.018915,0.89225
14,9,0.007065,-0.023193,0.022812,0.6965
14,10,0.011374,-0.019832,0.028719,0.73275
14,11,-0.00618,-0.013497,0.017803,0.14625
14,12,-0.007662,-0.012493,0.012554,0.08825
14,13,-0.003199,-0.010178,0.007727,0.2735
15,0,-0.001927,-0.009545,0.01016,0.28125
15,1,0.001572,-0.010265,0.008653,0.73125
15,2,0.001458,-0.00996,0.010548,0.59725
15,3,0.008248,-0.009389,0.011685,0.921
15,4,-0.001289,-0.007286,0.008107,0.39175
15,5,-0.001911,-0.010469,0.011122,0.31
15,6,-0.003184,-0.009403,0.011001,0.1965
15,7,0.001813,-0.006256,0.007421,0.75475
15,8,-0.001253,-0.008355,0.009985,0.319
15,9,0.002536,-0.010973,0.01166,0.68775
15,10,0.005184,-0.010846,0.010951,0.8375
15,11,-0.00031,-0.007965,0.009747,0.485
15,12,-0.000361,-0.006904,0.008198,0.4685
15,13,-0.002148,-0.005389,0.005865,0.1455
15,14,0.002821,-0.004489,0.018788,0.2265
16,0,0.00053,-0.011805,0.012612,0.45375
16,1,1.2e-05,-0.009674,0.013689,0.425
16,2,0.002348,-0.010186,0.014487,0.5245
16,3,-0.004153,-0.010887,0.015785,0.193
16,4,-0.003249,-0.007979,0.009618,0.2025
16,5,0.002147,-0.010841,0.015954,0.50425
16,6,-0.002663,-0.010493,0.014741,0.2325
16,7,5.7e-05,-0.008091,0.008515,0.49575
