k1,k2,sk,lb,ub,pval
0,0,0.032016,0.027708,0.036899,0.511
1,0,0.771478,0.630584,0.721649,1.0
2,0,0.738832,0.67354,0.756014,0.828
2,1,0.685567,0.623711,0.713058,0.7205
3,0,0.659794,0.606529,0.694158,0.6595
3,1,0.565292,0.505155,0.599656,0.66725
3,2,0.728522,0.676976,0.75945,0.637
4,0,0.585911,0.544674,0.632302,0.49675
4,1,0.460481,0.405498,0.496564,0.611
4,2,0.668385,0.62543,0.706186,0.50875
4,3,0.819588,0.769759,0.843643,0.72325
5,0,0.713058,0.659794,0.74055,0.757
5,1,0.635739,0.609966,0.697595,0.22975
5,2,0.802405,0.706186,0.785223,0.99875
5,3,0.726804,0.66323,0.747423,0.79875
5,4,0.670103,0.62543,0.709622,0.55325
6,0,0.701031,0.640893,0.726804,0.7985
6,1,0.579038,0.544674,0.639175,0.27125
6,2,0.75945,0.71134,0.790378,0.6025
6,3,0.790378,0.74055,0.814433,0.72025
6,4,0.785223,0.738832,0.814433,0.612
6,5,0.78866,0.694158,0.776632,0.995
7,0,0.591065,0.537801,0.628866,0.6285
7,1,0.445017,0.398625,0.487973,0.492
7,2,0.676976,0.627148,0.707904,0.66025
7,3,0.828179,0.781787,0.853952,0.70475
7,4,0.936426,0.910653,0.958763,0.482
7,5,0.678694,0.627148,0.71134,0.6855
7,6,0.800687,0.747423,0.821306,0.772
8,0,0.579038,0.524055,0.618557,0.58675
8,1,0.611684,0.579038,0.670103,0.24825
8,2,0.565292,0.496564,0.59622,0.75325
8,3,0.45189,0.398625,0.498282,0.521
8,4,0.371134,0.317869,0.415808,0.58075
8,5,0.57732,0.493127,0.589347,0.93975
8,6,0.527491,0.431271,0.532646,0.9695
8,7,0.359107,0.304124,0.405498,0.53225
9,0,0.589347,0.561856,0.651203,0.195
9,1,0.501718,0.482818,0.57732,0.1325
9,2,0.651203,0.618557,0.706186,0.28375
9,3,0.723368,0.678694,0.762887,0.474
9,4,0.769759,0.723368,0.809278,0.52725
9,5,0.680412,0.611684,0.697595,0.8505
9,6,0.757732,0.67354,0.757732,0.96825
9,7,0.785223,0.735395,0.823024,0.63875
9,8,0.549828,0.398625,0.494845,1.0
10,0,0.649485,0.585911,0.676976,0.78375
10,1,0.592784,0.541237,0.634021,0.55225
10,2,0.683849,0.621993,0.71134,0.75775
10,3,0.656357,0.623711,0.713058,0.3075
10,4,0.658076,0.606529,0.702749,0.49175
10,5,0.695876,0.609966,0.697595,0.9655
10,6,0.745704,0.630584,0.719931,0.999
10,7,0.670103,0.609966,0.707904,0.632
10,8,0.647766,0.462199,0.556701,1.0
10,9,0.74055,0.587629,0.675258,1.0
11,0,0.580756,0.560137,0.651203,0.13725
11,1,0.479381,0.434708,0.525773,0.45075
11,2,0.687285,0.642612,0.725086,0.52625
11,3,0.80756,0.769759,0.841924,0.5635
11,4,0.902062,0.862543,0.92268,0.726
11,5,0.671821,0.640893,0.726804,0.31775
11,6,0.769759,0.747423,0.821306,0.2265
11,7,0.910653,0.881443,0.936426,0.57375
11,8,0.379725,0.340206,0.439863,0.35875
11,9,0.761168,0.716495,0.798969,0.53575
11,10,0.652921,0.616838,0.709622,0.33375
12,0,0.579038,0.54811,0.637457,0.25525
12,1,0.457045,0.417526,0.508591,0.388
12,2,0.675258,0.634021,0.716495,0.48125
12,3,0.802405,0.773196,0.845361,0.35325
12,4,0.907216,0.883162,0.939863,0.33225
12,5,0.666667,0.632302,0.716495,0.3665
12,6,0.785223,0.743986,0.817869,0.539
12,7,0.929553,0.905498,0.955326,0.50125
12,8,0.367698,0.324742,0.42268,0.40125
12,9,0.786942,0.726804,0.809278,0.82225
12,10,0.654639,0.613402,0.709622,0.38
12,11,0.926117,0.85567,0.915808,0.9955
13,0,0.563574,0.537801,0.62543,0.23975
13,1,0.431271,0.398625,0.487973,0.2905
13,2,0.656357,0.620275,0.701031,0.36825
13,3,0.80756,0.771478,0.845361,0.4095
13,4,0.93299,0.905498,0.955326,0.504
13,5,0.658076,0.616838,0.702749,0.40775
13,6,0.783505,0.738832,0.814433,0.57875
13,7,0.95189,0.926117,0.97079,0.55175
13,8,0.352234,0.305842,0.405498,0.41975
13,9,0.785223,0.728522,0.816151,0.7205
13,10,0.652921,0.609966,0.707904,0.421
13,11,0.917526,0.872852,0.931271,0.84675
13,12,0.97079,0.896907,0.948454,1.0
14,0,0.670968,0.63871,0.780645,0.1355
14,1,0.645161,0.522581,0.683871,0.82675
14,2,0.767742,0.729032,0.851613,0.234
14,3,0.832258,0.780645,0.896774,0.47675
14,4,0.845161,0.793548,0.909677,0.38325
14,5,0.748387,0.703226,0.832258,0.218
14,6,0.909677,0.787097,0.903226,0.9905
14,7,0.864516,0.806452,0.922581,0.50025
14,8,0.470968,0.380645,0.548387,0.5425
14,9,0.8,0.696774,0.832258,0.8125
14,10,0.729032,0.63871,0.787097,0.6495
14,11,0.858065,0.793548,0.909677,0.56425
14,12,0.858065,0.793548,0.909677,0.51275
14,13,0.864516,0.793548,0.909677,0.59725
15,0,0.645161,0.593548,0.729032,0.36425
15,1,0.606452,0.445161,0.593548,0.98475
15,2,0.729032,0.690323,0.806452,0.28175
15,3,0.896774,0.8,0.903226,0.9445
15,4,0.948387,0.903226,0.980645,0.58675
15,5,0.696774,0.677419,0.8,0.11225
15,6,0.832258,0.793548,0.896774,0.393
15,7,0.980645,0.922581,0.987097,0.93875
15,8,0.367742,0.329032,0.490323,0.23825
15,9,0.8,0.735484,0.864516,0.47525
15,10,0.690323,0.632258,0.780645,0.35125
15,11,0.948387,0.877419,0.96129,0.89575
15,12,0.935484,0.903226,0.980645,0.45
