sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
0,17,22,30,23,27,42,26,35,27,24,24,32,25,30,23,18,26,10,13,13,14,14,8,8,10,8,6,6,2,3,3,4,1,2,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,10,18,25,31,38,34,38,28,35,31,27,24,17,30,23,22,18,13,15,15,11,4,11,13,9,9,2,6,2,3,8,0,3,2,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,11,26,26,25,34,33,33,26,30,22,31,31,19,30,14,26,18,23,13,12,10,15,8,8,4,10,10,10,4,5,3,2,3,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,25,32,35,28,28,33,26,33,26,31,20,25,12,21,22,19,18,21,12,15,9,9,12,9,9,4,9,5,3,4,3,3,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,17,21,28,25,25,37,26,28,31,29,27,29,24,22,27,18,18,18,22,16,13,11,12,11,9,6,7,3,4,8,1,3,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,9,21,34,36,18,41,32,36,35,30,20,22,20,23,18,24,17,22,20,12,12,12,10,11,8,3,6,8,4,5,3,0,4,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,8,21,27,43,30,37,29,29,31,28,27,27,15,26,22,16,25,22,19,12,9,13,9,8,7,10,7,5,2,3,5,2,1,0,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,12,24,30,33,31,22,29,37,36,23,23,21,18,22,34,19,23,16,16,17,16,19,5,10,8,3,4,6,5,4,3,1,4,2,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,29,12,23,42,36,35,29,34,18,32,24,17,25,22,16,18,19,18,14,11,16,19,6,11,5,7,5,5,7,1,4,2,1,3,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
9,10,27,22,32,35,32,36,28,34,25,32,27,21,28,22,23,15,14,15,16,10,13,9,6,9,5,3,4,6,3,3,7,0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
