	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.47	0.0058	0.35	-1.1	-0.46	0.08	3595.0	1.3	1.0
theta[2,1]	0.26	0.005	0.3	-0.24	0.26	0.75	3529.0	1.3	1.0
theta[3,1]	-0.83	0.0066	0.42	-1.6	-0.8	-0.17	4066.0	1.5	1.0
theta[4,1]	-1.2	0.0076	0.48	-2.0	-1.2	-0.42	3963.0	1.4	1.0
theta[5,1]	0.95	0.0047	0.28	0.48	0.95	1.4	3550.0	1.3	1.0
theta[6,1]	-1.7	0.0087	0.57	-2.7	-1.7	-0.86	4283.0	1.6	1.0
theta[7,1]	-1.0	0.0074	0.44	-1.8	-0.99	-0.3	3634.0	1.3	1.0
theta[8,1]	0.58	0.0046	0.29	0.095	0.58	1.1	3964.0	1.4	1.0
theta[9,1]	-0.22	0.0055	0.33	-0.77	-0.21	0.32	3532.0	1.3	1.0
theta[10,1]	0.33	0.0048	0.3	-0.17	0.34	0.82	3856.0	1.4	1.0
theta[11,1]	-0.057	0.0056	0.32	-0.58	-0.047	0.45	3173.0	1.2	1.0
theta[12,1]	0.96	0.005	0.3	0.46	0.96	1.4	3584.0	1.3	1.0
theta[13,1]	-0.54	0.0068	0.37	-1.2	-0.53	0.051	2991.0	1.1	1.0
theta[14,1]	-1.7	0.0093	0.59	-2.7	-1.7	-0.83	4012.0	1.5	1.0
theta[15,1]	-0.62	0.0061	0.39	-1.3	-0.6	-0.0024	4119.0	1.5	1.0
theta[16,1]	0.33	0.005	0.3	-0.15	0.34	0.8	3439.0	1.2	1.0
theta[17,1]	-0.59	0.006	0.38	-1.3	-0.56	0.013	4050.0	1.5	1.0
theta[18,1]	-0.58	0.0066	0.37	-1.2	-0.55	0.0053	3219.0	1.2	1.0
theta[19,1]	-1.9	0.0098	0.62	-3.0	-1.9	-0.97	3965.0	1.4	1.0
theta[20,1]	-0.97	0.0069	0.41	-1.7	-0.96	-0.31	3548.0	1.3	1.0
theta[21,1]	-0.87	0.0072	0.43	-1.6	-0.85	-0.19	3682.0	1.3	1.0
theta[22,1]	-0.38	0.0063	0.35	-0.97	-0.37	0.19	3170.0	1.2	1.0
theta[23,1]	1.1	0.0048	0.29	0.65	1.1	1.6	3717.0	1.3	1.0
theta[24,1]	-1.3	0.0087	0.51	-2.2	-1.3	-0.55	3382.0	1.2	1.0
theta[25,1]	-1.7	0.0085	0.57	-2.7	-1.7	-0.82	4522.0	1.6	1.0
theta[26,1]	0.31	0.0049	0.28	-0.15	0.31	0.78	3383.0	1.2	1.0
theta[27,1]	0.12	0.0051	0.3	-0.39	0.13	0.59	3525.0	1.3	1.0
theta[28,1]	0.61	0.0048	0.28	0.13	0.62	1.1	3581.0	1.3	1.0
theta[29,1]	-0.22	0.0058	0.33	-0.78	-0.21	0.31	3230.0	1.2	1.0
theta[30,1]	0.22	0.0048	0.3	-0.27	0.23	0.71	3743.0	1.4	1.0
theta[31,1]	0.32	0.0048	0.29	-0.16	0.32	0.8	3616.0	1.3	1.0
theta[32,1]	-0.85	0.0069	0.41	-1.6	-0.83	-0.21	3569.0	1.3	1.0
theta[33,1]	-1.2	0.008	0.49	-2.0	-1.2	-0.47	3709.0	1.3	1.0
theta[34,1]	-1.6	0.0091	0.57	-2.6	-1.6	-0.75	3868.0	1.4	1.0
theta[35,1]	-0.33	0.0061	0.35	-0.92	-0.31	0.2	3258.0	1.2	1.0
theta[36,1]	-0.71	0.0062	0.4	-1.4	-0.69	-0.078	4133.0	1.5	1.0
theta[37,1]	0.19	0.0048	0.29	-0.29	0.19	0.66	3775.0	1.4	1.0
theta[38,1]	-0.87	0.0073	0.42	-1.6	-0.85	-0.23	3302.0	1.2	1.0
theta[39,1]	-0.46	0.0063	0.36	-1.1	-0.44	0.11	3277.0	1.2	1.0
theta[40,1]	-1.9	0.0094	0.62	-3.0	-1.9	-0.98	4347.0	1.6	1.0
theta[41,1]	0.47	0.0046	0.28	-0.00022	0.47	0.94	3770.0	1.4	1.0
theta[42,1]	-0.03	0.0053	0.31	-0.55	-0.023	0.47	3425.0	1.2	1.0
theta[43,1]	-1.6	0.0088	0.55	-2.5	-1.5	-0.73	3986.0	1.4	1.0
theta[44,1]	0.42	0.0051	0.29	-0.073	0.42	0.9	3383.0	1.2	1.0
theta[45,1]	-1.2	0.0073	0.47	-2.0	-1.2	-0.52	4109.0	1.5	1.0
theta[46,1]	-0.59	0.0066	0.38	-1.2	-0.57	0.014	3345.0	1.2	1.0
theta[47,1]	2.4	0.0062	0.37	1.8	2.4	3.0	3481.0	1.3	1.0
theta[48,1]	0.76	0.0056	0.3	0.27	0.75	1.2	2825.0	1.0	1.0
theta[49,1]	-1.3	0.0083	0.5	-2.2	-1.3	-0.51	3632.0	1.3	1.0
theta[50,1]	-0.49	0.0063	0.36	-1.1	-0.47	0.076	3142.0	1.1	1.0
theta[51,1]	0.078	0.0055	0.3	-0.4	0.083	0.56	2923.0	1.1	1.0
theta[52,1]	0.94	0.0052	0.3	0.46	0.95	1.4	3246.0	1.2	1.0
theta[53,1]	-1.6	0.008	0.53	-2.5	-1.5	-0.73	4330.0	1.6	1.0
theta[54,1]	-1.1	0.0075	0.46	-1.9	-1.1	-0.38	3763.0	1.4	1.0
theta[55,1]	0.17	0.0056	0.31	-0.35	0.19	0.67	3136.0	1.1	1.0
theta[56,1]	2.2	0.0061	0.35	1.6	2.2	2.8	3278.0	1.2	1.0
theta[57,1]	1.4	0.0053	0.31	0.91	1.4	1.9	3443.0	1.2	1.0
theta[58,1]	-1.9	0.0091	0.61	-3.0	-1.9	-0.97	4447.0	1.6	1.0
theta[59,1]	-0.7	0.0061	0.4	-1.4	-0.68	-0.087	4239.0	1.5	1.0
theta[60,1]	-0.029	0.0052	0.31	-0.56	-0.023	0.48	3526.0	1.3	1.0
theta[61,1]	-1.1	0.0073	0.47	-2.0	-1.1	-0.42	4039.0	1.5	1.0
