"","f1","f2","f3"
"x1",0.860529176143026,-0.0468117717942583,-0.0536994834647169
"x2",0.86220012267079,0.0833908098905665,-0.0977501695789469
"x3",0.82509309941965,-0.00358297881723072,0.0296522650889595
"x4",0.603654235382633,0.0837623585061333,0.0708529614904528
"x5",0.306927215934982,0.1521682998281,0.252593158422366
"x6",0.798755018203588,-0.0533440167718192,0.130658898211873
"x9",0.528121288061158,-0.0363974703322684,-0.00344113047860905
"x12",-0.0235692488044025,0.471482664164693,0.47991097877285
"x13",-0.0860476824359087,0.432318089802272,0.471339688427842
"x15",0.636150993812828,-0.0582709237937399,0.173907916938671
"x17",-0.0130051221314337,0.305459483472152,0.607607553651718
"x18",0.00898264760412283,0.361746431584363,0.679649623085866
"x19",-0.0321223294602559,0.448922372580786,0.365407076918972
"x21",0.65847495480685,-0.0982660626958724,0.153185277012482
"x24",0.434364127454923,0.0888347142041495,0.158224605732754
"x26",0.152064489480791,0.75918442403068,-0.174798684694034
"x27",0.15271065632913,0.855684995713538,-0.230976723192692
"x28",0.173327386492729,0.629586399336569,-0.221554052425018
"x29",0.147335283560351,0.565475198707314,-0.23490401624989
"x30",-0.0589446451788914,0.786385872433432,0.115696736387882
"x31",-0.0889729990446381,0.567041369288426,0.267808850843635
"x32",0.00860889509471748,0.573041554815694,0.142597196339737
"x33",0.0158850472301819,0.595574569136819,0.20497108752904
"x36",0.0136874790404389,0.493943947955356,0.195592079843821
"x38",0.399186642584512,0.260420836058612,0.329899553289085
"x39",0.273456732190383,0.288676682760797,0.212553311797538
"x40",0.525239671584836,0.246313627401689,-0.0434736043156091
"x41",0.320211011283386,0.321093741552158,0.242668045382583
"x42",-0.0202216630335763,-0.136221536463292,0.963208339107659
"x43",0.0889459938013614,-0.161940573846505,0.865257405736528
"x44",0.0351108281581277,-0.0695732456089187,0.878994159957212
"x45",-0.00109026871511084,-0.146843919489722,0.778464775665122
"x46",0.394359069533483,0.0308601212404049,0.345152838994511
"x47",0.207310945962816,0.0810418408939692,0.504954018775013
"x48",0.503457250602478,0.215564602273561,0.0689633343553014
"x49",0.365012261551977,0.31156605875415,0.0494140102881524
"x50",0.254657619332355,0.376209333970167,-0.00352186065896338
"x51",0.116576531778589,0.0277466702803412,0.862387722851872
"x52",0.197356883982289,0.131790126900429,0.792907201413608
