k1,k2,stat,lb,ub,pval
23,9,-0.008329,-0.007841,0.013748,0.023
23,10,0.001729,-0.007966,0.014909,0.3955
23,11,-0.00043,-0.004906,0.012119,0.2065
23,12,-0.001277,-0.005793,0.00864,0.2435
23,13,0.000411,-0.004251,0.006733,0.4135
23,14,0.00173,-0.006397,0.014723,0.35925
23,15,-0.00147,-0.003999,0.005358,0.176
23,16,-0.005151,-0.005005,0.007151,0.012
23,17,-0.001096,-0.003173,0.004945,0.17175
23,18,0.005793,-0.0061,0.009186,0.85625
23,19,0.001902,-0.004956,0.008142,0.57275
23,20,0.022035,-0.007045,0.014014,0.9995
23,21,0.004247,-0.005033,0.011545,0.62225
23,22,-0.001066,-0.004404,0.007305,0.22075
24,0,0.000349,-0.003423,0.005793,0.31125
24,1,-0.000579,-0.002649,0.004537,0.2005
24,2,0.000863,-0.003006,0.006487,0.393
24,3,-0.004866,-0.004097,0.007263,0.01875
24,4,-0.003409,-0.003487,0.005063,0.019
24,5,-0.001838,-0.003405,0.006673,0.0825
24,6,-0.000818,-0.003386,0.007686,0.1665
24,7,-0.001188,-0.002832,0.005024,0.142
24,8,0.001897,-0.003865,0.005441,0.67875
24,9,-0.000862,-0.005223,0.006856,0.3015
24,10,0.001783,-0.005105,0.007072,0.57025
24,11,-0.002379,-0.004181,0.00686,0.10525
24,12,0.002538,-0.003528,0.006092,0.7105
24,13,0.000771,-0.00267,0.004425,0.5975
24,14,0.00087,-0.00436,0.007309,0.40325
24,15,-0.001209,-0.002345,0.003381,0.13875
24,16,-0.001379,-0.003141,0.004697,0.161
24,17,7.5e-05,-0.002441,0.003193,0.538
24,18,0.005261,-0.003769,0.005912,0.957
24,19,-0.000296,-0.00317,0.005341,0.3105
24,20,0.005483,-0.004301,0.00761,0.908
24,21,0.004721,-0.003882,0.006635,0.9015
24,22,0.00215,-0.003117,0.005071,0.777
24,23,0.012953,-0.004365,0.006623,0.9995
25,0,0.004948,-0.004905,0.026569,0.22625
25,1,0.000663,-0.002934,0.029402,0.06
25,2,-0.014969,-0.003031,0.023946,0.0
25,3,-0.004729,-0.006625,0.016373,0.0515
25,4,0.00055,-0.005546,0.007019,0.429
25,5,-0.014655,-0.005159,0.023265,0.0005
25,6,-0.007643,-0.005118,0.01865,0.0095
25,7,-0.00118,-0.003717,0.00487,0.18025
25,8,-0.00693,-0.009763,0.02344,0.05175
25,9,-0.000281,-0.009681,0.017915,0.25
25,10,-0.00923,-0.008632,0.023749,0.0225
25,11,0.00167,-0.005539,0.010423,0.4415
25,12,-0.001138,-0.005207,0.008056,0.21075
25,13,-0.002019,-0.004389,0.005861,0.12775
25,14,-0.003684,-0.00566,0.016893,0.068
25,15,-0.001859,-0.004018,0.005265,0.16025
25,16,0.002175,-0.004357,0.005922,0.69225
25,17,-0.000735,-0.003498,0.003523,0.24425
25,18,-0.001241,-0.007045,0.009571,0.23775
25,19,-0.003313,-0.005154,0.006998,0.08025
25,20,-0.010135,-0.007148,0.016369,0.009
25,21,-0.00347,-0.005054,0.009003,0.0645
25,22,-0.003556,-0.004419,0.005995,0.05275
25,23,-0.003051,-0.006059,0.011844,0.105
25,24,-0.002382,-0.003439,0.005206,0.07475
26,0,-0.0189,-0.001468,0.026664,0.00025
26,1,0.007613,-0.000191,0.029057,0.1815
26,2,-0.015139,-0.003748,0.019964,0.00025
26,3,-0.009286,-0.005858,0.013746,0.005
26,4,0.001227,-0.004799,0.005617,0.5555
26,5,-0.018095,-0.003525,0.021601,0.0
26,6,-0.009251,-0.004763,0.015026,0.0015
26,7,-0.003555,-0.003074,0.003662,0.02075
26,8,-0.018003,-0.008228,0.023823,0.001
26,9,-0.000774,-0.008036,0.017207,0.193
26,10,-0.020437,-0.006327,0.022514,0.00025
26,11,0.005303,-0.004094,0.009189,0.78825
26,12,0.003894,-0.004245,0.007114,0.83
26,13,0.002121,-0.003225,0.005547,0.625
26,14,-0.001029,-0.005675,0.014116,0.1395
26,15,0.000787,-0.003561,0.004398,0.47025
26,16,0.002948,-0.003493,0.004462,0.87425
26,17,0.00117,-0.002684,0.002932,0.6895
26,18,0.003337,-0.005904,0.008719,0.658
26,19,-0.002147,-0.003855,0.006163,0.091
26,20,-0.015978,-0.007414,0.012987,0.00075
26,21,-0.00626,-0.004807,0.006876,0.00725
26,22,-0.006723,-0.0035,0.004976,0.00225
26,23,0.004071,-0.005675,0.010344,0.63275
26,24,0.000267,-0.002926,0.003908,0.365
26,25,0.080789,-0.004376,0.028234,1.0
27,0,-0.001969,-0.008356,0.024675,0.102
27,1,-0.002958,-0.004694,0.027613,0.039
27,2,-0.007614,-0.005978,0.024744,0.02075
27,3,0.003878,-0.009655,0.017221,0.4465
27,4,-0.000686,-0.006134,0.009181,0.28575
27,5,-0.007348,-0.008963,0.022728,0.0375
27,6,-0.021895,-0.007917,0.019254,0.0
27,7,-0.000918,-0.00508,0.006251,0.2675
27,8,-0.006478,-0.013898,0.021704,0.1225
27,9,-0.014141,-0.011206,0.020166,0.01075
27,10,-0.025847,-0.013394,0.021835,0.00025
27,11,0.010396,-0.008185,0.011724,0.95075
27,12,-0.008474,-0.006626,0.009496,0.01175
27,13,-0.008144,-0.005915,0.007124,0.0065
27,14,-0.007214,-0.009399,0.017312,0.05
27,15,-0.001202,-0.00523,0.005492,0.281
27,16,-0.002367,-0.005431,0.007252,0.14525
27,17,-0.0028,-0.003894,0.005124,0.07275
27,18,-0.002759,-0.00807,0.011731,0.1825
27,19,5.1e-05,-0.006814,0.007974,0.411
27,20,-0.005549,-0.009275,0.019232,0.06575
27,21,-0.001785,-0.006364,0.011828,0.1755
27,22,-0.001623,-0.005589,0.007872,0.20925
27,23,-0.005924,-0.008075,0.013549,0.05925
27,24,-0.005792,-0.005018,0.006399,0.0145
27,25,0.049073,-0.009424,0.024936,1.0
27,26,0.055038,-0.009968,0.022814,1.0
28,0,-0.006397,-0.009022,0.024571,0.05825
28,1,0.019565,-0.008448,0.024107,0.90975
28,2,-0.013338,-0.008304,0.02166,0.004
28,3,0.012959,-0.010003,0.017039,0.907
28,4,0.000643,-0.007124,0.00835,0.46975
28,5,-0.011552,-0.009879,0.021915,0.01225
28,6,-0.018078,-0.009456,0.018052,0.0005
28,7,-0.001339,-0.005177,0.006715,0.236
28,8,-0.015788,-0.014591,0.022084,0.01725
28,9,-0.004883,-0.011717,0.019083,0.144
28,10,-0.018922,-0.012535,0.023141,0.005
28,11,0.009741,-0.008463,0.011419,0.9405
28,12,-0.008163,-0.0073,0.009541,0.01925
28,13,-0.008584,-0.005961,0.007284,0.0035
28,14,-0.009934,-0.010239,0.017015,0.03125
28,15,-0.003884,-0.005503,0.005889,0.0665
28,16,-0.000931,-0.005638,0.0076,0.293
28,17,-0.002069,-0.003802,0.005259,0.133
28,18,-0.007592,-0.009,0.01192,0.0505
28,19,-0.006688,-0.006813,0.008435,0.0295
28,20,-0.011107,-0.011689,0.017382,0.02675
28,21,-0.010895,-0.007062,0.011734,0.00525
28,22,-0.003725,-0.005846,0.007727,0.09825
28,23,-0.002543,-0.009135,0.013459,0.205
28,24,-0.002715,-0.005083,0.006698,0.12
28,25,0.043393,-0.011375,0.023852,1.0
28,26,0.042903,-0.00954,0.02358,1.0
28,27,0.079792,-0.013373,0.025445,1.0
29,0,-0.01394,-0.006748,0.020929,0.0015
29,1,-0.017834,-0.005617,0.019315,0.00025
29,2,-0.006798,-0.005074,0.021705,0.0105
29,3,-0.010979,-0.007798,0.017496,0.0075
29,4,-0.002736,-0.006444,0.009095,0.149
29,5,-0.008286,-0.00614,0.02172,0.01425
29,6,-0.011701,-0.005711,0.020226,0.0035
29,7,0.000569,-0.004461,0.007672,0.4045
29,8,-0.003257,-0.009949,0.017465,0.15275
29,9,0.000382,-0.010013,0.018112,0.36875
29,10,-0.003567,-0.010292,0.019273,0.1285
29,11,-0.001919,-0.007084,0.012301,0.1975
29,12,0.003112,-0.006054,0.010432,0.5865
29,13,-0.000148,-0.005151,0.007442,0.39575
29,14,-0.004736,-0.007753,0.017651,0.06775
29,15,-0.001488,-0.004792,0.006095,0.233
29,16,0.000732,-0.005033,0.008811,0.4535
29,17,0.002923,-0.004123,0.00502,0.873
29,18,0.000691,-0.007987,0.010991,0.423
29,19,0.000134,-0.005514,0.009916,0.34975
29,20,-0.008655,-0.008539,0.018473,0.02225
29,21,-0.001945,-0.006399,0.01225,0.14375
29,22,-0.001288,-0.005491,0.008355,0.2305
29,23,-0.009816,-0.007964,0.014018,0.01075
29,24,-0.003741,-0.004476,0.007381,0.0425
29,25,0.027757,-0.008563,0.018477,0.9995
29,26,0.013587,-0.006804,0.01665,0.921
29,27,0.014536,-0.010954,0.020157,0.90675
29,28,0.020435,-0.012461,0.018356,0.988
30,0,-0.009417,-0.006136,0.012798,0.00575
30,1,-0.014303,-0.005409,0.011574,0.0
30,2,0.000682,-0.006192,0.012601,0.2965
