	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[5,40]	-0.66	0.013	0.75	-2.0	-0.61	0.49	3157.0	1.5	1.0
theta[6,40]	-0.076	0.014	0.9	-1.6	-0.066	1.3	3855.0	1.8	1.0
theta[7,40]	-0.021	0.015	0.89	-1.5	0.022	1.4	3577.0	1.7	1.0
theta[8,40]	-0.78	0.013	0.75	-2.1	-0.74	0.37	3313.0	1.6	1.0
theta[9,40]	-0.062	0.015	0.94	-1.7	-0.029	1.4	3685.0	1.7	1.0
theta[10,40]	-0.045	0.016	0.98	-1.7	-0.053	1.5	3874.0	1.8	1.0
theta[11,40]	0.023	0.015	1.0	-1.6	0.04	1.6	4215.0	2.0	1.0
theta[1,41]	0.66	0.007	0.28	0.19	0.66	1.1	1637.0	0.78	1.0
theta[2,41]	-0.76	0.013	0.76	-2.1	-0.71	0.42	3337.0	1.6	1.0
theta[3,41]	0.38	0.025	0.76	-0.88	0.39	1.6	920.0	0.44	1.0
theta[4,41]	-0.52	0.013	0.82	-2.0	-0.48	0.75	3955.0	1.9	1.0
theta[5,41]	-1.1	0.01	0.57	-2.1	-1.1	-0.17	3009.0	1.4	1.0
theta[6,41]	-0.38	0.023	0.74	-1.6	-0.4	0.85	1031.0	0.49	1.0
theta[7,41]	0.29	0.0091	0.51	-0.58	0.32	1.1	3149.0	1.5	1.0
theta[8,41]	-1.4	0.0089	0.5	-2.2	-1.4	-0.56	3137.0	1.5	1.0
theta[9,41]	-0.5	0.013	0.77	-1.9	-0.42	0.64	3663.0	1.7	1.0
theta[10,41]	0.6	0.01	0.55	-0.31	0.6	1.5	2960.0	1.4	1.0
theta[11,41]	-0.28	0.015	0.88	-1.8	-0.24	1.1	3423.0	1.6	1.0
theta[1,42]	0.12	0.0074	0.32	-0.41	0.12	0.62	1808.0	0.86	1.0
theta[2,42]	-0.41	0.015	0.81	-1.8	-0.36	0.84	2917.0	1.4	1.0
theta[3,42]	-0.097	0.018	0.77	-1.4	-0.078	1.2	1867.0	0.89	1.0
theta[4,42]	-0.2	0.015	0.87	-1.7	-0.17	1.2	3410.0	1.6	1.0
theta[5,42]	-0.017	0.0096	0.53	-0.86	-0.03	0.87	3089.0	1.5	1.0
theta[6,42]	0.61	0.014	0.73	-0.56	0.59	1.8	2887.0	1.4	1.0
theta[7,42]	1.2	0.0082	0.47	0.42	1.2	1.9	3250.0	1.5	1.0
theta[8,42]	0.96	0.012	0.72	-0.16	0.93	2.2	3381.0	1.6	1.0
theta[9,42]	-0.41	0.015	0.83	-1.9	-0.35	0.82	3154.0	1.5	1.0
theta[10,42]	-0.31	0.014	0.82	-1.8	-0.26	0.93	3410.0	1.6	1.0
theta[11,42]	-0.17	0.016	0.93	-1.7	-0.16	1.4	3293.0	1.6	1.0
theta[1,43]	-1.5	0.011	0.55	-2.4	-1.4	-0.62	2316.0	1.1	1.0
theta[2,43]	-0.11	0.015	0.94	-1.7	-0.073	1.4	3991.0	1.9	1.0
theta[3,43]	-0.29	0.015	0.89	-1.8	-0.27	1.1	3559.0	1.7	1.0
theta[4,43]	-0.02	0.016	0.97	-1.6	-0.032	1.6	3870.0	1.8	1.0
theta[5,43]	-0.66	0.012	0.71	-1.9	-0.61	0.41	3688.0	1.8	1.0
theta[6,43]	-0.26	0.015	0.9	-1.8	-0.23	1.2	3420.0	1.6	1.0
theta[7,43]	-0.27	0.013	0.86	-1.7	-0.23	1.1	4156.0	2.0	1.0
theta[8,43]	0.69	0.011	0.56	-0.24	0.67	1.6	2798.0	1.3	1.0
theta[9,43]	-0.14	0.016	0.92	-1.7	-0.11	1.3	3431.0	1.6	1.0
theta[10,43]	0.018	0.016	0.96	-1.6	0.042	1.5	3794.0	1.8	1.0
theta[11,43]	0.025	0.015	0.96	-1.6	0.031	1.6	4156.0	2.0	1.0
theta[1,44]	0.47	0.0066	0.29	-0.00028	0.48	0.95	1901.0	0.9	1.0
theta[2,44]	-0.34	0.013	0.71	-1.6	-0.3	0.74	2856.0	1.4	1.0
theta[3,44]	1.0	0.013	0.78	-0.23	0.97	2.3	3503.0	1.7	1.0
theta[4,44]	-0.35	0.014	0.83	-1.8	-0.3	0.89	3340.0	1.6	1.0
theta[5,44]	0.77	0.011	0.58	-0.17	0.75	1.8	2777.0	1.3	1.0
theta[6,44]	0.29	0.013	0.75	-0.9	0.25	1.6	3328.0	1.6	1.0
theta[7,44]	-0.83	0.014	0.76	-2.2	-0.76	0.29	3059.0	1.5	1.0
theta[8,44]	0.65	0.012	0.71	-0.44	0.61	1.9	3238.0	1.5	1.0
theta[9,44]	1.7	0.0084	0.46	0.92	1.6	2.4	3073.0	1.5	1.0
theta[10,44]	-0.5	0.014	0.78	-1.9	-0.46	0.68	3293.0	1.6	1.0
theta[11,44]	-0.32	0.015	0.89	-1.8	-0.3	1.1	3402.0	1.6	1.0
theta[1,45]	-1.2	0.0094	0.49	-2.0	-1.2	-0.42	2738.0	1.3	1.0
theta[2,45]	-0.16	0.016	0.93	-1.7	-0.14	1.3	3565.0	1.7	1.0
theta[3,45]	1.6	0.018	0.78	0.3	1.6	2.9	1817.0	0.86	1.0
theta[4,45]	-0.073	0.017	1.0	-1.8	-0.067	1.6	3563.0	1.7	1.0
theta[5,45]	-0.79	0.012	0.7	-2.0	-0.73	0.28	3302.0	1.6	1.0
theta[6,45]	-0.27	0.015	0.86	-1.8	-0.23	1.1	3267.0	1.6	1.0
theta[7,45]	-0.11	0.014	0.81	-1.5	-0.058	1.2	3544.0	1.7	1.0
theta[8,45]	-1.0	0.013	0.71	-2.3	-0.98	0.029	2837.0	1.3	1.0
theta[9,45]	-0.15	0.015	0.88	-1.6	-0.13	1.2	3601.0	1.7	1.0
