k1,k2,sk,lb,ub,pval
40,5,0.670103,0.656357,0.74055,0.107
40,6,0.699313,0.687285,0.769759,0.06375
40,7,0.730241,0.67354,0.761168,0.728
40,8,0.463918,0.446735,0.544674,0.106
40,9,0.676976,0.628866,0.714777,0.5655
40,10,0.623711,0.603093,0.689003,0.153
40,11,0.730241,0.676976,0.75945,0.66575
40,12,0.71134,0.67354,0.757732,0.40675
40,13,0.716495,0.668385,0.752577,0.585
40,14,0.70674,0.675774,0.759563,0.2875
40,15,0.697632,0.659381,0.746812,0.35725
40,16,0.715847,0.668488,0.75592,0.53875
40,17,0.708561,0.663024,0.750455,0.506
40,18,0.706186,0.664948,0.747423,0.48175
40,19,0.721649,0.67354,0.75945,0.6175
40,20,0.699313,0.67354,0.757732,0.2235
40,21,0.714777,0.687285,0.771478,0.2435
40,22,0.71134,0.67354,0.75945,0.446
40,23,0.694158,0.67354,0.757732,0.164
40,24,0.713058,0.670103,0.757732,0.435
40,25,0.536082,0.494845,0.589347,0.366
40,26,0.477663,0.439863,0.534364,0.31425
40,27,0.572165,0.537801,0.630584,0.335
40,28,0.585911,0.517182,0.609966,0.80625
40,29,0.713058,0.651203,0.735395,0.83125
40,30,0.709622,0.661512,0.745704,0.59325
40,31,0.713058,0.656357,0.74055,0.75375
40,32,0.671821,0.620275,0.707904,0.5765
40,33,0.695876,0.654639,0.738832,0.4195
40,34,0.726804,0.67354,0.75945,0.69875
40,35,0.718213,0.666667,0.749141,0.66525
40,36,0.704467,0.658076,0.743986,0.55425
40,37,0.752577,0.67354,0.754296,0.97225
40,38,0.718213,0.609966,0.697595,0.999
40,39,0.697595,0.594502,0.680412,0.9965
41,0,0.604811,0.560137,0.649485,0.4905
41,1,0.479381,0.434708,0.52921,0.463
41,2,0.676976,0.640893,0.725086,0.358
41,3,0.786942,0.766323,0.840206,0.18775
41,4,0.88488,0.864261,0.92268,0.315
41,5,0.682131,0.640893,0.725086,0.5215
41,6,0.773196,0.747423,0.819588,0.29625
41,7,0.910653,0.878007,0.934708,0.59175
41,8,0.376289,0.33677,0.441581,0.355
41,9,0.771478,0.716495,0.798969,0.73375
41,10,0.67354,0.613402,0.707904,0.66825
41,11,0.869416,0.841924,0.90378,0.392
41,12,0.888316,0.860825,0.920962,0.50325
41,13,0.900344,0.871134,0.927835,0.453
41,14,0.790528,0.770492,0.845173,0.17325
41,15,0.905282,0.876138,0.934426,0.4975
41,16,0.901639,0.872495,0.930783,0.467
41,17,0.912568,0.879781,0.938069,0.53575
41,18,0.862543,0.833333,0.900344,0.36925
41,19,0.88488,0.862543,0.920962,0.27725
41,20,0.780069,0.761168,0.835052,0.203
41,21,0.881443,0.848797,0.908935,0.52275
41,22,0.895189,0.871134,0.927835,0.371
41,23,0.847079,0.817869,0.886598,0.347
41,24,0.914089,0.876289,0.93299,0.67675
41,25,0.438144,0.383162,0.482818,0.58875
41,26,0.328179,0.293814,0.390034,0.2735
41,27,0.5189,0.484536,0.587629,0.24425
41,28,0.5189,0.477663,0.580756,0.33175
41,29,0.75945,0.721649,0.802405,0.46725
41,30,0.869416,0.821306,0.890034,0.73975
41,31,0.790378,0.766323,0.841924,0.263
41,32,0.687285,0.651203,0.742268,0.3325
41,33,0.824742,0.778351,0.853952,0.60225
41,34,0.896907,0.862543,0.92268,0.5905
41,35,0.83677,0.812715,0.881443,0.22325
41,36,0.819588,0.793814,0.865979,0.285
41,37,0.743986,0.685567,0.769759,0.73075
41,38,0.630584,0.587629,0.678694,0.455
41,39,0.579038,0.532646,0.627148,0.45425
41,40,0.719931,0.676976,0.761168,0.505
42,0,0.635739,0.579038,0.668385,0.7085
42,1,0.530928,0.484536,0.57732,0.5395
42,2,0.67354,0.646048,0.728522,0.24125
42,3,0.749141,0.721649,0.798969,0.24075
42,4,0.809278,0.773196,0.848797,0.44175
42,5,0.682131,0.640893,0.726804,0.51
42,6,0.738832,0.719931,0.793814,0.2065
42,7,0.821306,0.783505,0.859107,0.45875
42,8,0.417526,0.383162,0.482818,0.3025
42,9,0.702749,0.67354,0.757732,0.228
42,10,0.670103,0.609966,0.699313,0.7905
42,11,0.800687,0.769759,0.841924,0.41975
42,12,0.812715,0.771478,0.847079,0.51125
42,13,0.817869,0.778351,0.85567,0.49775
42,14,0.752277,0.723133,0.801457,0.26325
42,15,0.819672,0.779599,0.857923,0.528
42,16,0.819672,0.783242,0.859745,0.501
42,17,0.826958,0.781421,0.859745,0.5855
42,18,0.790378,0.757732,0.835052,0.38275
42,19,0.809278,0.776632,0.852234,0.4
42,20,0.745704,0.718213,0.793814,0.30025
42,21,0.805842,0.774914,0.847079,0.3845
42,22,0.809278,0.780069,0.853952,0.32675
42,23,0.78866,0.752577,0.828179,0.4445
42,24,0.824742,0.783505,0.859107,0.53475
42,25,0.455326,0.426117,0.524055,0.2005
42,26,0.376289,0.35567,0.455326,0.14175
42,27,0.512027,0.503436,0.599656,0.0525
42,28,0.508591,0.493127,0.589347,0.08975
42,29,0.697595,0.687285,0.768041,0.08325
42,30,0.790378,0.749141,0.828179,0.5325
42,31,0.735395,0.716495,0.793814,0.174
42,32,0.652921,0.634021,0.719931,0.11375
42,33,0.762887,0.721649,0.800687,0.4485
42,34,0.810997,0.774914,0.850515,0.4305
42,35,0.774914,0.745704,0.821306,0.28325
42,36,0.750859,0.735395,0.812715,0.1455
42,37,0.733677,0.67354,0.754296,0.7875
42,38,0.654639,0.589347,0.678694,0.79725
42,39,0.589347,0.553265,0.646048,0.3195
42,40,0.706186,0.659794,0.743986,0.52325
42,41,0.896907,0.766323,0.840206,1.0
43,0,0.609966,0.57732,0.668385,0.29025
43,1,0.491409,0.460481,0.553265,0.287
43,2,0.682131,0.66323,0.745704,0.184
43,3,0.78866,0.766323,0.840206,0.19525
43,4,0.879725,0.841924,0.90378,0.631
43,5,0.690722,0.652921,0.737113,0.414
43,6,0.785223,0.752577,0.824742,0.39175
43,7,0.888316,0.857388,0.917526,0.51125
43,8,0.381443,0.352234,0.455326,0.198
43,9,0.756014,0.709622,0.792096,0.54525
43,10,0.675258,0.618557,0.71134,0.607
43,11,0.878007,0.829897,0.891753,0.8415
43,12,0.872852,0.840206,0.902062,0.51125
43,13,0.88488,0.852234,0.912371,0.5865
43,14,0.797814,0.772313,0.843352,0.28175
