	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[209,2]	0.42	0.0072	0.59	-0.58	0.43	1.4	6753.0	13.0	1.0
theta[210,2]	0.62	0.007	0.58	-0.32	0.6	1.6	7048.0	14.0	1.0
theta[211,2]	-0.96	0.0083	0.71	-2.2	-0.93	0.15	7274.0	14.0	1.0
theta[212,2]	0.58	0.0073	0.61	-0.39	0.56	1.6	7131.0	14.0	1.0
theta[213,2]	0.36	0.0072	0.58	-0.58	0.34	1.3	6500.0	13.0	1.0
theta[214,2]	0.1	0.0076	0.6	-0.85	0.085	1.1	6181.0	12.0	1.0
theta[215,2]	0.71	0.0068	0.58	-0.22	0.71	1.7	7081.0	14.0	1.0
theta[216,2]	-0.63	0.007	0.55	-1.6	-0.61	0.24	6029.0	12.0	1.0
theta[217,2]	-1.1	0.0063	0.55	-2.0	-1.1	-0.23	7654.0	15.0	1.0
theta[218,2]	-0.47	0.007	0.56	-1.4	-0.45	0.42	6271.0	12.0	1.0
theta[219,2]	-0.92	0.0069	0.58	-1.9	-0.91	0.0081	6908.0	14.0	1.0
theta[220,2]	0.73	0.0068	0.57	-0.2	0.73	1.7	7077.0	14.0	1.0
theta[221,2]	-0.41	0.0068	0.56	-1.3	-0.41	0.49	6782.0	13.0	1.0
theta[222,2]	0.27	0.0084	0.62	-0.75	0.29	1.3	5494.0	11.0	1.0
theta[223,2]	-0.76	0.0079	0.6	-1.8	-0.75	0.18	5727.0	11.0	1.0
theta[224,2]	0.66	0.0071	0.62	-0.35	0.65	1.7	7698.0	15.0	1.0
theta[225,2]	0.11	0.007	0.6	-0.88	0.13	1.1	7343.0	14.0	1.0
theta[226,2]	-1.5	0.0071	0.65	-2.7	-1.5	-0.53	8305.0	16.0	1.0
theta[227,2]	-0.28	0.0066	0.55	-1.2	-0.29	0.62	6818.0	13.0	1.0
theta[228,2]	2.1	0.008	0.66	0.99	2.1	3.2	6856.0	13.0	1.0
theta[229,2]	-1.1	0.0066	0.55	-2.0	-1.0	-0.16	6926.0	14.0	1.0
theta[230,2]	0.82	0.0071	0.59	-0.12	0.8	1.8	6927.0	14.0	1.0
theta[231,2]	0.42	0.0069	0.57	-0.51	0.42	1.3	6883.0	14.0	1.0
theta[232,2]	0.89	0.0068	0.61	-0.09	0.87	1.9	8025.0	16.0	1.0
theta[233,2]	0.5	0.0075	0.61	-0.46	0.48	1.6	6557.0	13.0	1.0
theta[234,2]	0.45	0.0066	0.56	-0.47	0.44	1.4	7098.0	14.0	1.0
theta[235,2]	-0.43	0.0059	0.53	-1.3	-0.43	0.43	7959.0	16.0	1.0
theta[236,2]	-1.0	0.0084	0.71	-2.2	-0.98	0.091	7251.0	14.0	1.0
theta[237,2]	-0.26	0.0066	0.54	-1.2	-0.26	0.62	6579.0	13.0	1.0
theta[238,2]	1.0	0.0079	0.59	0.1	1.0	2.0	5563.0	11.0	1.0
theta[239,2]	0.71	0.0071	0.59	-0.24	0.69	1.7	6861.0	13.0	1.0
theta[240,2]	-1.5	0.0071	0.63	-2.6	-1.4	-0.51	7987.0	16.0	1.0
theta[241,2]	1.3	0.0075	0.64	0.32	1.3	2.4	7237.0	14.0	1.0
theta[242,2]	0.45	0.0068	0.56	-0.44	0.43	1.4	6781.0	13.0	1.0
theta[243,2]	0.48	0.0068	0.59	-0.45	0.46	1.5	7441.0	15.0	1.0
