sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
28,18,21,15,31,32,27,31,31,34,31,26,23,26,19,23,19,22,15,17,23,10,12,9,16,6,6,6,8,4,4,5,3,3,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
29,15,22,34,32,31,30,28,37,33,28,25,27,12,25,21,20,11,18,20,15,19,12,8,9,7,11,6,5,5,1,1,1,3,1,2,2,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
30,9,26,26,26,29,31,38,44,34,28,31,21,21,15,17,26,11,18,20,16,18,17,11,10,2,8,8,3,2,5,2,1,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
31,14,23,33,24,27,25,37,27,30,30,24,30,26,19,22,19,20,20,11,17,14,16,8,13,10,8,11,3,7,4,3,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9,26,29,28,39,32,24,37,32,25,30,23,25,21,17,11,24,13,23,12,16,20,10,6,9,6,11,4,3,4,1,3,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,15,26,23,24,25,32,35,38,26,30,26,25,20,21,27,25,22,14,17,15,15,11,11,6,7,9,7,5,2,6,2,3,3,3,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
34,15,16,18,37,35,37,35,27,35,26,23,24,25,23,23,22,19,13,19,14,8,8,14,6,11,11,6,5,6,5,4,3,2,1,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,12,23,22,34,38,27,26,32,31,27,30,24,31,21,24,16,19,12,21,12,10,14,9,12,13,5,6,8,8,2,5,2,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,10,18,33,27,30,27,31,36,35,32,21,20,28,23,29,18,19,17,21,14,10,11,10,8,13,5,7,7,5,5,4,0,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
37,9,28,28,33,32,34,24,33,24,21,42,18,26,21,21,28,22,17,16,17,11,10,10,9,6,5,6,6,6,3,3,5,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,18,18,18,35,30,32,33,34,30,29,32,22,23,19,30,20,19,18,15,19,13,15,4,8,5,6,6,3,7,3,3,3,3,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
