	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.41	0.005	0.31	-0.94	-0.39	0.075	3878.0	4.9	1.0
theta[1,2]	0.47	0.0043	0.25	0.048	0.47	0.88	3304.0	4.2	1.0
theta[1,3]	-0.52	0.0056	0.34	-1.1	-0.51	0.0098	3794.0	4.8	1.0
theta[1,4]	-0.89	0.0064	0.39	-1.6	-0.86	-0.3	3758.0	4.8	1.0
theta[1,5]	1.3	0.0043	0.23	0.92	1.3	1.7	2778.0	3.5	1.0
theta[1,6]	-1.8	0.0084	0.56	-2.8	-1.8	-0.95	4544.0	5.8	1.0
theta[1,7]	-1.0	0.0069	0.42	-1.8	-1.0	-0.38	3710.0	4.7	1.0
theta[1,8]	0.65	0.0038	0.24	0.27	0.65	1.0	3915.0	5.0	1.0
theta[1,9]	0.071	0.004	0.27	-0.37	0.078	0.49	4335.0	5.5	1.0
theta[1,10]	0.63	0.004	0.24	0.24	0.63	1.0	3387.0	4.3	1.0
theta[1,11]	0.29	0.0041	0.25	-0.13	0.3	0.68	3687.0	4.7	1.0
theta[1,12]	1.0	0.0038	0.23	0.66	1.0	1.4	3786.0	4.8	1.0
theta[1,13]	-0.094	0.0046	0.3	-0.58	-0.085	0.37	4239.0	5.4	1.0
theta[1,14]	-1.8	0.0087	0.56	-2.8	-1.8	-0.97	4123.0	5.2	1.0
theta[1,15]	-0.37	0.005	0.32	-0.92	-0.36	0.15	4102.0	5.2	1.0
theta[1,16]	0.55	0.0042	0.24	0.15	0.56	0.94	3304.0	4.2	1.0
theta[1,17]	-0.53	0.0056	0.35	-1.1	-0.52	0.0053	3787.0	4.8	1.0
theta[1,18]	-0.46	0.0052	0.32	-1.0	-0.44	0.05	3763.0	4.8	1.0
theta[1,19]	-2.1	0.0096	0.61	-3.1	-2.0	-1.1	4091.0	5.2	1.0
theta[1,20]	-0.81	0.0062	0.39	-1.5	-0.79	-0.22	3917.0	5.0	1.0
theta[1,21]	-0.74	0.0055	0.37	-1.4	-0.73	-0.18	4441.0	5.7	1.0
theta[1,22]	-0.095	0.0048	0.29	-0.58	-0.087	0.37	3741.0	4.8	1.0
theta[1,23]	1.2	0.004	0.22	0.88	1.2	1.6	3092.0	3.9	1.0
theta[1,24]	-0.91	0.0064	0.4	-1.6	-0.88	-0.31	3879.0	4.9	1.0
theta[1,25]	-1.8	0.0086	0.56	-2.8	-1.8	-0.97	4265.0	5.4	1.0
theta[1,26]	0.5	0.0045	0.24	0.11	0.51	0.89	2802.0	3.6	1.0
theta[1,27]	0.24	0.0043	0.26	-0.21	0.24	0.66	3653.0	4.7	1.0
theta[1,28]	0.87	0.0044	0.23	0.49	0.87	1.3	2870.0	3.7	1.0
theta[1,29]	-0.085	0.0047	0.29	-0.58	-0.08	0.38	3805.0	4.8	1.0
theta[1,30]	0.47	0.0039	0.24	0.058	0.47	0.86	3991.0	5.1	1.0
theta[1,31]	0.65	0.0038	0.23	0.27	0.65	1.0	3611.0	4.6	1.0
theta[1,32]	-0.58	0.0057	0.34	-1.2	-0.57	-0.052	3603.0	4.6	1.0
theta[1,33]	-0.9	0.0062	0.39	-1.6	-0.88	-0.29	4089.0	5.2	1.0
theta[1,34]	-1.6	0.0079	0.52	-2.5	-1.6	-0.81	4271.0	5.4	1.0
theta[1,35]	-0.28	0.005	0.31	-0.8	-0.27	0.21	3723.0	4.7	1.0
theta[1,36]	-0.48	0.0057	0.33	-1.1	-0.46	0.049	3434.0	4.4	1.0
theta[1,37]	0.44	0.0037	0.24	0.039	0.45	0.83	4140.0	5.3	1.0
theta[1,38]	-0.63	0.0059	0.36	-1.2	-0.62	-0.078	3590.0	4.6	1.0
theta[1,39]	-0.3	0.0051	0.31	-0.85	-0.28	0.2	3680.0	4.7	1.0
theta[1,40]	-2.1	0.009	0.6	-3.1	-2.0	-1.1	4362.0	5.6	1.0
theta[1,41]	0.48	0.0046	0.25	0.047	0.48	0.89	2991.0	3.8	1.0
theta[1,42]	0.27	0.0041	0.25	-0.16	0.27	0.66	3721.0	4.7	1.0
theta[1,43]	-1.4	0.0075	0.47	-2.2	-1.3	-0.65	4013.0	5.1	1.0
theta[1,44]	0.69	0.0042	0.24	0.3	0.69	1.1	3226.0	4.1	1.0
theta[1,45]	-1.3	0.0069	0.46	-2.1	-1.3	-0.63	4382.0	5.6	1.0
theta[1,46]	-0.7	0.0062	0.37	-1.3	-0.68	-0.12	3584.0	4.6	1.0
theta[1,47]	2.6	0.0051	0.29	2.2	2.6	3.1	3158.0	4.0	1.0
theta[1,48]	1.1	0.004	0.24	0.66	1.1	1.5	3466.0	4.4	1.0
theta[1,49]	-1.0	0.0065	0.43	-1.8	-1.0	-0.4	4339.0	5.5	1.0
theta[1,50]	-0.015	0.0043	0.28	-0.49	-0.0042	0.41	4074.0	5.2	1.0
theta[1,51]	0.32	0.0039	0.25	-0.11	0.32	0.73	4167.0	5.3	1.0
theta[1,52]	1.2	0.0044	0.23	0.86	1.2	1.6	2783.0	3.5	1.0
theta[1,53]	-1.7	0.0081	0.53	-2.6	-1.7	-0.89	4363.0	5.6	1.0
theta[1,54]	-0.85	0.0061	0.39	-1.6	-0.84	-0.24	4211.0	5.4	1.0
theta[1,55]	0.26	0.0043	0.26	-0.17	0.26	0.68	3536.0	4.5	1.0
theta[1,56]	2.1	0.0051	0.26	1.7	2.1	2.5	2552.0	3.2	1.0
theta[1,57]	1.7	0.0036	0.23	1.3	1.7	2.0	4061.0	5.2	1.0
theta[1,58]	-2.1	0.0096	0.61	-3.1	-2.0	-1.1	4099.0	5.2	1.0
theta[1,59]	-0.38	0.0054	0.32	-0.94	-0.36	0.11	3464.0	4.4	1.0
theta[1,60]	-0.021	0.0044	0.28	-0.49	-0.016	0.43	4169.0	5.3	1.0
theta[1,61]	-1.2	0.0061	0.44	-1.9	-1.2	-0.5	5310.0	6.8	1.0
theta[1,62]	0.021	0.0049	0.26	-0.43	0.027	0.45	2874.0	3.7	1.0
theta[1,63]	-1.6	0.0075	0.51	-2.4	-1.5	-0.76	4730.0	6.0	1.0
theta[1,64]	1.1	0.0038	0.23	0.68	1.1	1.4	3674.0	4.7	1.0
theta[1,65]	0.61	0.0039	0.23	0.23	0.61	0.98	3445.0	4.4	1.0
theta[1,66]	-0.28	0.0045	0.29	-0.79	-0.27	0.18	4159.0	5.3	1.0
theta[1,67]	-0.53	0.0051	0.33	-1.1	-0.52	-0.0017	4293.0	5.5	1.0
theta[1,68]	-0.52	0.0054	0.33	-1.1	-0.5	0.0095	3750.0	4.8	1.0
theta[1,69]	-0.44	0.0046	0.32	-0.98	-0.43	0.068	4807.0	6.1	1.0
theta[1,70]	0.14	0.0042	0.26	-0.31	0.15	0.55	3861.0	4.9	1.0
theta[1,71]	-0.92	0.0066	0.4	-1.6	-0.89	-0.3	3724.0	4.7	1.0
theta[1,72]	-0.033	0.0043	0.29	-0.52	-0.024	0.43	4451.0	5.7	1.0
theta[1,73]	-0.19	0.0041	0.29	-0.7	-0.18	0.27	5159.0	6.6	1.0
theta[1,74]	-0.97	0.0065	0.41	-1.7	-0.95	-0.35	3994.0	5.1	1.0
theta[1,75]	-1.5	0.0076	0.5	-2.4	-1.5	-0.78	4345.0	5.5	1.0
theta[1,76]	0.19	0.0043	0.25	-0.24	0.2	0.6	3445.0	4.4	1.0
theta[1,77]	0.88	0.004	0.23	0.5	0.88	1.3	3303.0	4.2	1.0
theta[1,78]	-1.1	0.0069	0.43	-1.8	-1.0	-0.4	3843.0	4.9	1.0
theta[1,79]	-0.9	0.0063	0.4	-1.6	-0.88	-0.3	3930.0	5.0	1.0
theta[1,80]	-0.39	0.0049	0.32	-0.94	-0.38	0.12	4316.0	5.5	1.0
theta[1,81]	2.1	0.0051	0.25	1.7	2.1	2.6	2500.0	3.2	1.0
theta[1,82]	-1.2	0.007	0.45	-2.0	-1.2	-0.58	4125.0	5.3	1.0
theta[1,83]	-0.52	0.0051	0.34	-1.1	-0.5	0.0079	4370.0	5.6	1.0
