	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.45	0.0047	0.32	-1.0	-0.44	0.043	4500.0	17.0	1.0
theta[2,1]	0.26	0.0038	0.26	-0.18	0.26	0.68	4701.0	18.0	1.0
theta[3,1]	-0.82	0.0056	0.37	-1.5	-0.8	-0.25	4432.0	17.0	1.0
theta[4,1]	-1.1	0.0062	0.43	-1.9	-1.1	-0.46	4773.0	18.0	1.0
theta[5,1]	0.99	0.0039	0.26	0.56	0.98	1.4	4349.0	17.0	1.0
theta[6,1]	-1.8	0.0089	0.56	-2.8	-1.8	-0.99	3902.0	15.0	1.0
theta[7,1]	-1.1	0.0064	0.42	-1.8	-1.1	-0.46	4386.0	17.0	1.0
theta[8,1]	0.62	0.0033	0.25	0.2	0.62	1.0	5930.0	23.0	1.0
theta[9,1]	-0.11	0.0042	0.28	-0.59	-0.1	0.34	4619.0	18.0	1.0
theta[10,1]	0.42	0.0034	0.24	0.021	0.42	0.81	5010.0	19.0	1.0
theta[11,1]	0.17	0.0035	0.25	-0.26	0.17	0.58	5160.0	20.0	1.0
theta[12,1]	1.0	0.0036	0.26	0.63	1.0	1.5	5030.0	19.0	1.0
theta[13,1]	-0.46	0.0048	0.33	-1.0	-0.45	0.063	4590.0	17.0	1.0
theta[14,1]	-1.8	0.0084	0.57	-2.8	-1.8	-1.0	4608.0	17.0	1.0
theta[15,1]	-0.49	0.0048	0.32	-1.0	-0.48	0.012	4479.0	17.0	1.0
theta[16,1]	0.48	0.0035	0.25	0.078	0.48	0.88	5040.0	19.0	1.0
theta[17,1]	-0.66	0.0053	0.34	-1.2	-0.64	-0.12	4276.0	16.0	1.0
theta[18,1]	-0.51	0.0046	0.32	-1.1	-0.5	-0.0053	4812.0	18.0	1.0
theta[19,1]	-2.1	0.0091	0.6	-3.1	-2.0	-1.1	4284.0	16.0	1.0
theta[20,1]	-0.86	0.0057	0.39	-1.5	-0.84	-0.25	4657.0	18.0	1.0
theta[21,1]	-0.77	0.0053	0.38	-1.4	-0.75	-0.19	4958.0	19.0	1.0
theta[22,1]	-0.41	0.0047	0.31	-0.94	-0.39	0.081	4417.0	17.0	1.0
theta[23,1]	1.2	0.0037	0.26	0.78	1.2	1.6	4950.0	19.0	1.0
theta[24,1]	-1.2	0.0067	0.45	-2.0	-1.2	-0.51	4504.0	17.0	1.0
theta[25,1]	-1.8	0.0084	0.55	-2.8	-1.8	-0.98	4235.0	16.0	1.0
theta[26,1]	0.47	0.0036	0.25	0.046	0.47	0.88	4848.0	18.0	1.0
theta[27,1]	0.21	0.0039	0.26	-0.23	0.22	0.63	4379.0	17.0	1.0
theta[28,1]	0.78	0.0036	0.25	0.36	0.77	1.2	4774.0	18.0	1.0
theta[29,1]	-0.15	0.0042	0.27	-0.62	-0.13	0.29	4290.0	16.0	1.0
theta[30,1]	0.35	0.0037	0.25	-0.066	0.35	0.76	4726.0	18.0	1.0
theta[31,1]	0.45	0.0039	0.25	0.035	0.45	0.87	4161.0	16.0	1.0
theta[32,1]	-0.7	0.0054	0.36	-1.3	-0.68	-0.15	4372.0	17.0	1.0
theta[33,1]	-0.94	0.0056	0.39	-1.6	-0.91	-0.34	4769.0	18.0	1.0
theta[34,1]	-1.7	0.0079	0.5	-2.5	-1.6	-0.9	4033.0	15.0	1.0
theta[35,1]	-0.31	0.0045	0.31	-0.83	-0.29	0.17	4741.0	18.0	1.0
theta[36,1]	-0.62	0.0051	0.34	-1.2	-0.6	-0.096	4442.0	17.0	1.0
theta[37,1]	0.33	0.0037	0.25	-0.076	0.33	0.74	4504.0	17.0	1.0
theta[38,1]	-0.72	0.0054	0.36	-1.3	-0.7	-0.16	4336.0	16.0	1.0
theta[39,1]	-0.41	0.0047	0.32	-0.97	-0.4	0.082	4551.0	17.0	1.0
theta[40,1]	-2.1	0.0095	0.61	-3.2	-2.0	-1.1	4113.0	16.0	1.0
theta[41,1]	0.42	0.0035	0.26	0.002	0.43	0.84	5253.0	20.0	1.0
theta[42,1]	0.15	0.0038	0.26	-0.28	0.15	0.55	4812.0	18.0	1.0
theta[43,1]	-1.4	0.0076	0.48	-2.2	-1.4	-0.67	3947.0	15.0	1.0
theta[44,1]	0.54	0.0037	0.25	0.13	0.54	0.96	4523.0	17.0	1.0
theta[45,1]	-1.3	0.0072	0.47	-2.1	-1.3	-0.63	4127.0	16.0	1.0
theta[46,1]	-0.71	0.0051	0.35	-1.3	-0.69	-0.16	4840.0	18.0	1.0
theta[47,1]	2.5	0.005	0.34	1.9	2.5	3.1	4600.0	17.0	1.0
theta[48,1]	0.86	0.0037	0.26	0.44	0.86	1.3	4884.0	19.0	1.0
theta[49,1]	-1.3	0.0077	0.48	-2.2	-1.3	-0.6	3890.0	15.0	1.0
theta[50,1]	-0.25	0.0041	0.3	-0.74	-0.24	0.21	5250.0	20.0	1.0
theta[51,1]	0.19	0.0036	0.26	-0.24	0.19	0.61	5380.0	20.0	1.0
theta[52,1]	1.1	0.0038	0.26	0.7	1.1	1.6	4724.0	18.0	1.0
theta[53,1]	-1.7	0.0078	0.53	-2.6	-1.6	-0.88	4676.0	18.0	1.0
theta[54,1]	-0.9	0.0052	0.38	-1.6	-0.88	-0.32	5377.0	20.0	1.0
theta[55,1]	0.088	0.0038	0.26	-0.35	0.095	0.51	4672.0	18.0	1.0
theta[56,1]	2.2	0.0052	0.32	1.7	2.2	2.7	3693.0	14.0	1.0
theta[57,1]	1.6	0.0041	0.29	1.1	1.5	2.0	4938.0	19.0	1.0
theta[58,1]	-2.0	0.0096	0.59	-3.1	-2.0	-1.1	3838.0	15.0	1.0
theta[59,1]	-0.55	0.0049	0.33	-1.1	-0.53	-0.036	4491.0	17.0	1.0
theta[60,1]	-0.062	0.0041	0.27	-0.52	-0.054	0.37	4454.0	17.0	1.0
theta[61,1]	-1.2	0.0064	0.42	-1.9	-1.2	-0.57	4302.0	16.0	1.0
theta[62,1]	-0.13	0.0041	0.28	-0.6	-0.12	0.31	4614.0	18.0	1.0
theta[63,1]	-1.8	0.0082	0.55	-2.7	-1.7	-0.92	4467.0	17.0	1.0
theta[64,1]	0.93	0.0039	0.25	0.51	0.93	1.3	3985.0	15.0	1.0
theta[65,1]	0.54	0.0036	0.25	0.12	0.53	0.96	4881.0	19.0	1.0
theta[66,1]	-0.48	0.0047	0.31	-1.0	-0.47	0.012	4427.0	17.0	1.0
theta[67,1]	-0.55	0.0047	0.33	-1.1	-0.54	-0.032	4909.0	19.0	1.0
theta[68,1]	-0.55	0.0053	0.33	-1.1	-0.53	-0.027	3893.0	15.0	1.0
theta[69,1]	-0.57	0.0047	0.33	-1.1	-0.55	-0.059	4925.0	19.0	1.0
theta[70,1]	0.051	0.0036	0.26	-0.39	0.057	0.47	5142.0	20.0	1.0
theta[71,1]	-0.98	0.0064	0.41	-1.7	-0.95	-0.35	4102.0	16.0	1.0
theta[72,1]	-0.17	0.0041	0.29	-0.65	-0.15	0.28	4972.0	19.0	1.0
theta[73,1]	-0.26	0.0043	0.3	-0.78	-0.24	0.21	4850.0	18.0	1.0
theta[74,1]	-1.0	0.0059	0.4	-1.7	-1.0	-0.43	4670.0	18.0	1.0
theta[75,1]	-1.7	0.0084	0.54	-2.7	-1.7	-0.93	4152.0	16.0	1.0
theta[76,1]	0.11	0.0038	0.26	-0.33	0.11	0.52	4688.0	18.0	1.0
theta[77,1]	0.82	0.0036	0.26	0.4	0.82	1.2	5112.0	19.0	1.0
theta[78,1]	-1.2	0.0066	0.42	-1.9	-1.1	-0.52	4083.0	15.0	1.0
theta[79,1]	-1.0	0.0059	0.41	-1.7	-0.98	-0.37	4723.0	18.0	1.0
theta[80,1]	-0.52	0.0046	0.33	-1.1	-0.5	0.0035	5115.0	19.0	1.0
theta[81,1]	2.1	0.0047	0.31	1.6	2.1	2.6	4379.0	17.0	1.0
theta[82,1]	-1.3	0.0061	0.44	-2.0	-1.2	-0.59	5045.0	19.0	1.0
theta[83,1]	-0.73	0.0056	0.36	-1.4	-0.71	-0.18	4148.0	16.0	1.0
theta[84,1]	0.58	0.0035	0.25	0.17	0.58	0.98	5016.0	19.0	1.0
theta[85,1]	0.21	0.0037	0.27	-0.23	0.21	0.64	5205.0	20.0	1.0
theta[86,1]	0.36	0.0038	0.25	-0.044	0.36	0.77	4392.0	17.0	1.0
theta[87,1]	-1.8	0.0083	0.55	-2.7	-1.7	-0.92	4358.0	17.0	1.0
theta[88,1]	0.077	0.0039	0.27	-0.37	0.077	0.5	4720.0	18.0	1.0
theta[89,1]	0.088	0.0037	0.27	-0.36	0.092	0.51	5231.0	20.0	1.0
theta[90,1]	-0.014	0.0039	0.28	-0.48	-0.0077	0.43	5094.0	19.0	1.0
