name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,467]	1.51	0.00458	0.273	1.07	1.51	1.97	3549.0	3.51	1.0
theta[2,467]	0.6	0.00613	0.485	-0.188	0.591	1.4	6259.0	6.2	1.0
theta[3,467]	-1.43	0.00818	0.608	-2.5	-1.39	-0.504	5525.0	5.47	0.999
theta[1,468]	-1.18	0.00699	0.482	-2.03	-1.14	-0.446	4755.0	4.71	1.0
theta[2,468]	2.13	0.00695	0.511	1.28	2.13	2.96	5405.0	5.35	1.0
theta[3,468]	-0.151	0.0104	0.873	-1.66	-0.111	1.23	7059.0	6.99	1.0
theta[1,469]	-0.364	0.00466	0.346	-0.957	-0.342	0.169	5508.0	5.45	0.999
theta[2,469]	-0.357	0.00753	0.59	-1.35	-0.34	0.607	6135.0	6.08	1.0
theta[3,469]	-0.419	0.0104	0.799	-1.83	-0.366	0.808	5897.0	5.84	1.0
theta[1,470]	-0.0679	0.00381	0.309	-0.595	-0.0566	0.413	6580.0	6.52	1.0
theta[2,470]	-0.33	0.00655	0.551	-1.28	-0.315	0.552	7075.0	7.01	1.0
theta[3,470]	-0.517	0.0094	0.755	-1.86	-0.449	0.624	6451.0	6.39	1.0
theta[1,471]	-1.57	0.00706	0.573	-2.55	-1.52	-0.701	6589.0	6.53	0.999
theta[2,471]	-0.857	0.00887	0.767	-2.15	-0.84	0.366	7484.0	7.41	1.0
theta[3,471]	-0.124	0.0095	0.882	-1.6	-0.106	1.29	8616.0	8.53	1.0
theta[1,472]	-0.419	0.00424	0.336	-1.0	-0.4	0.119	6263.0	6.2	1.0
theta[2,472]	-0.143	0.00671	0.563	-1.1	-0.117	0.743	7028.0	6.96	1.0
theta[3,472]	0.511	0.00879	0.599	-0.558	0.555	1.42	4634.0	4.59	1.0
theta[1,473]	-0.0439	0.00459	0.318	-0.582	-0.029	0.451	4785.0	4.74	1.0
theta[2,473]	-0.342	0.00742	0.558	-1.31	-0.33	0.555	5650.0	5.6	0.999
theta[3,473]	-0.533	0.00937	0.746	-1.85	-0.489	0.611	6335.0	6.27	0.999
theta[1,474]	-0.39	0.00444	0.351	-0.983	-0.376	0.157	6261.0	6.2	0.999
theta[2,474]	0.221	0.0071	0.54	-0.679	0.238	1.11	5780.0	5.72	0.999
theta[3,474]	-0.396	0.0103	0.778	-1.8	-0.352	0.758	5692.0	5.64	1.0
theta[1,475]	0.315	0.00404	0.277	-0.146	0.321	0.773	4710.0	4.66	1.0
theta[2,475]	1.46	0.00627	0.499	0.68	1.45	2.31	6329.0	6.27	1.0
theta[3,475]	-0.689	0.00925	0.69	-1.92	-0.641	0.361	5569.0	5.52	0.999
theta[1,476]	-0.648	0.00501	0.387	-1.31	-0.621	-0.0614	5959.0	5.9	0.999
theta[2,476]	-0.027	0.00695	0.573	-0.979	-0.0124	0.88	6794.0	6.73	1.0
theta[3,476]	-0.318	0.0102	0.816	-1.79	-0.26	0.921	6460.0	6.4	1.0
theta[1,477]	-0.417	0.00443	0.337	-1.0	-0.401	0.109	5795.0	5.74	1.0
theta[2,477]	1.62	0.00641	0.489	0.836	1.62	2.43	5820.0	5.76	1.0
theta[3,477]	-0.371	0.0101	0.807	-1.75	-0.322	0.843	6385.0	6.32	0.999
theta[1,478]	0.79	0.00403	0.262	0.354	0.796	1.21	4239.0	4.2	1.0
theta[2,478]	1.18	0.00652	0.492	0.375	1.16	2.01	5689.0	5.63	0.999
theta[3,478]	0.95	0.00623	0.458	0.203	0.938	1.72	5401.0	5.35	0.999
theta[1,479]	-0.0956	0.00416	0.311	-0.63	-0.0884	0.396	5587.0	5.53	1.0
theta[2,479]	2.29	0.00689	0.534	1.45	2.28	3.2	6004.0	5.95	0.999
theta[3,479]	-0.499	0.00998	0.751	-1.82	-0.433	0.642	5663.0	5.61	1.0
theta[1,480]	-1.29	0.00711	0.507	-2.19	-1.26	-0.518	5083.0	5.03	1.0
theta[2,480]	0.314	0.00743	0.609	-0.689	0.312	1.31	6737.0	6.67	0.999
theta[3,480]	-0.171	0.0106	0.911	-1.73	-0.114	1.24	7453.0	7.38	1.0
theta[1,481]	-1.12	0.00645	0.488	-1.99	-1.08	-0.38	5734.0	5.68	0.999
theta[2,481]	-1.03	0.00849	0.736	-2.29	-0.989	0.139	7513.0	7.44	1.0
theta[3,481]	-0.222	0.0105	0.895	-1.74	-0.175	1.16	7250.0	7.18	0.999
theta[1,482]	0.729	0.00424	0.27	0.287	0.73	1.17	4046.0	4.01	1.0
theta[2,482]	-0.302	0.00661	0.509	-1.16	-0.292	0.487	5924.0	5.87	1.0
theta[3,482]	0.482	0.00581	0.439	-0.256	0.487	1.2	5701.0	5.65	0.999
