name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[10,149]	-0.845	0.0111	0.727	-2.13	-0.789	0.243	4261.0	0.749	1.0
theta[11,149]	0.0713	0.014	0.893	-1.43	0.0935	1.51	4093.0	0.72	1.0
theta[1,150]	-1.53	0.00913	0.568	-2.5	-1.5	-0.65	3871.0	0.681	1.0
theta[2,150]	-0.144	0.0126	0.959	-1.74	-0.12	1.41	5801.0	1.02	1.0
theta[3,150]	-0.199	0.0129	0.926	-1.76	-0.19	1.34	5176.0	0.91	1.0
theta[4,150]	-0.0227	0.0129	1.01	-1.7	-0.0207	1.62	6129.0	1.08	1.0
theta[5,150]	1.08	0.00892	0.607	0.0929	1.07	2.1	4625.0	0.813	1.0
theta[6,150]	-0.297	0.0129	0.914	-1.85	-0.275	1.17	5028.0	0.884	1.0
theta[7,150]	-0.19	0.0114	0.852	-1.66	-0.152	1.15	5597.0	0.984	1.0
theta[8,150]	-0.783	0.0103	0.699	-1.99	-0.737	0.291	4621.0	0.812	1.0
theta[9,150]	-0.0831	0.0121	0.915	-1.67	-0.0501	1.38	5672.0	0.997	1.0
theta[10,150]	-0.138	0.0122	0.959	-1.76	-0.131	1.44	6152.0	1.08	0.999
theta[11,150]	0.000965	0.0127	0.997	-1.6	-0.00268	1.68	6127.0	1.08	0.999
theta[1,151]	-0.463	0.00645	0.377	-1.11	-0.446	0.139	3418.0	0.601	1.0
theta[2,151]	-0.0224	0.0124	0.844	-1.5	0.0362	1.26	4663.0	0.82	1.0
theta[3,151]	-0.342	0.0123	0.843	-1.77	-0.323	0.991	4726.0	0.831	1.0
theta[4,151]	-0.221	0.0122	0.912	-1.74	-0.21	1.23	5624.0	0.989	1.0
theta[5,151]	0.0728	0.00725	0.54	-0.81	0.069	0.948	5543.0	0.974	1.0
theta[6,151]	-0.747	0.0121	0.774	-2.06	-0.708	0.474	4119.0	0.724	0.999
theta[7,151]	-0.346	0.0113	0.781	-1.73	-0.291	0.807	4807.0	0.845	1.0
theta[8,151]	-0.761	0.0076	0.51	-1.62	-0.732	0.0379	4506.0	0.792	1.0
theta[9,151]	-0.223	0.0123	0.838	-1.67	-0.158	1.06	4657.0	0.819	1.0
theta[10,151]	1.42	0.00972	0.608	0.381	1.45	2.39	3909.0	0.687	1.0
theta[11,151]	-0.0136	0.013	0.99	-1.63	-0.00872	1.58	5794.0	1.02	0.999
theta[1,152]	-1.1	0.00874	0.484	-1.93	-1.08	-0.357	3066.0	0.539	1.0
theta[2,152]	-0.121	0.0124	0.927	-1.69	-0.0819	1.36	5539.0	0.974	1.0
theta[3,152]	0.413	0.0173	0.869	-1.11	0.446	1.79	2537.0	0.446	1.0
theta[4,152]	-0.00717	0.0128	0.984	-1.63	0.000956	1.58	5924.0	1.04	1.0
theta[5,152]	0.351	0.00753	0.54	-0.527	0.347	1.24	5146.0	0.905	0.999
theta[6,152]	-0.444	0.0121	0.859	-1.9	-0.416	0.925	5031.0	0.885	1.0
theta[7,152]	-0.373	0.0114	0.859	-1.86	-0.319	0.951	5633.0	0.99	1.0
theta[8,152]	0.498	0.00933	0.548	-0.366	0.481	1.44	3452.0	0.607	1.0
theta[9,152]	-0.168	0.0127	0.913	-1.75	-0.133	1.23	5155.0	0.906	1.0
theta[10,152]	-0.0599	0.0136	0.943	-1.67	-0.0394	1.45	4805.0	0.845	1.0
theta[11,152]	0.0104	0.0118	0.998	-1.6	-0.0021	1.69	7120.0	1.25	1.0
theta[1,153]	-0.535	0.00671	0.39	-1.2	-0.519	0.0854	3382.0	0.595	1.0
theta[2,153]	-0.341	0.0124	0.89	-1.87	-0.309	1.07	5151.0	0.906	0.999
theta[3,153]	0.356	0.0146	0.806	-1.01	0.372	1.67	3030.0	0.533	1.0
theta[4,153]	-0.116	0.0133	0.968	-1.75	-0.0939	1.43	5257.0	0.924	0.999
theta[5,153]	-1.01	0.00981	0.679	-2.21	-0.954	-0.0168	4794.0	0.843	1.0
theta[6,153]	1.19	0.0107	0.733	-0.012	1.18	2.4	4685.0	0.824	1.0
theta[7,153]	-0.29	0.0118	0.778	-1.71	-0.221	0.863	4366.0	0.768	1.0
theta[8,153]	-0.365	0.00754	0.508	-1.2	-0.363	0.448	4542.0	0.799	1.0
theta[9,153]	-0.191	0.0117	0.835	-1.63	-0.162	1.1	5123.0	0.901	1.0
theta[10,153]	-0.207	0.0122	0.918	-1.78	-0.158	1.22	5617.0	0.987	1.0
theta[11,153]	0.0192	0.0131	1.02	-1.63	0.019	1.71	6066.0	1.07	1.0
theta[1,154]	-1.53	0.00881	0.579	-2.51	-1.5	-0.643	4320.0	0.759	1.0
theta[2,154]	-0.118	0.0126	0.923	-1.66	-0.109	1.38	5335.0	0.938	1.0
theta[3,154]	-0.193	0.0117	0.931	-1.77	-0.173	1.29	6342.0	1.11	1.0
theta[4,154]	-0.0222	0.0133	1.01	-1.71	-0.0106	1.65	5822.0	1.02	1.0
theta[5,154]	1.09	0.00834	0.599	0.138	1.09	2.1	5159.0	0.907	1.0
theta[6,154]	-0.302	0.0132	0.905	-1.82	-0.293	1.16	4715.0	0.829	1.0
theta[7,154]	-0.177	0.0119	0.862	-1.62	-0.141	1.19	5284.0	0.929	1.0
theta[8,154]	-0.783	0.0105	0.712	-2.05	-0.736	0.275	4561.0	0.802	1.0
theta[9,154]	-0.0743	0.012	0.906	-1.66	-0.0382	1.34	5658.0	0.995	1.0
theta[10,154]	-0.114	0.0124	0.971	-1.73	-0.101	1.43	6139.0	1.08	0.999
theta[11,154]	-0.000767	0.0123	0.993	-1.61	-0.0013	1.61	6554.0	1.15	1.0
theta[1,155]	-1.46	0.00905	0.542	-2.41	-1.43	-0.626	3583.0	0.63	0.999
theta[2,155]	-0.374	0.0126	0.968	-2.04	-0.353	1.19	5905.0	1.04	0.999
theta[3,155]	-0.196	0.012	0.901	-1.7	-0.174	1.26	5668.0	0.996	0.999
theta[4,155]	1.15	0.0149	0.956	-0.475	1.17	2.72	4087.0	0.719	1.0
theta[5,155]	-0.727	0.0114	0.724	-2.02	-0.666	0.347	4056.0	0.713	1.0
theta[6,155]	-0.138	0.0125	0.892	-1.63	-0.129	1.3	5065.0	0.89	0.999
theta[7,155]	-0.0725	0.0108	0.835	-1.52	-0.0168	1.21	5934.0	1.04	1.0
theta[8,155]	-0.853	0.0101	0.699	-2.05	-0.81	0.225	4767.0	0.838	1.0
theta[9,155]	-0.0799	0.013	0.877	-1.57	-0.0412	1.3	4554.0	0.801	1.0
theta[10,155]	-0.0824	0.0121	0.958	-1.68	-0.0713	1.46	6222.0	1.09	0.999
theta[11,155]	-0.0348	0.0124	0.984	-1.65	-0.0411	1.61	6294.0	1.11	1.0
theta[1,156]	-0.848	0.00722	0.416	-1.56	-0.825	-0.193	3319.0	0.584	1.0
theta[2,156]	-0.24	0.0122	0.91	-1.8	-0.219	1.19	5595.0	0.984	1.0
theta[3,156]	-0.449	0.012	0.891	-1.95	-0.429	0.973	5509.0	0.969	1.0
theta[4,156]	0.00523	0.0127	0.973	-1.65	0.019	1.61	5874.0	1.03	1.0
theta[5,156]	0.82	0.00892	0.567	-0.0729	0.817	1.76	4043.0	0.711	1.0
theta[6,156]	0.541	0.0136	0.753	-0.709	0.546	1.76	3068.0	0.539	1.0
theta[7,156]	-0.388	0.0117	0.845	-1.85	-0.321	0.904	5185.0	0.912	1.0
theta[8,156]	0.376	0.00845	0.535	-0.458	0.361	1.27	4003.0	0.704	1.0
theta[9,156]	-0.155	0.0116	0.89	-1.71	-0.106	1.21	5887.0	1.04	0.999
theta[10,156]	-0.156	0.0128	0.943	-1.75	-0.13	1.34	5388.0	0.947	0.999
theta[11,156]	-0.0316	0.0127	0.955	-1.62	-0.0129	1.55	5638.0	0.991	1.0
