k1,k2,stat,lb,ub,pval
24,4,-0.003655,-0.003361,0.005111,0.0075
24,5,-0.002168,-0.003129,0.006467,0.0625
24,6,-0.001611,-0.003602,0.007029,0.0935
24,7,-0.001602,-0.002626,0.005096,0.07975
24,8,0.00149,-0.00401,0.005142,0.61725
24,9,-0.001547,-0.005667,0.006744,0.22925
24,10,0.00106,-0.004959,0.007036,0.4855
24,11,-0.002084,-0.004309,0.006119,0.117
24,12,0.001087,-0.00373,0.005376,0.559
24,13,-0.000183,-0.003287,0.00399,0.42525
24,14,0.006345,-0.008112,0.009582,0.91175
24,15,-0.003237,-0.006997,0.007351,0.17325
24,16,0.001167,-0.007421,0.008585,0.6035
24,17,0.002553,-0.005,0.009008,0.7145
24,18,0.00401,-0.004064,0.005817,0.9115
24,19,-0.001468,-0.003441,0.005208,0.15775
24,20,0.004135,-0.00439,0.007205,0.84325
24,21,0.00385,-0.003323,0.007395,0.77
24,22,0.002383,-0.002965,0.0061,0.70425
24,23,0.01197,-0.004441,0.006804,0.99975
25,0,0.015472,-0.013215,0.01579,0.96925
25,1,0.007425,-0.012284,0.017452,0.7
25,2,-0.009063,-0.01116,0.014124,0.05775
25,3,-0.000518,-0.010997,0.011775,0.408
25,4,0.002379,-0.006158,0.006036,0.7585
25,5,-0.011904,-0.012284,0.015075,0.03
25,6,0.000174,-0.010036,0.012015,0.437
25,7,-0.000987,-0.004326,0.004354,0.29925
25,8,-0.00063,-0.013417,0.018735,0.34325
25,9,0.001754,-0.012091,0.015277,0.53875
25,10,-0.003386,-0.012758,0.017019,0.249
25,11,0.00244,-0.007689,0.008373,0.6805
25,12,-0.000695,-0.006246,0.00673,0.3725
25,13,-0.000662,-0.004904,0.005543,0.333
25,14,-0.005087,-0.018156,0.019321,0.2745
25,15,0.004206,-0.008745,0.010621,0.80425
25,16,-0.000366,-0.01171,0.010957,0.41825
25,17,-0.00341,-0.009075,0.008822,0.15875
25,18,-0.00153,-0.008059,0.00847,0.30775
25,19,-0.002681,-0.005651,0.006334,0.16
25,20,-0.003094,-0.010113,0.012899,0.25825
25,21,0.0024,-0.006834,0.007506,0.71275
25,22,-0.001798,-0.005091,0.005674,0.213
25,23,0.000644,-0.008302,0.009707,0.50175
25,24,-0.0016,-0.004498,0.004467,0.20725
26,0,-0.00974,-0.008671,0.017396,0.02125
26,1,0.016564,-0.0083,0.018742,0.95375
26,2,-0.009458,-0.008401,0.013938,0.0175
26,3,-0.006543,-0.009215,0.010081,0.07225
26,4,0.00284,-0.005722,0.004781,0.841
26,5,-0.015076,-0.009657,0.014298,0.001
26,6,-0.00444,-0.008418,0.010632,0.11375
26,7,-0.003577,-0.003916,0.003234,0.0365
26,8,-0.011233,-0.01244,0.017614,0.03475
26,9,0.000464,-0.010043,0.013135,0.41575
26,10,-0.016442,-0.01096,0.016586,0.0055
26,11,0.005074,-0.006041,0.007686,0.894
26,12,0.004635,-0.005154,0.006517,0.91825
26,13,0.002251,-0.003578,0.004786,0.80275
26,14,0.006316,-0.014535,0.017203,0.74375
26,15,0.003928,-0.008608,0.008674,0.8305
26,16,0.006118,-0.009156,0.01054,0.8905
26,17,0.004471,-0.00797,0.007622,0.9105
26,18,0.003348,-0.006643,0.007938,0.7515
26,19,-0.001535,-0.004776,0.005467,0.211
26,20,-0.010011,-0.008024,0.011995,0.012
26,21,-0.002791,-0.005697,0.006301,0.1445
26,22,-0.006049,-0.004508,0.004242,0.00975
26,23,0.006117,-0.006995,0.008913,0.90125
26,24,0.000425,-0.003659,0.003662,0.54
