name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,1]	-0.397	0.00545	0.328	-0.952	-0.387	0.109	3619.0	4.65	1.0
theta[1,2]	0.516	0.00376	0.25	0.0948	0.517	0.916	4431.0	5.7	1.0
theta[1,3]	-0.488	0.00566	0.342	-1.08	-0.468	0.0494	3637.0	4.68	1.0
theta[1,4]	-0.883	0.00574	0.391	-1.53	-0.868	-0.285	4650.0	5.98	1.0
theta[1,5]	1.26	0.00372	0.224	0.903	1.27	1.64	3636.0	4.68	1.0
theta[1,6]	-1.81	0.00845	0.548	-2.77	-1.77	-0.971	4208.0	5.41	1.0
theta[1,7]	-1.02	0.00596	0.407	-1.72	-1.01	-0.408	4669.0	6.01	0.999
theta[1,8]	0.691	0.00395	0.235	0.305	0.692	1.06	3538.0	4.55	1.0
theta[1,9]	0.0963	0.00424	0.276	-0.379	0.103	0.53	4249.0	5.47	1.0
theta[1,10]	0.638	0.00401	0.232	0.255	0.638	1.02	3336.0	4.29	1.0
theta[1,11]	0.304	0.00414	0.254	-0.117	0.309	0.715	3785.0	4.87	1.0
theta[1,12]	1.1	0.00398	0.243	0.699	1.1	1.5	3728.0	4.79	1.0
theta[1,13]	-0.0727	0.00481	0.299	-0.588	-0.0602	0.397	3863.0	4.97	1.0
theta[1,14]	-1.8	0.00841	0.572	-2.79	-1.77	-0.913	4629.0	5.95	1.0
theta[1,15]	-0.358	0.00467	0.317	-0.892	-0.35	0.139	4604.0	5.92	1.0
theta[1,16]	0.592	0.00396	0.242	0.178	0.597	0.985	3731.0	4.8	1.0
theta[1,17]	-0.521	0.00494	0.329	-1.09	-0.508	-0.000588	4444.0	5.72	0.999
theta[1,18]	-0.437	0.00469	0.323	-1.0	-0.418	0.054	4745.0	6.1	0.999
theta[1,19]	-2.06	0.00976	0.62	-3.17	-2.0	-1.14	4032.0	5.19	1.0
theta[1,20]	-0.812	0.00565	0.388	-1.49	-0.795	-0.208	4721.0	6.07	1.0
theta[1,21]	-0.735	0.0056	0.367	-1.36	-0.711	-0.176	4305.0	5.54	1.0
theta[1,22]	-0.07	0.00444	0.285	-0.548	-0.0586	0.392	4131.0	5.31	1.0
theta[1,23]	1.22	0.0037	0.235	0.838	1.22	1.61	4036.0	5.19	1.0
theta[1,24]	-0.911	0.00635	0.407	-1.62	-0.89	-0.285	4114.0	5.29	1.0
theta[1,25]	-1.82	0.0084	0.551	-2.79	-1.78	-0.989	4303.0	5.54	1.0
theta[1,26]	0.539	0.00401	0.241	0.133	0.548	0.929	3606.0	4.64	1.0
theta[1,27]	0.279	0.00398	0.257	-0.157	0.289	0.692	4175.0	5.37	1.0
theta[1,28]	0.922	0.004	0.242	0.52	0.921	1.32	3673.0	4.72	1.0
theta[1,29]	-0.051	0.00424	0.283	-0.527	-0.0463	0.397	4445.0	5.72	1.0
theta[1,30]	0.502	0.00391	0.254	0.0837	0.506	0.902	4206.0	5.41	1.0
theta[1,31]	0.687	0.00367	0.241	0.287	0.689	1.08	4315.0	5.55	1.0
theta[1,32]	-0.568	0.00513	0.341	-1.15	-0.554	-0.0233	4417.0	5.68	0.999
theta[1,33]	-0.884	0.00619	0.409	-1.6	-0.864	-0.252	4354.0	5.6	1.0
theta[1,34]	-1.62	0.00759	0.513	-2.52	-1.59	-0.836	4559.0	5.86	1.0
theta[1,35]	-0.259	0.00464	0.316	-0.808	-0.246	0.241	4654.0	5.99	1.0
theta[1,36]	-0.474	0.00504	0.331	-1.05	-0.461	0.0444	4308.0	5.54	1.0
theta[1,37]	0.465	0.00428	0.242	0.0702	0.466	0.858	3199.0	4.11	1.0
theta[1,38]	-0.625	0.00524	0.358	-1.23	-0.611	-0.0775	4676.0	6.01	0.999
theta[1,39]	-0.282	0.00506	0.317	-0.829	-0.268	0.215	3917.0	5.04	1.0
theta[1,40]	-2.05	0.00899	0.613	-3.12	-2.01	-1.09	4653.0	5.98	1.0
theta[1,41]	0.468	0.00372	0.244	0.0643	0.464	0.854	4294.0	5.52	1.0
theta[1,42]	0.288	0.00419	0.256	-0.126	0.289	0.7	3734.0	4.8	1.0
theta[1,43]	-1.36	0.00698	0.467	-2.17	-1.32	-0.632	4489.0	5.77	1.0
theta[1,44]	0.737	0.00409	0.242	0.337	0.738	1.13	3486.0	4.48	1.0
theta[1,45]	-1.32	0.00734	0.465	-2.13	-1.28	-0.62	4004.0	5.15	1.0
theta[1,46]	-0.676	0.00584	0.361	-1.31	-0.648	-0.121	3824.0	4.92	0.999
theta[1,47]	2.6	0.00483	0.282	2.14	2.59	3.08	3392.0	4.36	1.0
theta[1,48]	0.97	0.00476	0.236	0.583	0.97	1.37	2456.0	3.16	1.0
theta[1,49]	-1.04	0.00658	0.434	-1.8	-1.02	-0.377	4342.0	5.58	1.0
theta[1,50]	0.0184	0.00399	0.27	-0.439	0.0289	0.445	4563.0	5.87	1.0
theta[1,51]	0.24	0.00417	0.259	-0.203	0.244	0.665	3872.0	4.98	1.0
theta[1,52]	1.23	0.00381	0.228	0.858	1.23	1.61	3572.0	4.59	1.0
theta[1,53]	-1.67	0.00828	0.543	-2.63	-1.63	-0.855	4302.0	5.53	0.999
